順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,湘南美容外科,627000,16000,2.187,0.077,22,78,3,19,20,23,21,9,5
2,アリシアクリニック,308000,9500,2.37,0.003,30,70,2,19,20,20,22,11,6
3,湘南美容外科 脱毛 料金,115000,7700,3.196,1.886,19,81,6,44,24,14,9,2,1
4,エミナルクリニック,85200,7400,3.451,0.059,17,83,5,41,23,15,12,3,1
5,レジーナクリニック,67500,7300,3.657,0.54,17,83,5,39,22,17,12,3,2
6,脱毛,121000,7000,2.998,-0.001,33,67,7,18,15,22,22,10,6
7,vio 脱毛,126000,5000,2.625,0.006,25,75,5,17,19,26,19,8,6
8,tbc 脱毛,62000,4200,3.148,0.007,14,86,2,24,20,24,22,6,2
9,ブランクリニック,48500,4200,3.487,0.503,9,91,13,53,14,9,8,2,1
10,あおばクリニック,124000,4100,2.452,3.901,21,79,3,29,22,20,15,6,5
11,医療脱毛 vio 経過 写真,19100,3700,4.173,0,13,87,2,11,23,32,23,6,3
12,エミナルクリニック 口コミ,36800,3600,3.542,0.053,13,87,5,29,22,21,17,4,2
13,ミュゼ,152000,3500,2.073,0.013,18,82,3,19,30,24,16,5,3
14,フレイアクリニック,31800,3400,3.675,0.304,11,89,13,44,14,13,13,2,1
15,医療脱毛 何回で終わる,24800,3400,3.892,0.008,21,79,8,30,22,21,15,3,1
16,眉毛サロン,170000,3200,1.912,2.517,25,75,11,22,17,19,17,8,6
17,脱毛器,110000,3200,2.274,-0.005,37,63,6,9,15,32,26,8,4
18,医療脱毛 美容脱毛 違い,21900,3100,3.888,0,38,62,6,22,21,25,19,5,2
19,ポテンツァ,164000,2900,1.837,6.957,21,79,3,22,24,25,17,6,3
20,ホワイトニング,162000,2800,1.802,2.023,32,68,5,19,18,21,20,11,6
21,医療脱毛 値段,20200,2800,3.955,0,30,70,18,33,13,14,15,5,2
22,脱毛器 ランキング,90800,2700,2.288,0.001,26,74,3,9,15,36,28,6,3
23,tcb,146000,2600,1.818,7.863,27,73,3,15,18,26,23,10,5
24,tbc,110000,2600,2.106,1.417,28,72,3,13,15,23,27,13,6
25,よつば会クリニック,143000,2500,1.821,35.241,11,89,1,19,23,25,20,8,4
26,医療脱毛 男性,13100,2500,4.17,0.001,92,8,2,17,29,29,18,4,1
27,じぶんクリニック,27700,2300,3.388,-0.004,14,86,4,43,22,14,13,3,1
28,ルシアクリニック,26000,2300,3.52,0.792,11,89,11,55,14,9,8,2,1
29,脱毛 医療,19600,2300,3.745,-0.004,12,88,8,37,15,17,14,5,4
30,医療脱毛 都度払い,12400,2300,4.234,0.009,9,91,4,50,24,12,7,2,1
31,ゴリラクリニック,73200,2200,2.36,0.162,80,20,1,28,32,21,12,4,2
32,ジェントルマックスプロ,28100,2200,3.324,1.687,24,76,5,40,25,17,10,2,1
33,全身脱毛,26400,2200,3.371,-0.003,31,69,13,26,19,19,14,5,4
34,リゼクリニック,25100,2200,3.469,1.46,14,86,5,47,21,12,11,3,1
35,ビューティースキンクリニック,33500,2100,3.185,1.154,4,96,11,55,17,8,6,2,1
36,カラコン,120000,2000,1.835,1.46,12,88,25,29,17,14,9,3,3
37,家庭用脱毛器 効果,43700,2000,2.774,0.001,38,62,8,23,23,27,14,3,2
38,レナトゥスクリニック,26600,2000,3.366,0.079,9,91,13,49,13,11,9,3,2
39,ダーマペン,106000,1900,1.8,6.81,23,77,3,18,23,27,19,7,3
40,ケノン 脱毛,69700,1900,2.214,0.842,36,64,6,14,19,31,23,5,2
41,脱毛 メンズ,43000,1900,2.681,-0.166,91,9,3,20,24,27,18,5,3
42,ヒゲ脱毛 メンズ,59200,1800,2.368,-0.01,81,19,3,25,28,25,14,3,2
