順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,多汗症,83700,1600,4.497,0,37,63,6,10,17,24,21,12,10
2,多汗症 治療,21600,570,4.82,0,36,64,5,13,17,22,22,11,10
3,プロバンサイン,24800,390,4.285,0.003,31,69,3,12,19,25,23,12,6
4,多汗症 薬,11500,350,4.931,0,36,64,4,10,18,26,23,11,8
5,多汗症 何科,13500,340,4.788,0.001,27,73,4,12,16,22,22,14,10
6,脇汗 止める方法,52300,300,3.264,-5.172,33,67,9,16,20,26,18,7,4
7,多汗症とは,13000,260,4.528,-0.001,35,65,4,9,12,20,22,17,16
8,多汗症 漢方,8500,230,4.829,0.001,27,73,1,7,19,27,25,13,8
9,汗かきやすい人の特徴,53300,220,2.945,-21.169,39,61,5,9,14,22,21,15,14
10,ボトックス注射,155000,210,1.846,-35.212,24,76,2,10,14,26,26,14,8
11,ワキが 治療法,64500,200,2.672,-4.612,32,68,5,17,19,29,20,6,4
12,防已黄耆湯,95100,190,2.239,-0.01,15,85,2,10,20,26,23,12,7
13,手汗多汗症,29100,160,3.188,-1.178,26,74,5,9,14,34,25,9,4
14,汗が止まらない,41000,150,2.842,-7.976,36,64,4,10,15,23,24,14,10
15,手汗を止める方法 簡単,28400,150,3.188,-3.823,40,60,19,15,11,25,20,6,4
16,アポハイドローション,17500,140,3.622,0.016,31,69,5,13,18,28,22,9,5
17,汗かき 治す方法,11700,140,3.999,-0.002,52,48,6,12,15,24,26,11,6
18,パースピレックス,54500,130,2.407,0.011,26,74,6,16,23,29,19,5,2
19,脇汗がひどい 原因,26200,130,3.129,-44.052,35,65,8,17,21,26,17,7,4
20,多汗症 手のひら,5300,130,4.709,0,28,72,13,15,14,26,21,6,5
21,手掌多汗症,33200,120,2.844,-10.639,32,68,7,11,14,25,23,13,7
22,エクロックゲル,17600,120,3.399,0.003,24,76,2,10,20,32,23,8,5
23,卒業式 母 服装 40代,74600,100,1.69,-54.889,7,93,1,0,2,83,10,1,3
24,自律神経失調症 何科,71100,100,1.903,-30.669,23,77,2,11,17,22,22,15,11
25,アセッテナイ,42400,100,2.377,-5.845,20,80,11,17,16,26,23,5,2
26,ミラドライ,26300,100,2.868,-0.004,22,78,3,16,26,32,17,4,2
27,汗が噴き出る症状,23400,100,3.022,-37.591,27,73,1,3,8,19,27,25,17
28,多汗症 原因,6000,100,4.419,0.004,38,62,5,12,13,16,20,18,16
29,顔汗を止める方法,20500,90,2.995,-4.556,16,84,3,6,11,19,31,20,10
30,塩化アルミニウム,13000,90,3.479,0.003,38,62,12,9,15,29,21,9,5
31,ラピフォートワイプ,11700,90,3.572,0.003,24,76,2,10,20,32,22,9,5
32,ワキが どんな匂い,69600,80,1.703,-2.997,33,67,15,32,22,15,10,4,2
33,足の臭いを取る方法 最強,61100,80,1.806,-16.484,48,52,4,16,22,28,20,6,4
34,更年期 汗が止まらない,37900,80,2.262,-137.027,9,91,1,1,3,27,56,8,4
35,ミラドライ デメリット,12400,80,3.408,-0.105,21,79,1,11,23,36,23,4,2
36,汗っかき 治す,8700,80,3.708,0,59,41,14,20,24,22,12,5,3
37,イオントフォレーシス,6000,80,4.174,0.002,25,75,4,13,16,30,25,7,5
38,多干渉治療,1900,80,5.231,-108.376,36,64,0,5,12,24,30,17,12
39,オールドスパイス,55100,70,1.716,-35.6,61,39,15,16,19,26,17,4,3
40,ワキガ,54700,70,1.718,-0.866,35,65,10,21,22,23,16,5,3
41,抗コリン薬,34000,70,2.222,-0.001,32,68,1,18,12,18,20,15,16
42,ワキが 手術方法 料金,31000,70,2.303,-0.005,30,70,4,21,25,25,16,6,3
43,防已黄耆湯 効果,27700,70,2.45,-41.823,11,89,1,8,17,25,25,14,10
44,汗をかかない方法,11800,70,3.273,-16.881,42,58,21,14,13,19,20,8,5
45,手汗 治療,9400,70,3.489,-0.003,27,73,5,16,15,29,23,8,4
46,脇汗 治療,5200,70,4.128,0.001,30,70,3,19,25,27,17,6,3
47,プロバンサイン 副作用,3300,70,4.617,0.644,27,73,5,11,18,25,23,11,7
48,多汗症 顔と頭,1200,70,5.594,0.001,31,69,2,8,16,23,24,19,8
49,不眠症 治すには,61600,60,1.582,-39.397,39,61,3,10,12,19,23,17,16
50,イボ 液体窒素 取れるまで,55100,60,1.61,-63.923,31,69,2,6,15,28,23,14,12
51,二重あご解消,54100,60,1.578,-42.141,20,80,5,11,20,30,24,7,3
52,家庭教師,54000,60,1.599,-67.268,43,57,8,6,10,34,25,8,9
53,脇汗パッド,25600,60,2.429,-17.49,27,73,5,19,21,24,18,9,4
