順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,湘南美容外科,630000,2900,1.903,-1.051,22,78,3,18,20,24,21,9,5
2,高須クリニック,138000,1000,2.367,0.002,38,62,2,7,11,20,26,18,16
3,tcb 美容外科,131000,940,2.351,0.027,27,73,3,14,14,21,25,15,8
4,ヒアルロン酸,154000,850,2.12,0.001,27,73,2,5,9,20,25,17,22
5,ボトックス注射,156000,830,2.043,0.002,24,76,2,10,14,26,26,13,9
6,tcb,146000,810,2.083,0.057,27,73,3,15,18,26,23,10,5
7,品川美容外科クリニック,130000,810,2.209,0.003,12,88,2,13,17,27,25,11,5
8,美容皮膚科,78500,780,2.688,0,15,85,4,12,15,24,24,13,8
9,美容整形 ランキング,8600,730,4.862,0,28,72,1,5,6,14,26,24,24
10,tbc,110000,680,2.185,-0.001,28,72,2,13,15,23,28,13,6
11,糸リフト,89900,650,2.353,1.976,15,85,2,13,22,29,23,8,3
12,目の下のたるみとり,130000,620,1.927,-11.957,26,74,1,2,6,21,36,22,12
13,ハイフ 効果,114000,600,2.036,2.851,10,90,1,9,15,27,28,14,6
14,美容整形外科,7800,600,4.767,0,28,72,5,8,11,19,21,17,19
15,美容,78100,580,2.366,0,18,82,1,4,11,27,29,16,12
16,脂肪吸引,93100,570,2.185,-0.004,32,68,4,23,23,23,17,7,3
17,東京美容外科,93400,510,2.059,0.002,39,61,1,8,15,26,27,15,8
18,整形,23000,480,3.403,0,29,71,7,12,17,24,20,11,9
19,脂肪溶解注射,90400,460,2.009,7.552,17,83,1,17,21,28,23,7,3
20,ヒアルロン酸注射 効果 期間,53700,410,2.472,0.951,25,75,0,2,5,14,25,25,29
21,tcb ai,82000,390,1.934,-1.36,25,75,4,5,11,22,32,19,7
22,美容外科,17900,370,3.416,0.007,31,69,4,13,14,22,22,14,11
23,and美容外科,68500,350,1.994,-0.511,16,84,1,9,16,27,31,12,4
