順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,中耳炎 大人症状,153000,8800,2.99,0,30,70,2,18,22,23,18,10,7
2,突発性発疹,309000,6700,2.004,-17.658,17,83,0,9,44,20,9,13,5
3,中耳炎 子供,123000,6700,2.9,-0.001,23,77,0,5,41,35,6,8,5
4,外耳炎,112000,5800,2.871,0,30,70,5,14,23,27,18,8,5
5,ヘルパンギーナ,268000,5000,1.862,-63.258,26,74,1,9,33,26,12,12,7
6,耳が詰まった感じ,239000,4700,1.917,-0.684,30,70,4,9,14,23,22,15,13
7,滲出性中耳炎,72100,4000,2.96,0.009,21,79,2,8,26,28,15,12,9
8,中耳炎 自然治癒,47300,3800,3.322,0.001,25,75,5,13,30,29,12,6,5
9,中耳炎 症状,58300,3700,3.112,0,26,74,11,15,27,24,12,6,5
10,耳が痛い,129000,3300,2.194,-0.021,24,76,5,10,13,24,23,14,11
11,中耳炎 薬,29300,2800,3.457,0.001,24,76,2,8,25,37,16,7,5
12,耳鼻科,125000,2500,1.942,-0.007,30,70,3,11,23,28,17,8,10
13,結膜炎,121000,2500,1.965,2.098,29,71,6,16,31,24,12,6,5
14,中耳炎 治るまでの期間,21800,2400,3.654,0.123,28,72,5,11,28,27,15,8,6
15,rsウイルス 子供,124000,2300,1.871,-6.216,19,81,0,9,40,21,9,14,7
16,中耳炎 原因,27800,2100,3.279,0,27,73,6,14,27,26,13,9,5
17,中耳炎 熱,26200,2100,3.315,0.001,15,85,2,10,45,29,7,5,2
18,クループ症候群,108000,2000,1.866,-7.854,19,81,1,11,39,25,10,9,5
19,気管支炎,87400,2000,2.058,-1.702,29,71,5,16,28,24,13,8,6
20,中耳炎 市販薬,21400,2000,3.458,0.001,33,67,1,12,24,30,22,7,4
21,rsウイルス,78500,1900,2.143,-11.702,28,72,1,13,36,17,11,12,10
22,熱性けいれん,95000,1800,1.868,-5.971,25,75,1,10,41,24,10,9,5
23,とびひ,89800,1700,1.859,-34.466,23,77,2,8,32,30,12,9,7
24,川崎病,84500,1700,1.924,1.313,28,72,2,10,34,26,13,9,6
25,耳管開放症,90300,1600,1.834,0.006,24,76,4,12,19,22,18,12,13
26,子供 咳 止まらない,80900,1500,1.809,-18.876,28,72,0,4,41,43,6,2,4
27,急性中耳炎,21900,1400,3.118,0.006,28,72,6,15,33,29,9,5,3
28,#8000,56200,1200,1.936,-9.265,16,84,0,11,53,25,4,4,3
29,和光堂 ベビーフード,59400,1100,1.819,-76.727,12,88,0,11,56,18,5,7,3
30,耳の奥が痛い,52000,1100,1.961,-0.002,23,77,4,12,17,27,23,11,6
31,フォローアップミルク,50700,1100,1.97,-24.413,10,90,1,15,52,20,5,5,2
32,中耳炎 抗生物質,13400,1100,3.314,0.003,19,81,1,5,34,36,13,6,5
33,中耳炎 うつる可能性,10500,1100,3.584,0.002,21,79,2,15,47,27,5,2,2
34,中耳炎 治療,8800,1000,3.702,0.002,32,68,3,16,28,26,14,8,5
35,メルシーポット,55000,990,1.816,-4.983,18,82,0,13,55,20,5,5,2
36,耳の中が痛い,40400,980,2.129,-0.105,28,72,8,14,19,25,19,9,6
37,耳抜き やり方,47000,970,2.002,-0.054,36,64,10,19,19,20,15,10,7
38,手足口病 発疹,47300,960,1.911,-70.514,11,89,0,6,53,31,4,4,2
39,手足口病 大人,46400,940,1.929,-60.397,25,75,1,12,48,25,7,5,2
40,鼓膜が破れたら,40800,930,2.064,0.003,38,62,6,10,18,24,20,13,9
41,鼻吸い器,42700,910,1.982,-0.002,19,81,1,11,52,22,6,5,3
42,外耳炎 症状,24700,840,2.456,0,26,74,4,13,17,24,23,13,6
43,かずむお兄さん,45200,830,1.814,-4.352,16,84,1,9,54,28,3,3,2
44,ヒップシート,45000,810,1.821,-26.389,15,85,0,11,54,20,6,7,2
45,耳だれ 原因,28000,790,2.255,0.001,31,69,2,8,20,27,23,12,8
46,中耳炎 プール,8800,790,3.391,0.001,16,84,2,4,45,42,4,1,2
47,耳管狭窄症,27600,780,2.3,0.406,27,73,3,11,18,23,19,13,13
48,中耳炎 治し方,6900,780,3.709,0.002,37,63,16,24,29,19,7,3,2
49,手足口病 お風呂,32700,720,2.004,-73.9,20,80,0,7,50,30,4,5,4
50,鼓膜切開,8300,720,3.418,2.785,25,75,3,8,19,24,18,15,13
51,イヤイヤ期,31400,700,2.022,19.119,33,67,1,12,43,27,7,7,3
52,内耳炎 症状,9900,700,3.195,0.001,35,65,2,8,14,24,23,16,13
53,手足口病 熱なし,35400,690,1.876,-61.002,9,91,1,7,57,30,2,2,1
54,子供 熱が下がらない,30700,690,2,-10.283,24,76,0,4,42,41,6,4,3
55,アンパンマンミュージアム 仙台,37000,660,1.816,7.483,28,72,2,12,46,22,7,8,3
56,目やに 子供,23300,660,2.236,-9.263,15,85,0,7,54,31,3,3,2
57,中耳炎 保育園,6300,660,3.568,0.003,8,92,0,12,67,17,1,2,1
58,生卵 何歳から,33600,640,1.856,3.958,16,84,0,9,57,26,3,3,2
59,ワイドシリン細粒200小児,25800,640,2.109,0.935,17,83,0,6,42,36,7,5,4
60,耳が痛い 子供,15300,640,2.616,-0.155,16,84,1,2,39,48,5,2,3
61,手足口病 プール,33900,630,1.817,-100.635,14,86,1,4,46,37,5,4,3
62,耳閉感,20700,630,2.344,0.001,24,76,4,16,24,26,16,8,6
63,子供 耳が痛い,17200,630,2.479,-0.482,24,76,0,4,49,40,4,2,1
64,トイトレ 何歳から,31400,620,1.909,7.8,10,90,0,14,60,19,2,3,2
65,メンタルリープ,33100,610,1.85,-62.834,11,89,0,13,66,13,2,4,2
66,マミーポコ,32600,610,1.856,-15.193,18,82,1,11,46,22,8,8,4
