順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,副鼻腔炎 症状,205000,38000,2.576,0.001,26,74,3,9,17,22,22,16,11
2,蓄膿症,277000,37400,2.245,-0.001,38,62,4,14,24,25,16,10,7
3,副鼻腔炎 薬,77600,20000,2.877,0.002,29,71,1,7,20,30,22,13,7
4,副鼻腔炎 市販薬,73800,19400,2.894,0.002,29,71,1,10,25,30,20,8,6
5,副鼻腔炎 自然治癒,67000,17500,2.894,0.015,20,80,2,9,28,30,15,9,7
6,副鼻腔炎 熱,55900,17000,3.04,0.003,22,78,3,13,29,31,13,7,4
7,副鼻腔炎 頭痛,49700,14700,3.007,0.007,24,76,2,11,28,31,17,7,4
8,アレルギー性鼻炎,158000,13800,1.815,0.001,27,73,4,11,17,25,20,13,10
9,鼻水 黄色,150000,13200,1.826,-0.448,33,67,7,17,26,24,15,7,4
10,黄色い鼻水,140000,13000,1.869,-0.078,33,67,4,14,24,26,17,9,6
11,副鼻腔炎 手術方法,42500,12000,2.981,0.003,36,64,2,7,19,25,22,15,10
12,鼻うがい,131000,10900,1.767,0.817,38,62,2,9,19,24,21,13,12
13,中耳炎 子供,123000,10800,1.777,-4.826,23,77,0,5,41,35,6,8,5
14,副鼻腔がん 症状,24600,10100,3.36,0,24,76,1,3,12,25,28,18,13
15,副鼻腔炎 治療,34400,9300,2.937,0.023,37,63,1,5,16,23,29,17,9
16,上咽頭炎,89600,8900,1.943,0.004,26,74,3,12,21,24,20,12,8
17,ラスビック錠75mg,110000,8700,1.714,1.096,30,70,1,6,16,24,23,17,13
18,後鼻漏,72800,8600,2.124,0.029,27,73,3,12,23,24,18,11,9
19,副鼻腔炎治し方,28900,7900,2.95,0.146,29,71,3,5,13,26,25,17,11
20,好酸球性副鼻腔炎,95600,7800,1.746,12.757,34,66,5,10,17,23,23,14,8
21,鼻の奥が痛い,85500,7800,1.857,-0.013,30,70,4,12,18,26,21,12,7
22,蓄膿症 治し方,68700,7800,2.075,0.001,40,60,5,15,23,24,17,9,7
23,副鼻腔炎 咳が止まらない,24100,7500,3.059,0.009,24,76,2,9,29,33,16,7,4
24,副鼻腔炎 抗生物質,28200,7400,2.864,0.014,22,78,1,5,30,41,15,5,3
25,副鼻腔炎 原因,26100,7300,2.967,0.018,26,74,3,13,25,26,18,9,6
26,鼻茸,82500,7100,1.782,0.031,34,66,2,10,20,25,22,12,9
27,慢性副鼻腔炎,36700,6800,2.566,2.201,33,67,3,13,21,23,17,12,11
28,副鼻腔炎 うつる,21200,6800,3.124,0.021,33,67,5,21,31,27,8,5,3
29,副鼻腔炎 歯が痛い,21900,6700,3.045,0.005,24,76,2,10,38,31,11,5,3
30,副鼻腔炎 咳,22200,6500,3.001,0.011,19,81,2,11,29,29,14,10,5
31,チクナイン 効果,39000,6300,2.399,0.206,40,60,2,12,29,32,13,7,5
32,鼻うがい 危険性,70100,6000,1.8,1.112,35,65,2,7,15,23,22,17,14
33,蓄膿症 症状,53500,5700,2.03,-0.022,34,66,6,19,24,19,15,10,7
34,急性副鼻腔炎,30300,5300,2.493,0.037,32,68,4,14,25,26,16,9,6
35,副鼻腔炎 治し方,20200,5300,2.943,0.01,29,71,7,26,31,23,8,3,2
36,鼻水 緑,50600,5200,1.967,-0.111,27,73,5,18,33,26,11,4,3
37,ちくのう症 治し方,40700,4900,2.116,0.205,40,60,4,10,20,27,21,10,8
38,チクナイン,37800,4900,2.207,0.218,39,61,2,9,22,24,23,13,7
39,副鼻腔炎とは,23400,4900,2.706,0,29,71,5,14,20,20,18,12,11
40,モメタゾン点鼻液50μg,60100,4800,1.721,21.285,32,68,1,6,16,26,21,15,15
41,副鼻腔炎 漢方,18500,4700,2.855,0.003,22,78,1,3,20,34,26,10,6
42,後鼻漏副鼻腔炎 痰,34000,4600,2.286,3.937,24,76,1,4,12,22,22,20,19
43,葛根湯加川芎辛夷,47900,4500,1.888,3.028,27,73,1,5,16,27,22,16,13
44,副鼻腔炎 うつるのか,12600,4500,3.18,0.039,14,86,1,9,35,33,17,4,1
45,副鼻腔炎 読み方,8000,4400,3.668,0.001,38,62,7,18,27,22,11,8,7
46,鼻水 黄色い ネバネバ,41900,4300,1.957,-0.002,31,69,3,13,27,26,18,8,5
47,後鼻漏電 治し方,39500,4300,2.074,1.196,26,74,2,8,14,22,22,17,15
48,ちくのう 原因,32400,4000,2.133,-1.274,35,65,2,7,17,27,25,13,9
49,副鼻腔炎手術,14400,3900,2.937,0.985,33,67,1,4,11,22,27,20,15
50,副鼻腔炎 喉の痛み,14000,3900,2.96,0.009,25,75,3,17,33,29,12,4,2
51,鼻づまり,43500,3800,1.795,-0.002,38,62,6,11,18,25,20,11,9
52,副鼻腔,20400,3800,2.588,0,46,54,4,14,18,23,19,12,10
53,蓄膿症 膿を出す方法,28900,3700,2.194,0.337,43,57,4,12,24,25,19,9,7
54,副鼻腔炎 鼻うがい,13500,3700,2.94,0.06,33,67,1,9,29,32,18,7,4
55,鼻水 喉に流れる,33300,3600,2.032,-0.003,23,77,6,14,21,23,20,10,6
56,匂いがわからない 原因,39800,3400,1.801,-0.017,28,72,1,4,10,20,27,21,17
57,クラリスロマイシン 小児,39300,3400,1.758,-3.096,14,86,0,4,37,45,7,4,3
58,鼻うがい 副鼻腔炎,19400,3400,2.498,1.906,31,69,1,7,19,26,23,14,10
59,鼻詰まり,35700,3300,1.846,-0.001,33,67,4,13,26,27,17,8,5
60,上顎洞炎,32200,3300,1.97,0.004,29,71,2,10,18,22,23,15,10
61,鼻声が治らない,24600,3300,2.228,-0.002,26,74,2,9,16,23,24,17,9
62,喘息 痰が絡む,40000,3200,1.735,-4.501,20,80,2,8,20,26,18,14,12
63,フルチカゾンフランカルボン酸エステル,39000,3100,1.733,7.174,31,69,1,7,20,27,19,13,13
64,副鼻腔炎 手術,13100,3100,2.811,0.018,34,66,2,11,28,28,18,8,5
65,鼻うがい 海水作り方,37900,3000,1.722,5.049,35,65,2,5,16,24,22,17,14
66,鼻の奥 ツーンと痛い,31300,3000,1.889,-0.001,23,77,5,17,26,26,16,6,4
67,副鼻腔炎 発熱,10100,3000,3.001,0.004,32,68,1,10,34,33,15,5,2
68,副鼻腔炎 子供,8200,3000,3.198,0,10,90,0,3,43,45,5,2,2
69,副鼻腔気管支症候群,12200,2900,2.81,0.003,23,77,1,8,17,23,21,18,12
70,痰がらみの咳が続く,29700,2800,1.875,-5.985,12,88,1,8,31,30,14,10,6
71,蓄膿症 市販薬,21900,2700,2.128,0.028,40,60,1,17,27,26,17,8,4
72,ふくびくうがん 症状,6500,2600,3.305,0,25,75,1,3,13,26,28,17,12
73,サイナスリンス,31400,2500,1.726,5.197,32,68,1,5,17,27,24,15,11
74,副鼻腔炎 鼻水出ない,10000,2500,2.821,0.115,16,84,1,12,35,34,12,4,2
75,鼻炎,26800,2400,1.858,0,37,63,6,15,20,23,16,10,10
76,中耳炎 熱,26200,2400,1.853,-0.091,15,85,2,10,45,29,7,5,2
77,ワイドシリン細粒200小児,25800,2300,1.786,-2.104,17,83,0,6,42,36,7,5,4
78,子供 咳 長引く,25700,2300,1.765,-24.588,15,85,0,3,44,43,5,2,3
79,慢性上咽頭炎,25500,2300,1.843,0.002,24,76,2,10,18,23,22,15,10
80,鼻の奥に痰がたまる,21100,2200,2.002,-0.007,23,77,3,14,19,24,20,13,7
81,鼻水が喉に流れる,20400,2200,2.06,0.001,22,78,5,14,17,21,20,14,9
82,蓄膿症 頭痛,15400,2200,2.277,0.003,36,64,4,18,32,25,12,5,4
83,副鼻腔炎 治らない,8200,2200,2.926,5.597,23,77,2,11,35,34,12,4,2
84,喉に痰が張り付く,26300,2100,1.78,1.425,22,78,4,10,14,21,20,16,15
85,目やに 子供,23300,2100,1.799,-4.965,15,85,0,7,54,31,3,3,2
86,蓄膿症 原因,18300,2100,2.076,0.007,32,68,6,19,24,21,15,9,6
87,蓄膿症 薬,16900,2100,2.128,0,38,62,2,15,27,26,17,8,5
88,副鼻腔炎 鼻水の色,7500,2100,2.947,0.039,21,79,3,15,37,29,11,4,1
89,荊芥連翹湯,24800,2000,1.759,2.212,28,72,2,10,17,25,24,13,9
90,鼻炎とは,21600,2000,1.865,0.001,31,69,8,19,20,19,13,9,12
91,鼻洗浄,19500,2000,1.979,1.838,37,63,1,7,17,25,24,14,12
92,緑の痰が出る,23000,1900,1.721,-1.486,28,72,2,14,29,27,17,7,4
93,子供 熱 上がり下がり,21500,1900,1.747,-6.85,16,84,0,5,48,38,4,3,2
94,緑の鼻水,18200,1900,2.002,-0.002,23,77,4,19,35,24,12,4,2
95,辛夷清肺湯漢方薬,17200,1900,2.047,9.794,26,74,1,4,16,26,22,17,14
96,ちくのう におい,16100,1900,2.112,0.002,35,65,3,10,19,28,25,9,6
97,チクナイン 口コミ,10700,1900,2.503,0.758,39,61,1,5,17,25,29,16,7
98,副鼻腔炎 何科を受診,5200,1900,3.204,0.004,29,71,1,13,33,31,14,5,3
99,蓄膿,15900,1800,2.055,-0.001,35,65,4,14,31,26,14,6,5
100,後鼻漏電 咳が出る,14600,1800,2.174,1.365,24,76,1,6,15,24,23,18,13
101,慢性副鼻腔炎 治療,9800,1800,2.566,6.04,33,67,1,10,18,24,21,16,10
102,副鼻腔炎 蓄膿症 違い,6900,1800,2.866,0.002,26,74,3,16,34,26,13,6,2
103,副鼻腔炎 目やに,6400,1800,2.94,0.043,22,78,0,8,42,34,10,4,2
104,副鼻腔炎 耳がこもる,6100,1800,3.028,0.078,23,77,3,17,35,28,12,4,1
105,緑色の痰,21400,1700,1.72,-0.234,34,66,2,13,24,24,18,12,7
106,トスフロキサシントシル酸塩小児用,19700,1700,1.772,0.109,14,86,1,4,41,40,7,4,3
107,アールエスウイルス 症状子供,19600,1700,1.749,-24.01,12,88,0,9,43,26,8,10,4
108,フルチカゾンプロピオン酸エステル点鼻,19500,1700,1.803,10.776,32,68,0,6,15,23,22,17,17
109,上咽頭炎 症状,16600,1700,2.019,0.017,22,78,2,7,11,19,25,21,15
110,鼻水 透明 ネバネバ,16600,1700,1.98,-0.001,19,81,4,18,29,25,15,6,3
111,辛夷清肺湯,14500,1700,2.096,3.727,29,71,1,5,19,27,23,14,11
112,副鼻腔炎 頭痛 治し方,6600,1700,2.851,0.287,24,76,2,8,32,33,16,6,3
113,副鼻腔炎 痰が絡む,5800,1700,3.022,0.041,24,76,1,10,28,31,17,9,4
114,副鼻腔炎 膿 出し方,5600,1700,3.023,0.717,30,70,3,15,36,28,12,4,2
115,副鼻腔炎読み方,2400,1700,3.891,0,38,62,12,11,11,20,21,15,10
116,痰の絡む咳が続く,20000,1600,1.715,-3.859,14,86,2,8,19,27,17,17,10
117,rsウイルス 登園目安,18900,1600,1.752,-17.998,6,94,0,11,52,23,5,6,3
118,モンテルカスト細粒4mg,17900,1600,1.789,-8.406,17,83,0,6,46,34,5,5,4
119,黄色い鼻水 ネバネバ,15100,1600,2.005,-0.002,26,74,3,11,23,22,19,14,8
120,鼻詰まり 頭痛,13700,1600,2.093,-0.002,26,74,3,21,33,25,12,4,2
121,後鼻漏副鼻腔炎 薬,11700,1600,2.292,4.748,29,71,0,4,12,23,23,20,18
122,蓄膿症 熱が出る,9300,1600,2.472,-0.001,33,67,6,18,30,27,12,4,3
123,急性副鼻腔炎 完治 期間,7400,1600,2.726,0.778,30,70,4,9,21,26,20,13,7
