順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,声帯ポリープ チェック,8400,730,5.859,0,33,67,6,15,15,20,21,13,10
2,声帯結節,29300,640,4.453,0.002,37,63,5,17,22,21,17,11,7
3,声帯ポリープ 治るまで,3400,520,6.4,0.001,32,68,4,13,11,21,23,17,11
4,声帯ポリープ手術,3300,520,6.43,0.001,39,61,1,7,10,19,26,22,15
5,声がかすれる病気,80000,480,3.163,-1.376,35,65,1,2,5,17,28,25,22
6,扁桃炎,262000,450,1.893,-1.113,34,66,5,24,25,21,15,6,4
7,咽頭癌 症状,101000,430,2.815,-0.001,33,67,1,6,13,22,26,18,14
8,声帯炎,35200,410,3.814,0,22,78,2,11,17,24,20,15,11
9,咽頭炎,209000,380,1.949,-0.787,30,70,4,13,20,24,20,11,8
10,声帯ポリープ 自然治癒,1800,360,6.673,0.003,32,68,6,13,16,20,22,15,8
11,咽頭癌,83300,330,2.731,-0.003,40,60,1,5,10,19,25,21,19
12,声帯ポリープ 症状,2400,300,6.223,0.001,37,63,8,27,16,18,17,8,6
13,食道癌 初期症状,159000,290,1.979,-0.001,38,62,1,4,8,17,27,24,19
14,喉の違和感,125000,260,2.104,-2.187,30,70,2,5,8,19,28,20,18
15,声帯ポリープ 癌 確率,1200,260,6.712,0.001,42,58,2,6,13,25,25,19,10
16,声がれ 早く治す方法,71000,250,2.605,-2.481,20,80,2,8,18,26,21,14,11
17,声が出ない,54300,250,2.913,-1.083,26,74,4,10,15,21,21,16,13
18,喉頭がん,32200,240,3.372,0,44,56,2,7,11,18,23,19,20
19,気管支喘息,138000,210,1.777,0.378,29,71,3,12,19,23,17,14,12
20,ポリープとは,60600,210,2.591,-0.001,45,55,7,18,17,20,17,10,11
21,喉頭癌 初期症状,37900,210,3.096,-0.018,43,57,1,3,7,15,22,25,27
22,扁桃腺,112000,200,1.941,-0.002,38,62,7,20,24,22,15,7,5
23,ヒステリー球,61400,190,2.47,0.16,21,79,4,11,17,25,24,13,6
24,声帯,12700,190,4.086,0.238,38,62,6,13,17,20,17,13,14
25,声帯ポリープ とは,2600,190,5.636,0,35,65,8,16,11,22,24,14,5
26,上咽頭炎,89600,180,2.044,5.353,26,74,3,12,21,24,20,12,8
27,声枯れ 治らない,12500,170,3.985,-0.828,19,81,2,10,19,23,21,18,7
28,声帯ポリープ 原因,1200,170,6.331,0,29,71,13,19,17,17,16,12,6
29,甲状腺がん 症状,102000,160,1.858,-0.149,24,76,1,4,7,18,29,23,18
30,喉 ポリープ 症状,9100,160,4.215,-0.147,33,67,3,15,27,27,18,7,3
31,逆流性食道炎 症状,103000,150,1.792,-1.875,29,71,3,11,12,17,22,18,17
32,喉の痛み 治らない,95900,150,1.769,-1.813,31,69,2,10,20,25,22,13,8
33,食道がん 症状,66100,150,2.18,0.84,34,66,1,5,9,19,27,19,20
34,急性咽頭炎,33200,150,2.848,-0.001,27,73,5,20,24,24,16,7,4
35,食道がん,85300,140,1.885,1.634,42,58,2,6,9,18,26,20,19
36,声帯炎 何日で治る,8600,140,4.154,0.224,20,80,2,13,18,24,22,13,8
37,後鼻漏,72800,130,1.936,19.043,27,73,3,12,23,24,18,11,9
38,扁桃腺 腫れ,72500,130,1.938,-4.833,30,70,5,27,29,21,10,5,3
39,咽頭癌 初期症状,26900,130,2.908,0,37,63,2,6,12,19,25,19,17
40,声枯れ 喉痛くない,15100,130,3.505,-0.97,15,85,1,8,21,28,24,11,7
41,扁桃腺摘出手術,77800,120,1.804,-0.52,35,65,2,16,23,23,20,11,5
42,喉頭炎,24600,120,2.939,-0.001,31,69,3,12,20,24,19,13,9
43,肺がん 症状,77200,110,1.793,-12.921,35,65,3,9,11,16,20,18,23
44,藤原聡,33700,110,2.591,-0.001,36,64,11,16,13,20,24,11,5
45,声がれ 原因,17300,110,3.238,-1.943,22,78,0,3,13,24,23,21,16
46,声が出ない 薬 即効,31900,100,2.524,-2.612,21,79,1,9,20,28,22,13,7
47,ポリープ,16000,100,3.229,0,47,53,7,21,22,21,14,8,7
48,声枯れ,11900,100,3.439,-0.006,22,78,2,10,23,26,19,12,8
49,リンパ節炎,53500,90,1.824,-14.174,26,74,3,12,21,27,20,10,7
50,喉にいい食べ物,50700,90,1.891,-1.459,35,65,6,22,22,22,17,7,4
51,伝染性単核球症,46800,90,1.989,-12.366,34,66,3,22,17,21,21,10,6
52,喉,40100,90,2.21,-0.002,31,69,4,10,16,22,20,14,14
53,慢性上咽頭炎,25500,90,2.577,0.796,24,76,2,10,18,23,22,15,10
54,咽頭がん,14600,90,3.144,0.019,42,58,2,8,11,19,25,17,18
55,声がかすれる,8200,90,3.706,-0.507,37,63,3,9,12,19,22,18,17
56,声帯炎 早く治す,7300,90,3.882,0.001,19,81,1,6,18,26,24,15,10
57,バレット食道,54800,80,1.775,7.873,35,65,1,5,11,22,26,20,15
58,機能性発声障害,53700,80,1.808,-21.587,28,72,3,18,20,22,21,10,6
59,にじさんじオフィシャルストア,52200,80,1.853,24.464,12,88,29,39,15,8,6,2,1
60,ダーリン 歌詞,50700,80,1.824,14.2,31,69,33,20,12,18,10,4,3
61,喉にいい飲み物,49200,80,1.838,-0.745,35,65,8,24,24,21,12,6,5
62,扁桃炎 何日で治る,46500,80,1.887,4.362,34,66,6,31,24,19,13,5,2
