順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,滲出性中耳炎,72100,480,4.029,0,21,79,2,8,26,28,15,12,9
2,副鼻腔炎,740000,450,1.64,2.849,32,68,3,10,21,27,19,11,9
3,中耳炎,151000,390,3.083,-0.008,37,63,8,14,26,24,13,8,7
4,中耳炎 大人症状,153000,330,2.906,-0.927,30,70,2,18,22,23,18,10,7
5,突発性難聴,278000,270,2.134,-2.212,29,71,4,10,14,20,22,16,14
6,メニエール病,466000,260,1.541,-2.082,40,60,3,12,18,21,21,13,12
7,マイコプラズマ肺炎 子供,415000,260,1.639,-8.162,18,82,1,3,28,40,9,9,10
8,突発性発疹,309000,260,1.948,-5.524,17,83,0,9,44,20,9,13,5
9,アデノウイルス,433000,240,1.541,0.022,28,72,2,9,29,27,15,12,6
10,手足口病 登園目安,296000,240,1.876,-57.285,14,86,0,5,41,33,8,8,5
11,手足口病 症状 初期 子供,287000,220,1.853,-73.042,17,83,0,4,42,33,5,9,7
12,耳が詰まった感じ,239000,210,2.037,-3.636,30,70,4,9,14,23,22,15,13
13,ヘルパンギーナ,268000,200,1.819,-22.121,26,74,1,9,33,26,12,12,7
14,中耳炎 子供,123000,200,2.557,-2.61,23,77,0,5,41,35,6,8,5
15,外耳炎,112000,190,2.636,-0.228,30,70,5,14,23,27,18,8,5
16,蓄膿症,277000,180,1.69,-8.509,38,62,4,14,24,25,16,10,7
17,川崎病とは,296000,170,1.551,36.575,26,74,1,8,27,25,15,15,9
18,アデノウイルス 子供,173000,170,2.071,-21.904,17,83,0,6,39,29,7,13,6
19,急性中耳炎,21900,160,4.108,-0.001,28,72,6,15,33,29,9,5,3
20,手足口病 症状,263000,150,1.577,-60.288,22,78,1,7,34,30,10,11,7
21,溶連菌 症状,253000,150,1.589,5.191,21,79,3,8,29,32,12,9,7
22,耳管開放症,90300,150,2.659,-0.881,24,76,4,12,19,22,18,12,13
23,耳だれ 原因,28000,150,3.824,-1,31,69,2,8,20,27,23,12,8
24,慢性虫垂炎,3300,140,5.88,0,30,70,2,9,14,24,26,17,8
25,副鼻腔炎 症状,205000,130,1.703,5.064,26,74,3,9,17,22,22,16,11
26,バースデイ オンライン,181000,120,1.732,-15.695,9,91,0,11,54,21,6,6,2
27,ヘルパンギーナ 症状 子供,132000,120,1.989,-41.689,16,84,0,6,41,29,6,11,7
28,耳が痛い,129000,120,2.108,-1.454,24,76,5,10,13,24,23,14,11
29,中耳炎 自然治癒,47300,120,3.073,-0.222,25,75,5,13,30,29,12,6,5
30,真珠腫性中耳炎,13500,120,4.347,0.001,30,70,3,10,16,23,22,14,12
31,アレルギー性鼻炎,158000,110,1.782,1.434,27,73,4,11,17,25,20,13,10
32,補聴器,153000,110,1.836,-4.571,49,51,1,3,5,11,23,23,34
33,水疱瘡,184000,100,1.546,-28.897,30,70,2,8,29,31,13,9,8
34,耳鼻科,125000,100,1.872,-6.382,30,70,3,11,23,28,17,8,10
35,rsウイルス 子供,124000,100,1.949,-29.924,19,81,0,9,40,21,9,14,7
36,耳鳴り 治し方,154000,90,1.634,0.138,46,54,2,3,5,13,24,27,26
37,気管支喘息,138000,90,1.75,45.231,29,71,3,12,19,23,17,14,12
38,好酸球性副鼻腔炎,95600,90,2.056,14.554,34,66,5,10,17,23,23,14,8
39,難聴,61100,90,2.555,-1.363,38,62,2,4,8,16,24,21,25
40,中耳炎 症状,58300,90,2.618,-1.489,26,74,11,15,27,24,12,6,5
41,鼓膜が破れたら,40800,90,2.96,-0.078,38,62,6,10,18,24,20,13,9
42,中耳炎 治るまでの期間,21800,90,3.514,-4.158,28,72,5,11,28,27,15,8,6
43,耳の後ろが痛い,148000,80,1.542,11.75,25,75,2,6,13,25,26,16,12
44,黄色い鼻水,140000,80,1.54,25.69,33,67,4,14,24,26,17,9,6
45,土屋鞄ランドセル,139000,80,1.563,106.63,19,81,1,2,36,33,7,12,9
46,アデホスコーワ顆粒10,134000,80,1.728,-0.934,27,73,0,4,9,17,23,22,25
47,日本脳炎 予防接種,124000,80,1.687,43.113,15,85,2,7,35,35,13,5,3
48,おたふく風邪,122000,80,1.681,12.967,31,69,3,9,25,29,17,10,7
49,結膜炎,121000,80,1.702,12.152,29,71,6,16,31,24,12,6,5
50,溶連菌 出席停止,118000,80,1.753,-35.837,16,84,3,6,27,41,14,6,3
51,良性発作性頭位めまい症,118000,80,1.73,17.786,26,74,2,8,14,22,23,17,14
52,水疱瘡 初期症状,117000,80,1.686,-1.405,17,83,1,4,32,38,10,8,7
53,手足口病 潜伏期間,108000,80,1.867,-73.976,15,85,1,7,41,30,8,9,4
54,クループ症候群,108000,80,1.847,-38.167,19,81,1,11,39,25,10,9,5
55,中耳炎 薬,29300,80,3.08,-0.618,24,76,2,8,25,37,16,7,5
56,鼓膜再生手術,4300,80,5.09,-2.754,34,66,2,1,5,15,22,21,34
57,乱視とは,132000,70,1.538,0.046,33,67,7,17,16,24,19,8,9
58,めまい ふわふわ 女性,126000,70,1.548,-3.784,8,92,1,6,13,24,26,16,14
59,関節リウマチ,122000,70,1.665,15.918,30,70,2,11,11,16,24,19,17
60,ラスビック錠75mg,110000,70,1.617,3.809,30,70,1,6,16,24,23,17,13
61,熱性けいれん,95000,70,1.855,35.21,25,75,1,10,41,24,10,9,5
62,プール熱,91900,70,1.765,-18.374,26,74,2,6,28,32,14,11,7
63,リンゴ病 症状 子供,88800,70,1.91,141.129,15,85,0,4,42,36,5,6,7
64,気管支炎,87400,70,1.903,12.639,29,71,5,16,28,24,13,8,6
65,突発性難聴 初期症状,71400,70,2.076,-3.234,21,79,4,13,20,18,19,14,12
66,流行性角結膜炎,50100,70,2.376,13.159,22,78,2,10,33,29,13,9,4
67,耳管狭窄症,27600,70,3.062,0.005,27,73,3,11,18,23,19,13,13
68,離乳食 進め方 表,116000,60,1.551,6.58,8,92,0,12,44,17,9,13,5
69,掌蹠膿疱症,108000,60,1.617,31.454,27,73,1,7,13,22,26,19,12
70,ベビーザらス,107000,60,1.557,-54.841,23,77,0,12,48,16,9,12,3
71,インフルエンザb型 症状,106000,60,1.553,96.048,26,74,3,7,18,32,21,12,7
72,アンパンマン おもちゃ,104000,60,1.573,29.852,24,76,0,7,32,16,12,23,10
73,こどもちゃれんじ,103000,60,1.542,-5.318,19,81,0,4,41,37,7,7,4
74,夜驚症,97000,60,1.568,27.338,21,79,1,8,36,29,12,9,5
75,就労証明書,95000,60,1.57,8.879,38,62,0,11,45,26,9,6,3
76,耳鳴り,94800,60,1.661,0.069,36,64,3,8,11,18,22,19,19
77,胃腸炎 潜伏期間,93200,60,1.725,55.788,14,86,2,11,36,32,10,6,3
