順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,睡眠時無呼吸症候群 治療,28400,8400,4.442,0.001,49,51,1,6,10,19,27,22,15
2,無呼吸症候群,142000,7700,2.733,-0.01,44,56,1,6,12,22,27,18,14
3,シーパップ,131000,6700,2.662,0.241,48,52,1,5,11,23,30,19,11
4,睡眠時無呼吸症候群 検査,18000,5500,4.464,0,41,59,1,5,12,21,30,19,12
5,cpap,86000,5200,2.833,0.844,49,51,1,9,14,22,26,17,11
6,睡眠時無呼吸症候群 症状,14900,3900,4.311,0,39,61,3,11,13,20,23,17,13
7,睡眠時無呼吸症候群 何科,8800,3800,4.784,0.001,34,66,1,7,15,24,29,16,8
8,無呼吸症候群 治し方 自力,57400,3100,2.745,-0.012,45,55,1,4,10,21,29,19,16
9,睡眠時無呼吸症候群 マウスピース,6200,2700,4.799,0,52,48,1,5,11,23,29,19,12
10,いびき 治し方,102000,2600,1.951,-0.006,55,45,3,19,24,23,17,8,6
11,睡眠時無呼吸症候群 原因,7500,2600,4.598,0.001,43,57,3,12,15,22,24,13,11
12,睡眠障害,103000,2500,1.954,0,35,65,4,11,12,19,24,16,14
13,睡眠時無呼吸症候群 cpap,5000,2200,4.83,0.001,51,49,0,5,9,19,26,26,15
14,エンレスト,88800,2000,1.842,-4.346,37,63,0,12,15,23,24,14,12
15,cpap 人工呼吸器,27800,1700,2.858,0.275,45,55,0,10,10,16,23,22,19
16,いびき 治療,39600,1500,2.349,-0.007,49,51,1,7,15,27,30,14,6
17,無呼吸症候群 治療,25300,1500,2.846,-0.002,45,55,0,4,10,20,28,21,17
18,睡眠時無呼吸症候群 対策,3000,1500,4.908,0.001,55,45,1,7,18,27,30,8,9
19,sas,33000,1400,2.505,0.006,55,45,1,9,11,18,24,22,15
20,生活習慣病管理料,57000,1300,1.898,-86.418,31,69,1,3,9,22,31,21,13
21,無呼吸症候群チェック方法,26900,1300,2.614,-0.5,29,71,1,6,12,24,28,15,14
22,cpap 費用,12200,1100,3.207,0.189,49,51,1,6,13,22,28,17,13
23,シーパップ 値段,16500,1000,2.834,0.016,54,46,1,5,13,24,30,17,10
24,いびき,32800,990,2.131,0.001,40,60,2,10,19,26,24,11,8
25,シーパップ 副作用 脳萎縮,9500,970,3.357,14.055,50,50,0,2,7,19,30,25,17
