順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,顔面神経麻痺 何科,5100,2200,5.445,0.001,29,71,1,4,12,24,29,19,11
2,顔面神経麻痺 治療,6700,2700,5.412,0.01,39,61,0,5,11,18,25,21,20
3,顔面神経麻痺 原因,6900,2500,5.268,0.001,30,70,1,8,14,23,26,16,12
4,顔面神経麻痺 前兆,15900,4100,4.955,0.001,25,75,1,3,9,20,28,21,18
5,顔面麻痺 治るのか,8000,1600,4.708,0.579,31,69,1,4,10,19,28,19,19
6,顔面神経痛,40000,5000,4.242,0,30,70,1,5,10,20,27,20,17
7,顔面神経痛 原因,7400,930,4.237,0,28,72,1,3,8,18,29,22,19
8,顔面 ピクピク 原因,13800,1500,4.107,0.001,22,78,0,2,8,21,32,22,15
9,顔面痙攣,6800,740,4.094,0.002,29,71,2,9,14,22,25,16,12
10,顔面神経,6100,660,4.09,0,38,62,3,26,16,20,16,11,8
11,顔面麻痺,14400,1500,4.049,0,32,68,2,9,18,24,23,13,11
12,顔面麻痺 原因,13700,1400,3.974,-0.002,29,71,1,5,9,25,30,17,13
13,顔面麻痺 前兆,5100,510,3.969,-0.097,22,78,2,6,17,29,27,12,7
14,顔面痙攣 原因,5100,480,3.945,0.007,22,78,2,5,11,24,27,19,12
15,ハント症候群,17700,1500,3.817,0.689,31,69,0,8,13,21,25,18,15
16,ベル麻痺,27800,2200,3.772,0.011,34,66,1,12,14,21,24,17,11
17,帯状疱疹 顔面麻痺,3900,310,3.764,0.501,29,71,0,7,14,25,29,17,8
18,片側顔面痙攣,6400,430,3.599,0.035,24,76,2,6,11,22,28,19,12
19,動眼神経麻痺,6400,310,3.291,-0.001,38,62,1,17,17,20,19,15,11
20,顔のしびれ 原因,4100,160,3.073,0.002,36,64,0,6,11,22,27,21,13
21,ヘルペスウイルス,9700,320,2.903,0.617,36,64,3,13,14,20,21,16,13
22,顔が痺れる感じ,7000,220,2.858,-0.001,36,64,3,7,9,21,29,21,10
23,三叉神経痛 何科,5500,170,2.847,0.845,25,75,1,3,10,22,25,21,18
24,上大静脈症候群,4900,150,2.846,102.05,35,65,1,24,19,22,18,11,5
25,ステロイド点滴,5100,160,2.841,2.231,31,69,1,6,10,21,27,20,15
26,三叉神経痛 症状,8000,240,2.829,2.008,26,74,1,5,7,15,24,27,21
27,ホルネル症候群,13400,400,2.814,14.551,36,64,1,33,18,16,17,10,5
28,三叉神経痛 薬,7200,210,2.804,2.681,32,68,1,4,8,18,25,25,19
29,顔がピクピクする原因,8700,260,2.782,0,24,76,2,8,11,24,30,16,9
30,siadh 診断基準,5200,140,2.712,7.021,63,37,0,15,27,23,15,12,8
31,星状神経節ブロック,7500,200,2.711,10.518,35,65,0,9,11,20,27,18,15
32,ワレンベルグ症候群,12500,330,2.698,-0.287,42,58,0,30,19,19,15,10,7
33,脳神経 12,5600,140,2.672,0.024,41,59,6,41,13,13,13,7,7
34,ワルチン腫瘍,5000,130,2.671,-1.068,43,57,1,16,13,18,20,19,13
35,眼瞼痙攣,16000,420,2.668,0.004,30,70,2,7,13,21,24,19,14
36,ミオキミア,5200,140,2.666,0.022,29,71,3,13,19,25,23,12,5
37,nihss 評価方法,5800,150,2.652,-18.923,43,57,0,41,22,19,11,5,2
38,三叉神経,33700,850,2.649,0.001,33,67,4,16,13,19,20,14,14
39,nihss,6900,170,2.632,-0.077,49,51,1,45,25,16,8,3,2
40,企図振戦,6400,160,2.625,19.444,45,55,2,34,17,17,14,9,7
41,日本内科学会総会 2025,5300,130,2.622,118.332,68,32,0,2,6,19,26,26,21
42,聴神経腫瘍,16500,410,2.613,0,32,68,2,9,13,20,24,19,13
43,コーレス骨折,5300,130,2.609,-2.111,51,49,1,33,17,21,15,9,4
44,耳硬化症,4200,100,2.593,13.814,29,71,2,12,14,20,23,17,12
45,ミンガッチーニ徴候,5100,120,2.59,-5.271,46,54,1,45,24,17,9,3,1
46,三叉神経痛 原因,7500,170,2.58,0.012,27,73,2,5,9,19,22,21,22
47,tpa 適応,4000,100,2.576,2.99,68,32,0,24,30,25,10,6,5
48,正中神経麻痺,4700,110,2.561,14.944,43,57,2,25,18,19,17,12,7
49,三叉神経痛 になりやすい人,8600,190,2.554,6.787,19,81,1,2,5,16,27,23,26
50,痙性麻痺,5700,130,2.552,5.203,39,61,1,29,17,18,17,11,7
51,反回神経麻痺,12300,280,2.535,-0.313,30,70,1,23,15,19,18,14,10
52,球麻痺,9100,210,2.533,0.001,36,64,1,31,17,19,17,10,5
53,反回神経,5500,120,2.529,-8.141,38,62,2,37,13,14,13,10,11
54,帯状疱疹 耳,4500,110,2.525,-0.705,24,76,1,5,14,29,31,12,8
55,mca 脳梗塞,4400,100,2.519,-3.045,27,73,1,39,23,18,11,5,3
56,三叉神経痛,96100,2100,2.518,0.003,29,71,1,6,12,21,25,19,16
57,ロンベルグ徴候,8700,190,2.512,-1.158,44,56,1,51,17,15,9,4,3
58,髄膜刺激症状,7100,160,2.505,-0.054,42,58,2,42,21,18,11,4,2
59,えいふう ツボ,4800,100,2.491,1.976,28,72,1,10,15,23,23,15,13
60,lcs 整形外科,4000,90,2.488,-10.835,38,62,0,18,25,25,19,9,4
61,tmt 評価,4100,90,2.47,6.151,44,56,0,39,19,21,11,6,4
62,耳下腺癌,8100,170,2.466,-0.003,31,69,2,8,15,22,23,17,13
63,神経伝導速度検査,4500,100,2.466,2.377,38,62,1,14,17,22,24,13,9
64,脳室,4500,90,2.466,0.731,38,62,2,24,16,18,18,13,9
65,chads2スコア,6400,130,2.459,-4.708,60,40,0,25,22,19,15,11,8
66,摂食嚥下リハビリテーション学会,4700,100,2.457,-61.749,34,66,0,9,18,31,25,12,5
67,フィネレノン,4600,100,2.457,42.96,67,33,0,10,20,22,20,16,12
68,反跳痛,5500,120,2.454,44.574,30,70,1,31,20,22,15,7,4
