順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,耳鼻咽喉科 近く 現在地,76800,12200,3.749,0,39,61,1,5,9,15,21,23,26
2,呼吸器内科,232000,6900,2.028,0.004,32,68,1,5,14,25,24,17,14
3,耳鼻科 近く 現在地,142000,6400,2.47,-0.001,32,68,2,5,10,23,25,18,17
4,耳鼻科,125000,5300,2.385,0,30,70,3,11,23,28,17,8,10
5,皮膚科,225000,4700,1.706,-0.004,32,68,3,9,14,22,19,14,19
6,耳鼻咽喉科 読み方,14800,3800,4.193,0,46,54,5,21,24,20,15,6,9
7,内科,120000,3400,1.982,0.002,36,64,2,12,19,26,21,11,9
8,喉の違和感,125000,3300,1.914,-0.012,30,70,2,5,8,19,28,20,18
9,口腔外科,85700,2800,2.14,-0.002,39,61,2,8,11,17,21,18,23
10,眼科 近く 現在地,119000,2700,1.768,-1.651,33,67,2,4,10,23,24,19,18
11,眼科,114000,2700,1.812,0,33,67,3,7,15,23,18,14,20
12,耳鼻咽喉科 名医,13200,2300,3.897,0,36,64,0,1,3,9,21,29,37
13,口内炎 何科,67900,1700,1.87,-0.001,28,72,2,8,16,23,23,15,13
14,内科 現在地周辺,53300,1700,2.101,0,32,68,2,9,16,27,26,12,8
15,耳鼻咽喉科 喉の痛み,7700,1500,3.898,0,36,64,2,13,18,18,18,14,17
16,小児科,49300,1400,1.937,-0.002,26,74,3,9,31,32,10,8,7
17,耳鼻咽喉科 咳,9400,1400,3.634,0,23,77,1,14,32,25,12,8,8
18,婦人科,53700,1200,1.711,2.787,15,85,3,14,15,25,21,10,12
19,呼吸器内科 近く,35100,950,1.974,4.16,25,75,1,6,12,20,22,21,18
20,耳鼻咽喉科とは,3000,950,4.385,0,50,50,4,17,22,19,19,10,9
21,喉頭癌 初期症状,37000,810,1.767,-0.013,43,57,1,3,7,14,22,25,28
22,耳鼻咽喉科 日曜診療,3000,740,4.164,0,26,74,2,14,22,26,23,6,7
23,咽頭癌 初期症状,32800,700,1.711,-2.376,37,63,1,6,12,20,25,19,17
24,耳鼻咽喉科 近く,3300,700,4.061,0,36,64,1,9,12,14,17,24,23
25,耳鼻科 名医,14400,670,2.556,-0.001,26,74,0,1,4,13,24,28,30
26,扁桃腺 腫れ 片方だけ,22400,610,1.918,-0.054,28,72,3,16,23,27,17,8,6
27,喉 詰まった感じ,25400,580,1.741,-0.089,31,69,5,15,24,28,19,6,3
28,耳鼻科 日曜日,17400,580,2.121,0.001,26,74,2,10,19,33,22,9,5
29,喉の痛み 何科受診,13000,570,2.423,-0.001,38,62,1,24,29,21,15,6,4
30,喉に違和感がある,26200,560,1.707,-0.01,29,71,7,12,13,21,24,13,10
31,わたなべ耳鼻咽喉科,25300,560,1.723,0.004,29,71,2,9,22,28,19,12,8
32,田中耳鼻咽喉科,22800,550,1.805,0.001,28,72,2,8,19,27,21,13,10
33,喉頭炎,23900,520,1.728,0.162,31,69,3,13,21,23,18,13,9
34,扁桃周囲膿瘍,22700,520,1.766,0.235,35,65,3,19,24,23,18,9,4
35,呼吸器科,19900,520,1.911,0.253,34,66,1,8,17,23,21,15,15
36,口腔外科 歯科 違い,22600,510,1.79,-0.001,38,62,2,7,11,17,23,20,20
37,喉が痛い 何科,11200,510,2.464,-0.001,36,64,2,26,24,22,14,6,6
38,ナタ2 日本上映,19500,490,1.844,147.247,43,57,3,10,29,31,13,8,6
39,近くの耳鼻咽喉科,8600,480,2.699,0,43,57,2,8,8,14,19,21,28
40,喉のつまり感,21600,470,1.715,0.016,26,74,1,5,14,26,26,18,10
41,lvバッグ,19300,470,1.814,-44.661,25,75,1,11,36,26,13,9,4
42,喉 がん 初期症状,15900,470,1.996,-0.022,39,61,2,13,26,28,19,8,4
43,耳鼻咽喉科 風邪,2700,450,3.736,0,35,65,2,16,33,27,11,5,6
44,眼科 名医,22300,440,1.717,-2.888,30,70,0,1,2,10,23,28,36
45,喉頭がんの症状,19800,440,1.773,2.92,47,53,1,3,5,15,23,25,28
46,さとう耳鼻咽喉科,16400,440,1.897,0.006,30,70,2,8,19,31,21,11,8
47,喉の違和感 がん 症状,14200,420,2,-0.003,31,69,1,5,13,22,29,17,13
48,耳鼻咽喉科 口内炎,2300,410,3.806,0,31,69,1,14,24,23,15,11,12
49,こばやし耳鼻咽喉科,14800,390,1.907,0.005,28,72,2,9,20,28,20,12,9
50,耳鼻咽喉科 英語,2800,390,3.631,0,43,57,12,15,11,14,17,16,15
51,咽喉頭異常感症,15600,380,1.835,0.001,27,73,7,16,20,21,18,10,8
52,頭頸部外科,11400,380,2.173,0.002,34,66,1,7,10,16,24,22,20
53,咽喉科,4800,380,3.032,0,51,49,3,17,20,18,15,10,17
54,耳鼻咽喉科麻生病院,2500,360,3.602,0,42,58,2,8,11,19,23,17,20
55,上咽頭炎 症状,16600,350,1.707,0.937,22,78,2,7,11,19,25,21,15
56,喉の奥 違和感,16000,350,1.722,-1.037,26,74,4,13,19,25,24,10,5
57,咽喉とは,6800,350,2.594,0,51,49,4,9,13,16,18,18,22
58,喉の違和感 何科,5500,350,2.802,-0.001,29,71,1,9,15,20,27,16,12
59,味覚障害 何科,14400,340,1.844,-0.001,25,75,1,5,10,18,28,21,17
60,小児科 近く,9200,340,2.214,-0.747,19,81,1,7,32,38,8,7,7
61,舌が痛い 何科,9100,340,2.248,-0.001,27,73,2,8,12,21,26,17,14
62,中村耳鼻咽喉科,14000,330,1.778,0.004,34,66,2,8,16,28,21,14,11
63,よしだ耳鼻咽喉科,13700,320,1.75,0.017,28,72,2,8,21,32,19,10,8
64,たかはし耳鼻咽喉科,12400,320,1.866,0.006,27,73,2,7,20,28,22,11,10
65,声が出ない 喉痛くない,13600,300,1.749,-0.551,18,82,3,12,18,24,22,13,8
66,すずき耳鼻咽喉科,12500,300,1.798,0.004,22,78,2,8,22,33,17,9,9
67,井上耳鼻咽喉科,10400,300,1.98,0.013,31,69,1,8,19,28,19,13,12
68,顎下 しこり,12700,290,1.738,-0.003,31,69,5,19,23,25,19,6,3
69,喉の痛み 病院 何科,5400,290,2.616,-0.001,44,56,3,33,29,18,12,4,1
70,喉 病院 何科,3300,290,3.14,-0.001,58,42,5,35,32,16,9,2,1
71,耳鼻咽喉科 喘息,2000,290,3.59,0,15,85,2,12,37,31,11,3,4
72,声枯れ 治らない,12200,280,1.759,0.637,19,81,1,11,19,23,21,18,7
73,気管支炎 何科,11800,280,1.802,0.016,30,70,1,8,23,28,20,12,8
74,咽頭クラミジア 症状,10900,280,1.91,-0.003,52,48,2,37,26,16,11,5,3
75,歯科口腔外科とは,10200,280,1.971,0.002,38,62,2,14,14,20,21,15,14
76,首のしこり 何科,9300,280,2.021,-0.002,23,77,2,12,22,28,21,10,5
77,喉の違和感 治らない,8700,280,2.085,0.061,32,68,3,10,17,23,23,15,9
78,風邪 何科を受診,12900,270,1.706,-0.001,51,49,4,37,31,16,9,2,1
79,眼科 日曜日,11700,270,1.774,0.034,30,70,3,8,18,29,25,11,6
80,あだち耳鼻咽喉科,11200,270,1.784,0.268,27,73,2,8,22,33,18,9,8
81,永住権 申請 必要書類,10900,270,1.819,-11.284,47,53,0,6,37,28,13,8,8
82,耳鼻咽喉科 咳止まらない,1500,270,3.782,0,28,72,1,12,29,29,16,8,5
83,和田耳鼻咽喉科,9800,260,1.898,0.005,31,69,2,8,18,28,21,13,10
84,声が出ない 何科,6400,260,2.355,-0.001,17,83,2,17,23,25,17,10,6
85,加藤耳鼻咽喉科,10700,250,1.77,0.011,36,64,2,7,18,26,22,14,11
86,アレルギー科,10600,250,1.797,2.15,23,77,2,9,18,28,24,12,7
87,喉のがん 初期症状,10600,250,1.792,-0.009,38,62,4,9,13,20,23,16,15
88,池田耳鼻咽喉科,10400,250,1.789,0.017,28,72,2,9,18,28,21,13,9
89,咳が止まらない 熱なし 何科,9600,250,1.884,0.072,29,71,1,7,13,26,26,16,11
90,花粉症 病院 何科,9500,250,1.906,0,46,54,3,25,28,23,14,5,2
91,哪吒2 日本上映,8700,250,1.952,134.541,41,59,1,10,34,33,14,6,2
92,咽喉,6300,250,2.331,0,50,50,10,17,17,17,15,11,13
93,咽喉科 とは,3200,250,2.986,0.001,48,52,3,7,13,16,22,18,21
94,山田耳鼻咽喉科,10500,240,1.736,0.02,27,73,2,9,23,28,20,10,8
95,喉 何科,3400,240,2.878,-0.001,49,51,4,28,32,21,10,3,2
96,鈴木耳鼻咽喉科,8500,230,1.922,0.134,33,67,1,5,14,25,27,17,11
97,呼吸気内科,7000,230,2.119,-3.344,27,73,1,8,17,26,23,13,12
98,喉痛い 何科,5300,230,2.477,-0.002,34,66,6,42,28,15,6,2,1
99,日本耳鼻咽喉科学会,3400,230,2.875,-39.6,59,41,1,4,10,19,25,21,20
100,おかもと耳鼻咽喉科,10300,220,1.706,0.002,28,72,2,8,18,31,21,12,8
101,喉 ポリープ 症状,9200,220,1.77,-0.002,32,68,3,15,28,27,18,6,3
102,近くの耳鼻科,9700,210,1.737,-0.001,37,63,5,12,14,18,20,14,17
103,西村耳鼻咽喉科,9400,210,1.71,0.012,28,72,2,9,19,27,22,13,8
104,もり耳鼻咽喉科,8600,200,1.75,0.011,29,71,2,9,19,28,20,13,9
105,なかの耳鼻咽喉科,8400,200,1.783,0.001,26,74,2,10,21,30,20,11,6
106,声帯ポリープ チェック,8200,200,1.863,0.01,33,67,7,16,14,20,20,13,10
107,cpb,7400,200,1.919,-32.697,31,69,0,15,43,27,8,4,3
108,まつもと耳鼻咽喉科,7000,200,1.952,0.005,30,70,1,9,20,29,19,12,10
109,麻生耳鼻咽喉科,6700,200,1.994,0.083,30,70,1,7,16,29,24,13,10
110,耳鼻科 喉の痛み,5300,200,2.272,-0.001,32,68,5,26,28,23,7,5,6
111,口の中 白いできもの,8700,190,1.726,-0.01,25,75,6,17,27,27,13,6,4
112,呼吸器科 呼吸器内科 違い,8600,190,1.774,2.181,28,72,0,7,13,21,24,19,16
113,逆流性食道炎 何科,8500,190,1.712,1.035,34,66,2,15,26,29,18,5,5
114,扁桃炎 熱なし,7800,190,1.879,0.064,22,78,5,32,32,19,7,3,2
115,顎の下 腫れ,7800,190,1.796,-0.03,27,73,2,8,16,25,27,14,8
116,副鼻腔炎 読み方,7700,190,1.846,1.392,38,62,7,18,28,22,12,7,6
117,喉違和感 詰まった感じ,7100,190,1.895,-1.199,25,75,7,17,19,24,21,8,4
118,性病 喉の痛み 男,6200,190,2.052,-0.457,97,3,3,31,27,19,12,5,3
119,喉 性病,5800,190,2.133,-0.011,57,43,4,37,32,17,7,2,1
120,たかの耳鼻咽喉科,8000,180,1.727,0.003,30,70,1,10,19,26,21,13,10
121,佐々木耳鼻咽喉科,7900,180,1.736,-0.001,30,70,2,8,21,29,20,10,10
122,さわだ耳鼻咽喉科,7800,180,1.755,0.044,28,72,2,8,23,29,17,11,10
123,扁桃周囲炎,7700,180,1.802,0.371,30,70,3,21,27,24,14,7,4
124,呼吸器内科 大阪,7300,180,1.822,0,27,73,1,7,12,22,27,19,12
125,口腔外科とは,6700,180,1.955,0.001,32,68,2,7,8,14,24,18,27
126,胃腸科,6400,180,1.979,8.738,33,67,2,8,13,24,25,15,13
