順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,くも膜下出血 前兆,69600,13000,3.694,0,33,67,3,11,14,20,22,16,14
2,脳出血,156000,7900,2.368,0,33,67,2,7,11,21,25,18,16
3,くも膜下出血 生存率,18500,7100,4.405,0.001,39,61,7,12,12,20,23,14,12
4,くも膜下出血 後遺症,15200,6600,4.522,0.004,31,69,1,8,10,19,28,20,14
5,くも膜下出血 原因,22700,5900,4.016,0.001,37,63,5,15,14,19,21,14,12
6,脳卒中とは,100000,5100,2.383,0.001,40,60,3,10,12,20,24,17,14
7,くも膜下出血 手術後,6900,3900,4.783,0.142,28,72,1,6,9,22,29,20,13
8,硬膜下血腫,78700,3700,2.338,0,33,67,1,9,11,16,22,19,22
9,脳動脈瘤,58600,3500,2.547,0.004,30,70,1,7,10,20,26,19,17
10,慢性硬膜下血腫,66300,2900,2.251,0.019,31,69,1,12,13,18,23,17,16
11,急性硬膜下血腫,51900,2200,2.2,0.22,39,61,2,11,12,18,20,19,18
12,くも膜下出血 2週間,4100,2200,4.725,0.314,32,68,2,7,11,20,29,19,12
13,外傷性くも膜下出血,18700,1900,3.052,0.011,35,65,2,14,14,21,23,15,11
14,くも膜下 前兆 チェック,17800,1900,3.114,0,29,71,2,11,17,20,20,15,15
15,くも膜下出血 症状,6300,1900,4.178,0,37,63,7,26,17,16,16,9,9
16,くも膜下出血 治療,4200,1900,4.587,0.005,35,65,3,14,10,18,24,16,15
17,くも膜下出血 再発,3500,1800,4.71,0.178,31,69,1,6,7,17,34,21,14
18,脳内出血,32800,1700,2.373,0,37,63,2,6,10,20,27,18,17
19,硬膜下出血,24200,1700,2.739,0,36,64,1,6,9,15,23,22,24
20,co2ナルコーシス,29700,1400,2.303,-1.736,30,70,1,32,18,21,16,8,4
21,胸腔ドレーン,29700,1400,2.283,-0.509,23,77,3,37,19,19,13,5,4
22,mmt 評価,27800,1400,2.39,-0.017,30,70,1,34,21,21,14,5,4
23,脳卒中,25100,1400,2.439,0,45,55,4,14,15,20,21,13,13
24,gcs,23100,1400,2.552,0.001,46,54,2,39,25,18,10,4,2
25,gcs 意識レベル,21400,1400,2.598,-0.008,44,56,1,31,23,22,14,6,3
26,被殻出血,19500,1300,2.635,0.005,35,65,1,25,17,19,19,12,7
27,椎骨動脈解離,27800,1200,2.235,0.912,38,62,1,10,16,25,25,14,9
28,水頭症 症状,25000,1200,2.318,8.158,28,72,1,10,13,18,21,16,21
29,星野源 くも膜下出血,18200,1200,2.635,2.897,28,72,8,14,12,18,21,16,11
30,バレー徴候,17100,1200,2.706,0.336,37,63,1,42,21,18,12,4,2
31,くも膜下,7500,1200,3.52,0.002,40,60,1,8,13,21,21,16,20
