順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,てんかん 症状,224000,8000,2.924,-0.004,36,64,4,14,16,22,22,13,9
2,てんかん 発作 対応,61900,4000,3.497,0,34,66,2,8,12,25,28,15,10
3,てんかん 治る,25400,2400,3.894,0,41,59,2,7,12,21,25,17,16
4,てんかん 障害者手帳,21700,2300,4.009,0,29,71,1,5,13,26,30,15,10
5,てんかん 薬,20800,1900,3.848,0.002,32,68,2,8,12,22,26,17,13
6,てんかん 運転免許,17100,1800,3.973,0,50,50,1,9,12,23,28,16,11
7,レベチラセタム,46600,1400,2.757,3.096,32,68,1,15,16,24,23,13,8
8,てんかん 遺伝,14500,1300,3.868,0,26,74,1,9,16,19,24,18,13
9,熱性けいれん,92800,1200,1.891,-0.011,25,75,1,11,40,24,10,9,5
10,バルプロ酸ナトリウム,63300,1100,2.168,0.421,28,72,1,13,16,25,24,14,7
11,イーケプラ,29400,970,2.843,0.041,32,68,1,15,15,25,23,14,7
12,てんかん発作,18200,950,3.312,0.003,31,69,5,18,19,23,20,10,5
13,ビムパット,25200,920,2.947,2.209,35,65,1,14,17,25,22,13,8
14,てんかん 原因,12300,880,3.608,0.002,33,67,4,16,21,27,20,8,4
15,リボトリール,61900,840,1.965,-0.125,33,67,1,11,15,22,24,16,11
16,症候性てんかん,19700,830,3.089,0.003,31,69,1,17,17,22,22,13,8
17,てんかんとは,20200,820,3.09,0,39,61,15,31,19,17,11,4,3
18,デパケン,35000,800,2.471,0.831,29,71,1,12,16,24,24,15,8
19,痙攣 原因,29400,770,2.636,-0.394,31,69,3,9,10,21,24,17,16
20,髄膜炎,49000,670,1.956,-0.029,34,66,3,15,24,24,18,9,7
21,痙攣,34900,660,2.296,0,42,58,5,9,11,17,22,19,17
22,抗てんかん薬,11400,660,3.405,0.231,34,66,1,18,16,23,22,12,8
23,jcs,48100,630,1.937,-0.021,40,60,2,32,23,19,14,6,4
24,脳波検査,12600,610,3.246,1.113,31,69,5,13,15,23,19,12,13
25,ウエスト症候群,41300,600,2.026,0,14,86,1,12,29,22,18,13,5
26,ミオクローヌス,33300,570,2.195,-0.001,29,71,2,20,20,22,19,11,6
27,テグレトール,26300,570,2.424,0.12,32,68,1,11,15,22,23,16,12
28,てんかん重積,10000,530,3.297,0.001,38,62,1,14,18,26,22,12,7
29,ウェルニッケ脳症,41000,510,1.879,2.86,35,65,1,21,18,21,19,13,7
30,てんかん 発作,5800,510,3.811,0.002,31,69,5,15,21,29,21,7,2
31,てんかん 子供,5200,480,3.818,0.001,14,86,1,6,30,44,10,4,5
32,カルバマゼピン,29600,470,2.125,0.022,34,66,1,14,15,21,23,15,11
33,co2ナルコーシス,29700,460,2.111,-1.915,30,70,1,32,18,21,16,8,4
34,ラモトリギン,21700,460,2.401,2.036,32,68,2,17,17,23,23,12,6
35,フィコンパ,13300,460,2.883,17.076,35,65,1,15,19,25,22,12,6
36,てんかん 種類,3700,460,4.163,0.001,28,72,2,21,22,26,18,7,4
37,一過性脳虚血発作,37100,450,1.88,-0.002,31,69,1,9,11,18,24,19,18
38,欠神発作,12100,440,2.948,0.02,30,70,1,18,18,25,19,12,7
39,レベチラセタム錠500mg,11800,440,2.984,3.37,31,69,1,7,9,20,26,20,17
40,ファロー四徴症,34300,430,1.878,-0.019,28,72,2,29,21,20,15,9,4
41,イレウス,33600,430,1.911,-0.066,31,69,1,14,14,22,23,16,10
42,脳卒中,25100,430,2.202,-2.348,45,55,4,14,15,20,21,13,13
43,ミオクロニー発作,8600,430,3.267,0.005,25,75,1,18,17,21,22,14,7
44,意識障害,27600,420,2.073,-0.239,34,66,2,9,12,19,24,19,15
45,ノルアドレナリン,33400,410,1.874,-4.079,35,65,4,25,17,21,17,9,7
46,不随意運動,29000,410,1.995,-0.024,28,72,2,12,15,23,24,16,8
47,脳波検査でわかること,8400,410,3.253,0.01,23,77,3,10,13,20,23,16,15
48,側頭葉てんかん,6700,410,3.483,0.085,31,69,2,13,14,23,21,17,10
49,小児てんかん,5600,390,3.581,0.004,25,75,1,9,30,29,14,10,7
50,セルシン,29900,380,1.901,-0.001,32,68,1,16,16,22,20,13,12
51,チアノーゼ,25200,380,2.081,1.838,33,67,4,26,23,18,14,9,6
52,悪性症候群,23700,370,2.111,0.059,35,65,1,23,20,23,18,10,5
53,てんかん薬,3600,370,3.954,1.687,26,74,2,12,13,25,28,13,7
54,胸腔ドレーン,29700,360,1.869,-6.408,23,77,3,37,19,19,13,5,4
55,ercp,28800,360,1.882,-10.89,28,72,1,27,18,21,17,9,7
56,mmt 評価,27800,360,1.911,-3.538,30,70,1,34,21,21,14,5,4
57,点頭てんかん,16200,360,2.435,0,19,81,1,14,36,22,14,9,4
58,けいれん,5100,360,3.606,0,31,69,4,15,19,23,17,11,11
59,ダイアップ坐剤,26000,350,1.936,-0.009,22,78,0,10,28,27,18,12,5
60,ラミクタール,12700,350,2.673,0.174,32,68,1,13,17,24,24,13,8
61,強直間代発作,4700,350,3.657,0.231,32,68,2,26,17,25,18,8,4
62,熱性痙攣,17800,340,2.307,-0.013,24,76,2,17,47,19,7,5,3
63,mrsa,26500,330,1.868,0.02,29,71,2,22,18,22,18,12,6
64,gcs,23100,330,2.048,-0.195,46,54,2,39,25,18,10,4,2
65,tia 医療,24800,310,1.886,1.98,28,72,1,24,20,21,19,9,6
66,アテローム血栓性脳梗塞,23600,310,1.959,-0.367,30,70,1,20,10,16,22,17,14
67,テタニー症状,23000,310,1.955,4.468,29,71,1,29,19,21,17,8,5
68,ドラベ症候群,22300,310,1.993,0,17,83,1,8,21,27,20,16,7
69,洞不全症候群,21200,310,2.063,-0.086,33,67,1,19,17,19,19,13,12
70,代謝性アシドーシス,20600,310,2.097,-7.051,27,73,2,35,18,19,15,7,4
71,nppv,19200,310,2.131,-1.256,29,71,1,30,19,22,17,8,3
72,尿毒症,18900,310,2.179,0.343,35,65,3,28,18,15,15,10,11
73,ひきつけとは,18900,310,2.133,0,29,71,3,15,36,21,10,8,7
74,脳性麻痺,17300,310,2.249,0.003,24,76,2,16,21,24,17,11,9
75,脳炎,17100,310,2.235,0.052,37,63,2,13,22,25,17,12,9
76,てんかん発作 対応,7400,310,3.091,0.002,23,77,2,16,20,27,22,9,4
77,スタンダードプリコーション,23900,300,1.884,5.148,25,75,6,23,14,21,21,11,4
78,mmse,21600,300,2.002,-19.042,37,63,1,24,15,19,19,12,10
79,バビンスキー反射,21400,300,2.004,-3.287,37,63,3,34,23,16,13,8,3
80,バレー徴候,17100,300,2.232,-6.803,37,63,1,42,21,18,12,4,2
81,抗精神病薬,22900,290,1.894,2.05,34,66,1,17,14,20,23,15,10
82,gcs 意識レベル,21400,290,1.958,-7.601,44,56,1,31,23,22,14,6,3
83,エリクソン 発達段階,21100,290,1.997,-5.495,22,78,7,38,11,17,15,8,4
84,mmse 評価,22800,280,1.873,-2.03,32,68,1,21,13,19,21,16,9
85,スルバシリン,22700,280,1.867,-1.568,38,62,0,25,18,19,18,12,8
86,アプガースコア,22100,280,1.897,-26.449,25,75,1,32,29,19,11,6,2
87,膀胱留置カテーテル,17400,280,2.154,-11.675,17,83,2,32,16,18,15,8,9
88,ランドセン,17300,280,2.122,-0.02,33,67,1,12,18,23,23,14,9
89,てんかん発作 前兆,3900,280,3.611,0.064,20,80,2,11,17,28,25,12,5
90,アカシジア,20500,270,1.927,2.174,30,70,3,17,18,23,22,11,6
91,tia,20400,270,1.938,0,41,59,2,14,15,21,20,18,10
92,セレネース,20200,270,1.946,1.02,33,67,1,23,18,23,19,10,6
93,血ガス,20000,270,1.955,-8.194,22,78,1,27,22,25,17,6,2
94,アセリオ,19900,270,1.965,-23.6,29,71,0,31,18,21,17,9,4
95,痙攣重積発作とは,7400,270,2.945,0.003,32,68,1,16,22,23,17,13,8
96,難治性てんかん,4300,270,3.496,5.813,24,76,1,11,18,26,21,15,8
97,ニカルジピン,20400,260,1.933,-7.749,30,70,1,38,19,19,13,7,3
98,コントミン,20400,260,1.883,-0.764,34,66,1,14,18,24,22,13,8
99,バソプレシン,19600,260,2.009,-9.327,34,66,16,37,12,14,11,6,4
100,12誘導心電図 貼り方,19500,260,1.954,-0.186,29,71,1,37,25,22,11,3,1
101,被殻出血,19500,260,1.928,-0.207,35,65,1,25,17,19,19,12,7
102,ハロペリドール,19300,260,1.97,-0.001,33,67,1,24,18,22,19,10,6
103,pvc 心電図,18300,260,2.012,3.044,27,73,1,38,20,18,13,6,4
104,ソルメドロール,18000,260,2.049,6.326,29,71,0,33,19,20,15,8,5
105,ジスキネジア,15100,260,2.206,-0.906,31,69,1,18,15,22,22,13,9
106,転換性障害,10500,260,2.539,0,31,69,3,16,16,22,23,13,7
107,痙攣 対処方法,9600,260,2.643,-0.093,24,76,4,11,14,25,22,14,10
108,失神とは,19400,250,1.944,0.007,32,68,8,13,11,18,21,14,15
109,錐体外路症状,17000,250,2.062,9.627,31,69,1,28,15,19,19,10,8
110,ホーマンズ徴候,14300,250,2.236,0.178,22,78,1,48,19,17,11,3,1
111,ゾニサミド,12700,250,2.319,9.683,34,66,0,14,16,22,24,15,9
112,レノックスガストー症候群,11600,250,2.448,0.013,28,72,0,11,14,21,21,20,13
113,房室ブロック,17300,240,2.021,-2.695,34,66,2,22,16,18,18,12,12
114,ヒルナミン,17000,240,1.982,0.49,35,65,1,12,18,25,24,13,7
115,振戦,15600,240,2.077,0.012,38,62,2,14,17,22,22,13,10
116,デパケン 効果,14100,240,2.162,0.997,25,75,1,10,12,22,27,18,10
117,頭蓋内圧亢進症状,11700,240,2.4,-5.55,23,77,2,43,17,18,12,5,3
118,脳神経,11600,240,2.386,-0.817,39,61,5,30,12,16,15,11,11
119,緊張性気胸,18800,230,1.874,-8.006,38,62,4,27,19,20,16,9,5
120,バーセルインデックス,17900,230,1.914,1.325,40,60,2,35,21,21,12,6,3
121,脱水 血液データ,16900,230,1.975,-27.745,21,79,1,27,17,21,18,10,6
122,コルサコフ症候群,14600,230,2.109,4.657,34,66,1,24,13,19,21,14,8
123,ダイアップ,11300,230,2.356,0.338,24,76,1,14,36,26,13,7,3
124,意識消失,10200,230,2.463,0.001,26,74,1,7,12,23,27,20,10
125,バルプロ酸,10100,230,2.478,0.011,29,71,1,18,20,23,22,10,6
126,icf,16400,220,1.98,-1.179,37,63,4,31,13,20,18,9,5
127,ブルンストロームステージ,15300,220,2.044,-8.091,46,54,1,42,27,18,7,3,2
128,ドパミン,15200,220,2.05,-0.096,32,68,2,22,13,18,18,13,14
129,自立支援医療,15200,220,2.02,3.207,36,64,1,14,18,24,23,12,8
130,羽ばたき振戦,13900,220,2.107,-1.799,31,69,1,32,19,20,17,7,4
131,シバリング,13800,220,2.111,9.635,30,70,2,23,22,21,18,10,4
132,痙攣とは,12700,220,2.239,-0.01,38,62,7,9,9,16,21,19,19
133,低酸素血症,11700,220,2.277,-14.281,31,69,3,30,17,19,16,9,6
134,フェノバール,11600,220,2.284,-0.287,28,72,1,15,19,24,21,12,8
135,脳波,6700,220,2.889,0.793,40,60,4,18,13,17,18,14,16
136,ネフローゼ,15000,210,1.993,14.54,36,64,1,10,15,21,23,15,15
137,完全房室ブロック,14500,210,2.05,11.927,32,68,1,23,19,20,18,11,8
138,失神,10200,210,2.382,0.004,40,60,8,19,19,20,18,9,7
139,腸蠕動音,8700,210,2.543,-6.762,17,83,4,43,15,18,13,5,2
140,てんかんの薬,4100,210,3.328,0.965,25,75,2,5,10,18,27,21,17
141,psvt,15600,200,1.906,-2.22,33,67,1,31,28,20,12,5,3
142,脳貧血,15400,200,1.946,-0.128,17,83,6,21,24,22,15,7,5
143,ホルネル症候群,13500,200,2.051,13.628,36,64,1,33,18,16,17,10,5
144,hds-r,13400,200,2.053,-13.394,38,62,1,28,15,19,18,11,8
145,半側空間無視,12800,200,2.128,-27.263,42,58,2,29,20,19,16,9,5
146,眼振,12700,200,2.107,-0.001,29,71,4,18,21,23,19,9,6
147,重症心身障害児,12200,200,2.156,-0.053,21,79,1,22,20,27,19,7,4
148,けいれん 種類,5900,200,2.851,-0.001,24,76,1,15,19,25,17,11,12
149,イーケプラ 副作用,3500,200,3.409,7.854,27,73,2,9,15,26,27,12,9
150,胃瘻,15800,190,1.878,3.707,37,63,3,18,14,18,21,14,12
151,gi療法,15500,190,1.886,6.29,25,75,0,34,26,23,12,4,1
152,失語症,15300,190,1.867,-8.117,39,61,5,18,20,21,19,9,8
153,bun 基準値,15200,190,1.933,-7.582,14,86,2,39,11,13,12,9,14
154,高ナトリウム血症,14300,190,1.915,-0.566,34,66,1,25,20,21,17,10,6
155,視床出血,13900,190,1.996,-0.204,37,63,1,24,16,19,18,13,9
156,正常圧水頭症,13600,190,2.035,-0.159,35,65,1,20,13,18,21,15,12
157,結節性硬化症,13300,190,2.029,-0.612,34,66,1,12,15,22,21,16,13
158,神経因性膀胱炎,13200,190,2.033,-1.007,27,73,1,19,17,20,20,13,10
159,人工鼻,12700,190,2.084,0.963,25,75,1,26,20,23,18,7,5
160,iadl,12700,190,2.038,0.076,31,69,2,23,15,22,22,10,6
161,採血 スピッツ 順番,12300,190,2.064,-7.535,10,90,0,35,17,24,16,5,3
162,側頭葉,9200,190,2.397,0.619,32,68,3,17,13,22,20,13,12
163,ブコラム,5900,190,2.805,0.039,34,66,0,13,22,31,20,10,4
164,静岡てんかん神経医療センター,4100,190,3.164,10.223,34,66,2,7,13,25,27,15,11
165,向精神薬,14600,180,1.87,-15.021,38,62,2,16,17,22,22,13,8
166,経鼻経管栄養,14300,180,1.896,3.109,22,78,2,17,10,18,25,18,10
167,高血糖,14200,180,1.889,11.002,35,65,2,16,14,20,22,14,12
168,国立精神神経医療研究センター,14100,180,1.929,4.04,35,65,0,8,13,23,25,18,13
169,るいそうとは,13900,180,1.939,-45.172,30,70,1,21,13,20,22,15,8
170,soapの書き方,13900,180,1.916,-16.167,22,78,2,38,12,19,16,9,4
171,fim 評価表,13600,180,1.95,-30.51,38,62,1,33,17,20,15,9,5
172,小脳,13500,180,1.992,-6.018,36,64,4,14,11,17,19,16,19
173,ファーラー位,12900,180,1.994,-6.895,26,74,4,26,17,22,19,9,3
174,ビーフリード,12800,180,1.979,4.021,33,67,1,28,18,19,18,10,6
175,dダイマー,12300,180,2.072,-1.286,33,67,1,21,18,19,18,11,12
176,脱水,11800,180,2.075,-17.823,28,72,2,18,18,23,19,11,9
177,廃用症候群,11700,180,2.107,1.682,32,68,3,19,11,17,23,17,10
178,リザーバーマスク,11300,180,2.148,0.292,21,79,1,32,18,21,18,8,2
179,頸静脈怒張,11300,180,2.114,5.474,34,66,2,29,19,22,16,7,5
180,バルプロ酸ナトリウム徐放錠,10800,180,2.166,4.217,26,74,2,9,13,24,27,15,10
181,クスマウル呼吸とは,9800,180,2.28,-8.851,33,67,4,43,18,17,11,5,2
182,アダムスストークス症候群,9700,180,2.33,9.945,40,60,1,35,19,17,12,8,8
183,イーケプラ錠500mg,4800,180,2.99,3.419,35,65,0,11,10,18,23,23,15
184,ツルゴール反応,13300,170,1.904,-0.253,28,72,1,24,21,25,20,7,2
185,ロピオン,13000,170,1.963,-5.993,28,72,1,39,21,18,12,6,3
186,海綿状血管腫,12400,170,1.968,-1.531,34,66,1,11,15,22,21,17,13
187,脳動静脈奇形,12300,170,1.956,0.01,30,70,3,14,18,22,22,12,9
188,自立支援,11900,170,2.012,-0.031,31,69,2,12,17,23,27,12,7
189,起座呼吸,11600,170,2.066,0.576,38,62,2,37,20,17,13,7,4
190,輸液ポンプ,11100,170,2.066,0.586,23,77,1,30,16,22,19,9,3
191,エダラボン,10800,170,2.15,-13.444,35,65,0,36,18,17,15,8,6
192,fim,10300,170,2.198,-0.603,45,55,1,39,17,18,14,7,4
193,共同偏視とは,9500,170,2.252,-11.922,36,64,0,32,22,21,16,6,3
194,スクイージング,9300,170,2.294,1.009,24,76,2,31,21,20,17,7,2
195,錐体路,8900,170,2.323,-0.444,42,58,4,47,14,14,11,6,4
196,器質性精神障害,7800,170,2.421,13.225,31,69,2,15,13,20,25,15,10
197,ひきつけ けいれん 違い,7100,170,2.535,0,23,77,1,8,31,27,15,10,8
198,癲癇,6400,170,2.62,0.004,42,58,5,12,16,22,23,13,9
199,デパケン 副作用,6300,170,2.629,6.024,25,75,1,7,13,27,27,15,10
200,ひきつけ,4300,170,3.011,0,33,67,2,12,39,23,10,7,7
201,痙攣発作,4100,170,3.064,0.096,29,71,2,12,15,25,25,13,8
202,アドバンスケアプランニング,13000,160,1.886,0.125,25,75,2,22,12,22,24,12,6
203,急性冠症候群,12900,160,1.877,-0.772,42,58,1,22,17,22,19,12,7
204,オノアクト,12600,160,1.946,23.716,33,67,0,37,23,21,12,5,2
205,シリンジポンプ,12600,160,1.896,6.154,34,66,1,29,17,20,17,9,7
206,脳血管障害,12400,160,1.935,3.277,28,72,3,14,11,17,22,18,15
207,ワレンベルグ症候群,12400,160,1.931,-21.429,42,58,0,29,19,19,15,11,7
208,siadh,12400,160,1.903,3.344,39,61,0,26,24,22,15,9,4
209,急性脳症,11800,160,1.941,0.001,21,79,2,8,33,32,12,8,5
210,レボドパ,11300,160,2.066,3.924,32,68,1,24,11,18,19,13,14
211,僧帽弁,11100,160,2.064,-12.783,41,59,5,28,14,16,14,11,12
212,クロナゼパム,10900,160,2.042,-0.055,37,63,2,12,15,23,23,14,11
213,フィジカルアセスメント,10900,160,2.012,-22.29,17,83,6,30,13,23,18,7,3
214,picc,10700,160,2.089,-2.901,33,67,1,27,20,21,18,9,4
215,脳ヘルニア,10000,160,2.114,-19.047,36,64,2,28,18,19,17,10,6
216,ckd 医療,9900,160,2.128,-54.856,16,84,1,33,16,20,18,8,4
217,ケルニッヒ徴候,9400,160,2.221,-0.717,41,59,1,51,18,15,9,4,2
218,呼吸性アシドーシス,9400,160,2.197,-4.577,29,71,3,44,18,16,12,5,2
219,ロンベルグ徴候,8700,160,2.307,-2.726,44,56,2,51,17,15,8,4,3
220,対光反射,8300,160,2.31,-9.684,31,69,5,39,17,18,13,5,3
221,失神 原因,7900,160,2.365,0.002,38,62,4,12,12,19,23,15,15
222,アレビアチン,7000,160,2.461,0.002,33,67,0,19,21,23,20,11,6
223,アシドーシス,6800,160,2.509,-11.81,35,65,3,26,16,18,18,10,9
224,熱性痙攣 繰り返す,6100,160,2.577,-0.004,15,85,0,8,41,23,11,13,4
225,ケトン食,12600,150,1.885,0.112,29,71,1,4,8,17,26,24,20
226,延髄,12200,150,1.905,-1.851,36,64,9,20,15,19,16,11,10
227,血友病,12000,150,1.91,4.131,33,67,5,21,20,21,17,9,7
228,レボトミン,11900,150,1.909,9.454,36,64,1,13,17,24,23,14,8
