順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,重症筋無力症,74600,1200,2.124,-5.42,32,68,2,17,15,21,21,14,10
2,クッシング症候群,70700,1100,2.064,-6.339,25,75,2,21,14,20,23,13,7
3,もやもや病 原因,5000,1100,4.771,0.004,28,72,3,5,8,16,24,22,22
4,jcs 意識レベル,50300,810,2.077,-7.848,34,66,1,29,23,22,16,6,3
5,ウェルニッケ脳症,41000,810,2.282,0.019,35,65,1,21,18,21,19,13,7
6,ラクナ梗塞,49600,790,2.093,-0.005,32,68,1,11,9,16,23,21,19
7,一過性脳虚血発作,37100,690,2.254,0.004,31,69,1,9,11,18,24,19,18
8,多系統萎縮症,40700,630,2.047,0.002,32,68,1,12,13,21,22,18,13
9,ファロー四徴症,34300,630,2.209,-0.513,28,72,2,29,21,20,15,9,4
10,コンパートメント症候群,37200,610,2.116,0.158,34,66,2,28,18,20,18,9,5
11,もやもやするとき,10800,610,3.305,0,15,85,5,8,20,33,23,8,3
12,ミオクローヌス,33300,570,2.142,0.978,29,71,2,20,20,22,19,11,6
13,二宮こずえ,26800,550,2.259,-16.171,15,85,0,1,12,47,27,8,5
14,チェーンストークス呼吸,35500,540,2.028,-0.096,28,72,2,24,20,22,19,9,4
15,褐色細胞腫,27500,530,2.258,-0.887,32,68,1,19,12,20,22,16,10
16,髄膜腫,32700,520,2.076,-0.003,30,70,1,8,11,19,24,20,17
17,バレー徴候,17100,520,2.738,0.085,37,63,1,42,21,18,12,4,2
18,dic 医療,33900,510,2.021,-8.244,28,72,1,26,19,20,18,10,6
19,co2ナルコーシス,29700,510,2.148,-3.086,30,70,1,32,18,21,16,8,4
20,被殻出血,19500,510,2.572,0.348,35,65,1,25,17,19,19,12,7
21,gcs,23100,500,2.397,-1.079,46,54,2,39,25,18,10,4,2
22,胸腔ドレーン,29700,480,2.108,-14.945,23,77,3,37,19,19,13,5,4
23,mmt 評価,27800,480,2.165,-7.007,30,70,1,34,21,21,14,5,4
24,tia 医療,24800,480,2.282,-0.001,28,72,1,24,20,21,19,9,6
25,アテローム血栓性脳梗塞,23600,480,2.344,-0.035,30,70,1,20,10,16,22,17,14
26,テタニー症状,23000,460,2.294,-0.593,29,71,1,29,19,21,17,8,5
27,pci 医療用語,27200,450,2.119,-0.532,29,71,0,25,16,21,20,11,7
28,アトロピン,28900,440,2.044,-0.041,30,70,1,31,18,21,15,9,5
29,アルドステロン,28100,440,2.063,-20.12,31,69,3,24,10,18,21,13,11
30,悪性症候群,23700,440,2.225,-9.283,35,65,1,23,20,23,18,10,5
