順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,水頭症,123000,1200,3.671,-0.006,31,69,1,11,18,20,20,14,16
2,レビー小体型認知症,133000,960,3.376,-4.169,28,72,1,7,9,17,27,21,18
3,慢性硬膜下血腫,66300,750,3.817,-0.003,31,69,1,12,13,18,23,17,16
4,進行性核上性麻痺,48100,630,3.971,-0.007,32,68,1,9,12,20,23,17,18
5,重症筋無力症,74600,610,3.48,-2.247,32,68,2,17,15,21,21,14,10
6,廃用症候群とは,73900,550,3.394,-2.898,27,73,2,13,10,16,25,21,13
7,jcs 意識レベル,50300,510,3.683,-15.476,34,66,1,29,23,22,16,6,3
8,長谷川式簡易知能評価スケール,44400,500,3.803,-31.544,26,74,1,16,13,22,26,12,10
9,日常生活自立度,43900,490,3.776,-35.066,35,65,1,20,20,25,20,9,5
10,ウェルニッケ脳症,41000,490,3.852,-0.392,35,65,1,21,18,21,19,13,7
11,ドネペジル,60100,480,3.452,-8.958,28,72,0,10,11,20,28,19,12
12,低ナトリウム血症,53000,480,3.59,-20.969,33,67,1,18,17,21,20,13,10
13,低カリウム血症,58100,460,3.457,-6.068,29,71,1,17,15,21,22,15,9
14,前頭側頭型認知症,30500,450,4.073,-0.005,28,72,1,11,12,20,25,19,12
15,多系統萎縮症,40700,430,3.736,-13.264,32,68,1,12,13,21,22,18,13
16,jcs,48100,410,3.525,-18.94,40,60,2,32,23,19,14,6,4
17,深部静脈血栓症,41100,410,3.693,-14.183,27,73,2,23,13,18,20,14,10
18,mmt 評価,27800,390,4.018,-0.559,30,70,1,34,21,21,14,5,4
19,エリキュース,51700,380,3.384,-28.98,37,63,0,14,14,21,22,15,14
20,ラクナ梗塞,49600,380,3.433,-0.009,32,68,1,11,9,16,23,21,19
21,mmse 評価,22800,380,4.193,-4.876,32,68,1,21,13,19,21,16,9
22,チェーンストークス呼吸,35500,370,3.719,-0.809,28,72,2,24,20,22,19,9,4
23,メマンチン,44600,360,3.466,-13.86,29,71,0,10,13,23,27,17,10
24,バーセルインデックス,17900,360,4.373,-2.079,40,60,2,35,21,21,12,6,3
25,レベチラセタム,46600,350,3.384,-18.317,32,68,1,15,16,24,23,13,8
26,シロスタゾール,43900,350,3.473,-11.16,33,67,0,16,14,20,22,15,13
27,bsc 医療,34300,350,3.69,-25.149,26,74,0,20,16,23,23,12,6
28,デルマトーム,27100,350,3.961,-20.873,51,49,1,26,23,20,14,9,7
29,mmse,21600,340,4.142,-0.126,37,63,1,24,15,19,19,12,10
30,後縦靭帯骨化症,46000,330,3.357,-7.514,38,62,1,9,11,19,25,20,15
31,アゾセミド,40300,320,3.447,13.234,30,70,0,15,15,22,23,14,11
32,ミオクローヌス,33300,320,3.651,-2.216,29,71,2,20,20,22,19,11,6
33,水頭症 症状,25000,320,3.973,-0.427,28,72,1,10,13,18,21,16,21
34,ブルンストロームステージ,15300,320,4.416,-15.199,46,54,1,42,27,18,7,3,2
35,co2ナルコーシス,29700,310,3.711,-14.943,30,70,1,32,18,21,16,8,4
36,間欠性跛行,35800,300,3.566,-9.318,42,58,1,16,9,13,17,18,26
37,bpsd,26400,300,3.785,-0.182,30,70,1,14,15,23,25,14,8
38,ビソノテープ,28800,290,3.696,-17.547,29,71,0,19,16,21,21,14,9
39,セフトリアキソン,28000,290,3.696,-12.049,39,61,0,23,18,22,19,11,7
40,ドパコール,27900,290,3.715,0.544,28,72,0,11,14,22,24,16,13
41,アテローム血栓性脳梗塞,23600,290,3.922,-0.577,30,70,1,20,10,16,22,17,14
42,エフィエント,36800,280,3.412,-26.198,40,60,0,15,15,21,21,14,14
43,閉塞性動脈硬化症,36500,280,3.427,-19.39,33,67,2,12,10,16,22,19,19
44,悪性症候群,23700,280,3.849,-3.236,35,65,1,23,20,23,18,10,5
45,gcs,23100,280,3.894,-0.586,46,54,2,39,25,18,10,4,2
46,ユマニチュード,37900,270,3.328,0.004,27,73,2,9,10,21,28,18,12
47,ジスキネジアとは,36000,270,3.403,-3.727,26,74,1,16,13,21,24,16,9
48,地域包括ケアシステム,30700,270,3.566,-15.75,33,67,8,23,9,19,21,12,8
49,gcs 意識レベル,21400,270,3.898,-7.729,44,56,1,31,23,22,14,6,3
50,被殻出血,19500,270,4.011,-8.907,35,65,1,25,17,19,19,12,7
51,コルサコフ症候群,14600,270,4.31,-2.713,34,66,1,24,13,19,21,14,8
52,コンパートメント症候群,37200,260,3.346,-8.069,34,66,2,28,18,20,18,9,5
53,トルソー症候群,25300,260,3.718,-9.056,31,69,1,19,19,22,21,12,6
54,バレー徴候,17100,260,4.112,-0.275,37,63,1,42,21,18,12,4,2
55,視床出血,13900,260,4.299,-17.956,37,63,1,24,16,19,18,13,9
56,ワレンベルグ症候群,12400,260,4.444,-0.394,42,58,0,29,19,19,15,11,7
57,エリクソン 発達段階,21100,250,3.851,-24.572,22,78,7,38,11,17,15,8,4
58,血管性認知症,18400,250,3.99,-0.001,26,74,2,11,9,17,29,18,14
59,頭蓋内圧亢進症状,11700,250,4.473,-3.462,23,77,2,43,17,18,12,5,3
60,胸腔ドレーン,29700,240,3.48,-7.994,23,77,3,37,19,19,13,5,4
61,トルバプタン,29400,240,3.46,11.376,33,67,0,20,16,23,21,13,7
62,褥瘡 ステージ,29300,240,3.492,-7.9,21,79,0,13,12,22,27,17,9
63,ロナセンテープ,28000,240,3.527,-23.884,27,73,0,12,16,26,25,15,6
64,パーキンソン症候群,25500,240,3.647,-1.846,30,70,1,7,8,16,23,19,26
65,ブリストルスケール,24300,240,3.671,-0.258,23,77,3,29,19,21,16,8,4
66,腓骨神経麻痺,21700,240,3.786,1.905,31,69,2,23,15,20,19,11,10
67,bpsdとは,21700,240,3.777,-0.112,33,67,1,13,10,18,26,19,13
68,クロイツフェルトヤコブ病,14400,240,4.209,-0.006,37,63,4,34,17,18,14,8,5
69,ホーマンズ徴候,14300,240,4.196,-23.667,22,78,1,48,19,17,11,3,1
70,障害者総合支援法,31000,230,3.369,-9.016,36,64,2,14,10,19,24,18,13
71,不随意運動,29000,230,3.436,-0.03,28,72,2,12,15,23,24,16,8
72,ネーザルハイフロー,29000,230,3.423,-12.919,24,76,0,31,22,22,16,6,3
73,エブランチルカプセル,28600,230,3.49,-16.519,26,74,0,12,14,21,23,16,14
74,チアプリド,23400,230,3.652,-0.224,28,72,0,10,15,25,26,17,7
75,エリスロポエチン,21200,230,3.776,-24.542,32,68,4,31,12,16,17,11,9
76,症候性てんかん,19700,230,3.81,1.012,31,69,1,17,17,22,22,13,8
77,錐体外路症状,17000,230,4.008,1.729,31,69,1,28,15,19,19,10,8
78,トラゼンタ,31300,220,3.334,3.188,35,65,0,18,17,25,17,11,12
79,acp 医療,30100,220,3.334,6.908,32,68,1,13,16,26,24,12,8
80,アルドステロン,28100,220,3.431,-19.586,31,69,3,24,10,18,21,13,11
81,トルリシティ,26700,220,3.448,-11.981,33,67,0,12,16,25,25,14,8
82,ビムパット,25200,220,3.521,-15.958,35,65,1,14,17,25,22,13,8
83,スルバシリン,22700,220,3.666,-12.559,38,62,0,25,18,19,18,12,8
84,バビンスキー反射,21400,220,3.724,-2.847,37,63,3,34,23,16,13,8,3
85,代謝性アシドーシス,20600,220,3.741,-9.75,27,73,2,35,18,19,15,7,4
86,icf,16400,220,3.977,-8.227,37,63,4,31,13,20,18,9,5
87,vpシャント,10400,220,4.444,0.009,27,73,0,26,20,22,17,9,6
88,球麻痺,9000,220,4.568,-0.896,36,64,1,31,16,19,18,10,5
89,ロンベルグ徴候,8700,220,4.653,-6.075,44,56,2,51,17,15,8,4,3
90,アミオダロン,30000,210,3.351,5.487,36,64,0,25,18,20,17,11,9
91,イーケプラ,29400,210,3.346,-9.19,32,68,1,15,15,25,23,14,7
92,アルブミン 基準値,26900,210,3.484,-47.178,25,75,2,30,8,14,15,14,17
93,見当識障害,26500,210,3.465,-2.139,27,73,2,16,12,20,25,16,9
94,ダーブロック,24400,210,3.499,4.126,36,64,1,13,18,25,23,13,7
95,アパシーとは,16600,210,3.908,-0.016,34,66,4,15,10,18,24,16,13
96,fim 評価表,13600,210,4.117,-13.528,38,62,1,33,17,20,15,9,5
97,ホルネル症候群,13500,210,4.13,-4.034,36,64,1,33,18,16,17,10,5
98,hds-r,13400,210,4.132,-6.998,38,62,1,28,15,19,18,11,8
99,褐色細胞腫,27500,200,3.342,-20.627,32,68,1,19,12,20,22,16,10
100,アドヒアランスとは,26300,200,3.383,-28.752,29,71,1,23,13,21,22,13,7
101,クレアチニンクリアランス,22400,200,3.571,-28.37,45,55,1,24,19,19,15,11,11
102,picc 医療,22200,200,3.602,15.55,30,70,1,23,17,22,20,12,5
103,セファゾリン,20200,200,3.663,1.076,38,62,1,30,18,18,15,10,8
104,リフィーディング症候群,19200,200,3.748,-16.192,35,65,1,30,24,22,14,6,3
105,nppv,19200,200,3.729,-1.666,29,71,1,30,19,22,17,8,3
106,人工骨頭置換術,18400,200,3.745,-14.834,28,72,1,21,16,20,19,13,10
107,大脳皮質基底核変性症,15300,200,3.964,0.013,29,71,1,7,12,20,23,18,19
108,ケルニッヒ徴候,9400,200,4.46,-6.778,41,59,1,51,18,15,9,4,2
109,錐体路,8900,200,4.528,-16.164,42,58,4,47,14,14,11,6,4
110,リクシア内服,25500,190,3.404,-7.088,27,73,0,15,14,20,22,16,13
111,筋萎縮性側索硬化症,23200,190,3.48,-1.135,38,62,2,14,11,19,22,16,16
112,無気肺とは,22700,190,3.53,-30.152,25,75,1,26,16,19,17,12,9
113,認知症ケア専門士,22300,190,3.48,-34.382,22,78,1,8,18,30,27,10,6
114,ガランタミン,21600,190,3.54,-1.861,30,70,0,9,13,22,28,18,10
115,セレネース,20200,190,3.618,1.163,33,67,1,23,18,23,19,10,6
116,寝たきり度,17400,190,3.75,-9.45,41,59,1,13,19,26,20,13,8
117,fim,10300,190,4.281,-7.253,45,55,1,39,17,18,14,7,4
118,水頭症 高齢者,7100,190,4.738,-0.002,19,81,0,3,5,17,27,20,28
119,ソセゴン,25300,180,3.328,-26.458,28,72,0,29,21,21,16,8,5
120,スタンダードプリコーション,23900,180,3.412,-14.139,25,75,6,23,14,21,21,11,4
121,化膿性脊椎炎,22200,180,3.49,-10.742,38,62,1,15,14,18,21,16,15
122,洞不全症候群,21200,180,3.557,-4.823,33,67,1,19,17,19,19,13,12
123,ニカルジピン,20400,180,3.557,-30.835,30,70,1,38,19,19,13,7,3
124,アセリオ,19900,180,3.555,-35,29,71,0,31,18,21,17,9,4
125,認知症高齢者の日常生活自立度,17000,180,3.731,-17.056,31,69,1,19,18,23,21,12,6
126,脳血管性認知症,14300,180,3.892,0.002,27,73,1,11,10,20,29,18,11
127,腕神経叢,10100,180,4.304,-30.04,49,51,4,37,18,18,13,6,4
128,大脳基底核,8700,180,4.447,-20.465,43,57,6,41,14,14,11,7,7
129,tia 医療,24800,170,3.337,-11.475,28,72,1,24,20,21,19,9,6
130,アリセプト,23600,170,3.378,-2.901,31,69,0,9,11,20,27,19,14
131,介護老人福祉施設とは,22900,170,3.375,-6.384,31,69,2,12,10,17,27,20,12
132,サムスカ,22600,170,3.387,-2.974,35,65,1,20,16,23,21,12,7
133,甲状腺クリーゼ,22300,170,3.425,-17.037,23,77,2,27,25,20,15,7,4
134,居宅療養管理指導,21900,170,3.395,0.69,30,70,1,8,14,26,28,16,7
135,慢性腎不全,21500,170,3.444,6.166,33,67,2,15,13,19,24,16,11
