順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,くも膜下出血,251000,4800,2.13,-6.081,38,62,3,11,14,21,23,15,13
2,水頭症 症状,25000,4100,4.308,0.001,28,72,1,10,13,18,21,16,21
3,水頭症 シャント手術,7100,2600,5.063,0.002,28,72,0,8,10,19,28,18,17
4,高次脳機能障害,120000,2500,2.198,0.004,30,70,1,10,12,21,25,18,13
5,水頭症とは,18100,2200,3.997,0,28,72,2,10,17,20,19,15,17
6,水頭症 高齢者,7100,1900,4.826,0.002,19,81,0,3,5,17,27,20,28
7,慢性硬膜下血腫,66300,1600,2.371,0.285,31,69,1,12,13,18,23,17,16
8,硬膜下血腫,78700,1500,2.183,0.002,33,67,1,9,11,16,22,19,22
9,廃用症候群とは,73900,1500,2.226,0.031,27,73,2,13,10,16,25,21,13
10,cvポート,68600,1300,2.124,-12.285,25,75,1,13,12,21,25,17,11
11,ドネペジル,60100,1200,2.195,-4.594,28,72,0,10,11,20,28,19,12
12,水腎症,58700,1200,2.148,0.003,28,72,1,12,18,21,21,16,11
13,低カリウム血症,58100,1200,2.208,0.692,29,71,1,17,15,21,22,15,9
14,低ナトリウム血症,53000,1200,2.291,-4.257,33,67,1,18,17,21,20,13,10
15,高次機能障害とは,51900,1200,2.301,0.018,23,77,1,9,12,22,27,18,11
16,進行性核上性麻痺,48100,1200,2.419,0.001,32,68,1,9,12,20,23,17,18
17,正常圧水頭症,13600,1200,3.671,0.006,35,65,1,20,13,18,21,15,12
18,水頭症 小児,6300,1200,4.429,0.001,16,84,0,9,29,27,14,13,8
19,jcs 意識レベル,50300,1100,2.266,-7.2,34,66,1,29,23,22,16,6,3
20,ラクナ梗塞,49600,1000,2.215,-0.031,32,68,1,11,9,16,23,21,19
21,経管栄養,48000,1000,2.242,14.542,23,77,2,15,13,21,24,16,9
22,レベチラセタム,46600,1000,2.244,1.753,32,68,1,15,16,24,23,13,8
23,メマンチン,44600,1000,2.272,0.115,29,71,0,10,13,23,27,17,10
24,長谷川式簡易知能評価スケール,44400,1000,2.314,-12.85,26,74,1,16,13,22,26,12,10
25,シャントとは,34800,990,2.531,0.002,36,64,1,14,10,16,23,19,17
26,日常生活自立度,43900,980,2.253,-26.593,35,65,1,20,20,25,20,9,5
27,気管切開,34000,970,2.522,5.061,25,75,1,16,16,22,21,14,10
28,バルーンカテーテル,48000,930,2.131,-4.062,27,73,2,10,9,20,28,20,11
29,ウェルニッケ脳症,41000,930,2.288,1.969,35,65,1,21,18,21,19,13,7
30,高血糖症状,46500,920,2.158,1.208,27,73,1,20,15,20,21,13,10
31,肝性脳症,43500,900,2.208,-0.463,32,68,1,18,16,21,22,13,9
32,ウエスト症候群,41300,880,2.221,7.425,14,86,1,12,29,22,18,13,5
33,シロスタゾール,43900,860,2.158,6.184,33,67,0,16,14,20,22,15,13
34,アゾセミド,40300,850,2.216,-11.072,30,70,0,15,15,22,23,14,11
35,二分脊椎,26000,850,2.654,-0.001,22,78,1,21,26,22,15,10,5
36,チェーンストークス呼吸,35500,840,2.324,4.718,28,72,2,24,20,22,19,9,4
37,多系統萎縮症,40700,830,2.194,-0.731,32,68,1,12,13,21,22,18,13
38,ジスキネジアとは,36000,800,2.277,0.086,26,74,1,16,13,21,24,16,9
39,mmt 評価,27800,800,2.532,-2.964,30,70,1,34,21,21,14,5,4
40,深部静脈血栓症,41100,780,2.125,-6.439,27,73,2,23,13,18,20,14,10
41,co2ナルコーシス,29700,780,2.443,3.899,30,70,1,32,18,21,16,8,4
42,dic 医療,33900,760,2.296,-1.041,28,72,1,26,19,20,18,10,6
43,くも膜下出血 後遺症,15200,760,3.087,-3.43,31,69,1,8,10,19,28,20,14
