順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,脳腫瘍,100000,740,3.178,-0.173,37,63,3,6,9,20,25,19,18
2,脳腫瘍 初期症状,73700,510,3.113,-0.804,29,71,4,9,14,21,22,15,15
3,聴神経腫瘍 症状,1400,490,7.026,0.005,26,74,3,8,12,17,23,22,15
4,低音障害型感音難聴,27200,390,3.808,-2.839,21,79,3,11,18,26,22,13,7
5,聴神経鞘腫,1900,390,6.518,0.032,37,63,0,17,13,18,20,17,15
6,前庭神経炎,45600,380,3.304,-0.002,31,69,1,7,13,21,23,19,16
7,難聴,61600,370,2.977,-0.094,38,62,2,4,8,16,24,21,25
8,耳管狭窄症,27300,310,3.611,-0.557,27,73,3,11,18,23,19,13,13
9,髄膜腫,32700,290,3.375,0.004,30,70,1,8,11,19,24,20,17
10,耳鳴りが止まらない,26600,290,3.555,-0.808,39,61,3,7,10,19,25,20,16
11,イソバイドシロップ,31000,280,3.384,-1.899,23,77,1,9,14,23,23,17,13
12,耳鳴り 漢方薬,39000,260,3.113,-0.001,42,58,0,1,4,11,23,31,30
13,聴力検査,35100,260,3.172,0.972,36,64,2,5,10,20,24,20,19
14,ガンマナイフとは,14700,240,3.983,0.072,32,68,1,9,13,20,24,19,14
15,三叉神経,33800,220,3.046,-0.007,33,67,4,16,13,19,20,14,14
16,突発性難聴 治る?,24200,220,3.421,-5.298,34,66,7,12,12,17,22,16,14
17,耳鳴り セミのような音,32100,210,3.108,-1.215,30,70,1,4,5,13,26,28,23
18,難聴の治療,31600,210,3.127,-1.924,41,59,0,1,3,11,23,26,36
19,耳鳴り キーン,25500,210,3.227,-0.001,21,79,4,12,14,24,29,10,7
20,神経鞘腫,18200,200,3.554,3.684,37,63,1,9,14,20,23,18,15
21,聴神経,1300,200,6.249,0,42,58,7,17,11,18,18,14,15
22,アデホスコーワ,28400,190,3.081,2.937,27,73,1,7,11,19,23,19,20
23,耳鳴り ツボ,26200,190,3.196,-3.011,37,63,1,2,5,14,26,29,23
24,耳鳴り 薬,26000,190,3.182,-2.921,48,52,0,3,7,15,25,27,23
25,聴力検査 正常値 年齢別,24400,190,3.27,1.036,26,74,1,5,7,16,22,26,23
26,外リンパ瘻,5700,190,4.652,1.52,33,67,2,13,17,23,23,13,9
27,イソソルビド,21800,180,3.27,-1.516,29,71,1,15,18,21,21,13,11
28,耳閉感,20700,180,3.323,-0.97,24,76,4,16,24,26,16,8,6
29,突発性難聴 ステロイド,8000,170,4.24,-4.494,34,66,2,8,12,21,27,18,12
30,ストミンa配合錠,13500,160,3.696,0.275,38,62,0,4,7,13,22,25,29
31,ガンマナイフ 副作用,2900,160,5.25,2.296,30,70,0,5,8,18,26,21,22
32,感音性難聴,14700,150,3.501,0.198,29,71,3,14,14,21,20,14,14
33,突発性難聴 原因,24100,140,2.94,-11.48,29,71,5,11,11,17,21,18,17
34,突発性難聴 治療,13000,140,3.59,-2.263,30,70,2,10,12,20,24,18,14
35,耳硬化症,4100,140,4.699,0.009,29,71,2,12,15,20,23,16,12
36,人工内耳,17800,130,3.162,1.715,33,67,2,10,15,21,19,17,16
37,ハント症候群,17600,130,3.154,-0.61,31,69,0,8,13,21,25,18,15
38,イソソルビド内用液70,16500,130,3.246,-5.618,25,75,0,6,10,23,27,19,15
39,下垂体腺腫,16000,130,3.241,-0.001,29,71,2,16,14,21,23,13,11
40,聴力検査 結果の見方,12800,130,3.5,2.23,23,77,1,7,13,21,21,18,19
41,ワレンベルグ症候群,12400,130,3.49,3.015,42,58,0,29,19,19,15,11,7
42,ガンマナイフ,6000,130,4.278,5.012,42,58,2,10,14,18,22,16,18
43,pppd,10900,120,3.581,11.705,30,70,2,7,15,21,23,16,16
44,拍動性耳鳴り,8600,120,3.842,-0.021,24,76,3,10,15,21,22,16,13
45,脳腫瘍 手術後,7600,120,3.923,-0.008,28,72,2,5,8,20,26,21,18
46,脳腫瘍 良性,6500,120,4.133,-0.113,27,73,2,6,10,23,26,18,15
47,突発性難聴 芸能人,5400,120,4.274,-6.78,31,69,6,9,15,24,24,13,9
48,突発性難聴 後遺症,4500,120,4.486,-4.084,27,73,3,5,9,18,26,24,15
49,片耳難聴,4000,120,4.541,2.402,28,72,6,9,15,21,22,15,12
50,脳腫瘍 生存率,18500,110,2.985,-0.96,36,64,5,8,12,20,24,16,15
51,メニエール病 薬,16800,110,3.025,-6.396,27,73,1,8,14,24,26,16,11
52,難聴 障害者手帳,14400,110,3.25,0.003,31,69,1,3,8,17,28,22,21
53,耳鳴り めまい 原因,10600,110,3.497,-2.586,34,66,1,4,9,20,26,21,19
54,感音性難聴とは,8800,110,3.682,0.193,19,81,2,14,11,19,23,18,13
55,蝸牛型メニエール病,3200,110,4.661,-0.474,19,81,1,8,17,24,24,16,10
56,片耳難聴 障害者手帳,3100,110,4.71,16.607,27,73,2,6,11,20,29,21,11
57,難聴 症状,16300,100,3.026,-0.235,32,68,3,8,12,15,19,18,25
58,真珠腫性中耳炎,13900,100,3.16,-0.001,30,70,3,10,16,24,22,14,11
59,ホルネル症候群,13500,100,3.173,-5.013,36,64,1,33,18,16,17,10,5
60,海綿状血管腫,12400,100,3.299,0.054,34,66,1,11,15,22,21,17,13
61,片耳が聞こえない,9200,100,3.534,0.057,33,67,4,9,13,20,25,16,13
62,急性低音障害型感音難聴,7900,100,3.741,-6.552,24,76,5,14,20,25,20,11,5
63,内頸動脈,7700,100,3.726,35.283,36,64,3,30,16,18,15,11,7
64,神経膠腫,7300,100,3.834,0,34,66,2,16,14,22,22,13,11
65,突発性難聴 入院,6500,100,3.916,-3.449,23,77,2,9,17,26,23,13,10
66,頭鳴り 原因,4700,100,4.264,2.809,28,72,1,3,6,14,26,26,24
67,下垂体腫瘍,13400,90,3.076,-0.607,28,72,1,9,13,21,26,18,12
68,メニエール病 治療,12600,90,3.181,6.663,36,64,1,7,13,20,24,21,14
69,脳腫瘍 症状,9900,90,3.353,-1.69,32,68,5,11,13,19,20,16,16
70,メニエール病 難病,9100,90,3.446,3.385,27,73,4,11,16,21,22,15,11
71,ロンベルグ徴候,8700,90,3.543,1.037,44,56,2,51,17,15,8,4,3
72,pppd とは,8700,90,3.539,7.482,31,69,0,5,10,17,23,22,23
73,高気圧酸素療法,8400,90,3.521,-0.54,37,63,1,13,11,19,23,18,15
74,突発性難聴 薬,7700,90,3.607,-8.148,23,77,3,12,17,24,26,11,7
75,前庭神経,2100,90,4.921,3.82,42,58,6,24,15,17,17,11,10
76,小脳橋角部腫瘍,1100,90,5.589,0.009,38,62,1,24,16,17,20,15,7
77,正常圧水頭症,13600,80,2.986,-37.934,35,65,1,20,13,18,21,15,12
78,小脳,13500,80,3.044,0.451,36,64,4,14,11,17,19,16,19
79,高安動脈炎,13500,80,2.958,-22.278,33,67,1,13,13,17,18,14,24
80,眼振動,13400,80,2.937,-4.892,23,77,1,7,12,25,26,16,13
81,結節性硬化症,13300,80,3.025,-23.838,34,66,1,12,15,22,21,16,13
82,脊髄空洞症,12800,80,2.987,-19.669,34,66,1,13,16,23,23,14,10
83,ウィルソン病,12300,80,3.042,0.759,33,67,1,20,15,20,19,15,10
84,耳鳴り 原因,10400,80,3.182,-3.715,37,63,8,17,18,22,17,11,7
85,内耳炎 症状,9900,80,3.272,-0.005,35,65,2,8,14,24,23,16,13
86,難聴の原因,9800,80,3.352,-6.694,39,61,1,4,5,13,22,23,32
87,開頭手術,9700,80,3.269,31.142,48,52,5,15,21,24,19,9,7
88,脳神経外科 名医,9600,80,3.396,0.047,34,66,1,2,3,10,23,30,31
89,イソバイド,9500,80,3.298,-1.748,29,71,1,10,18,24,22,15,10
90,耳鳴り ストレス,9000,80,3.343,-5.698,27,73,5,14,18,21,21,12,9
91,錐体路,8900,80,3.43,-13.042,42,58,4,47,14,14,11,6,4
92,硬膜動静脈瘻,7400,80,3.611,-5.09,38,62,0,12,13,17,22,19,17
93,騒音性難聴,6700,80,3.595,-0.002,38,62,6,19,16,21,21,10,7
94,顔面神経,6100,80,3.694,-4.844,38,62,3,27,16,18,17,11,8
95,イソバイドシロップ 副作用,4800,80,3.986,-0.487,21,79,1,6,9,19,25,21,19
96,内リンパ水腫,4300,80,4.085,-0.033,28,72,2,10,17,22,22,15,12
97,脳血管障害,12400,70,2.951,0.179,28,72,3,14,11,17,22,18,15
98,頭を動かすとめまい,12300,70,2.957,-0.585,21,79,2,5,11,20,26,21,15
99,反回神経麻痺,12100,70,3.001,-40.152,30,70,1,23,15,19,18,14,10
100,蝸牛,11800,70,2.96,3.863,43,57,6,15,11,16,16,14,22
101,脳神経,11600,70,2.969,1.864,39,61,5,30,12,16,15,11,11
102,sah 医療,11600,70,2.943,21.197,23,77,1,32,21,20,17,6,3
103,vpシャント,10400,70,3.077,-9.051,27,73,0,26,20,22,17,9,6
104,腕神経叢,10100,70,3.182,-13.039,49,51,4,37,18,18,13,6,4
105,蝶形骨,10100,70,3.049,25.202,29,71,4,16,13,20,25,13,9
106,真珠腫,10000,70,3.142,0.241,26,74,0,6,14,21,24,20,15
107,クラウンデンス症候群,9800,70,3.073,8.153,43,57,1,17,19,23,19,13,8
108,脳腫瘍 原因,9500,70,3.199,-0.069,34,66,5,9,14,20,23,15,14
109,甲状腺眼症,9200,70,3.258,26.01,28,72,0,10,13,22,26,17,12
110,球麻痺,9000,70,3.199,-18.575,36,64,1,31,16,19,18,10,5
111,大脳基底核,8700,70,3.25,2.632,43,57,6,41,14,14,11,7,7
112,椎骨動脈,8500,70,3.315,48.685,44,56,3,22,15,19,19,12,10
113,サイバーナイフ治療とは,6800,70,3.531,0.691,37,63,0,6,7,16,23,23,25
114,造影剤 mri,6700,70,3.447,2.684,24,76,1,6,13,29,28,15,8
115,動眼神経麻痺,6400,70,3.534,11.171,37,63,1,17,16,21,19,15,11
116,イソバイドシロップ 効果が出るまで,4500,70,3.973,0.755,21,79,1,3,7,20,27,25,17
117,耳鳴りに効く漢方薬,4500,70,3.967,2.927,36,64,0,1,1,6,17,33,42
118,ティンパノメトリー検査,3900,70,4.114,2.357,22,78,0,14,22,25,17,13,9
119,頭蓋咽頭腫,3700,70,4.172,-1.498,35,65,1,16,17,22,22,13,9
120,難聴 耳鳴り,3400,70,4.21,-4.836,35,65,1,4,7,15,25,24,24
121,trt療法とは,2500,70,4.596,-7.713,42,58,0,4,7,15,25,27,22
122,クリプトコッカス,10200,60,2.94,0.778,38,62,2,23,18,19,18,13,7
123,視神経炎,9800,60,2.988,12.656,29,71,2,10,15,21,23,17,12
124,アダムスストークス症候群,9700,60,3.024,-12.285,40,60,1,35,19,17,12,8,8
125,畷生会脳神経外科病院,9600,60,2.993,7.831,39,61,0,4,9,20,30,21,16
