順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,脳梗塞,354000,12800,2.536,-0.001,40,60,2,7,7,14,24,22,24
2,脳梗塞 前兆,421000,10900,2.185,-0.003,35,65,1,5,10,19,25,18,22
3,くも膜下出血,251000,7900,2.368,0,38,62,3,11,14,21,23,15,13
4,脳出血 後遺症,27500,7700,4.557,0.002,27,73,2,6,12,21,27,19,13
5,脳出血 前兆,40600,7100,4.089,0,26,74,2,9,14,22,25,16,12
6,脳卒中とは,100000,5200,2.863,0.001,40,60,3,10,12,20,24,17,14
7,脳出血 手術しない場合,12200,4100,4.747,0.005,26,74,1,4,9,19,31,22,14
8,高次脳機能障害,120000,4000,2.418,8.921,30,70,1,10,12,21,25,18,13
9,脳腫瘍,100000,3500,2.471,0,37,63,3,6,9,20,25,19,18
10,脳出血 原因,16900,3200,4.183,0.001,29,71,4,12,13,20,24,15,12
11,脳出血 再発率,7600,3100,4.923,0.606,32,68,1,4,8,18,30,25,14
12,脳内出血,32800,3000,3.453,-0.005,37,63,2,6,10,20,27,18,17
13,脳腫瘍 初期症状,73700,2700,2.542,0,29,71,4,9,14,21,22,15,15
14,脳出血 入院期間,6700,2700,4.931,0.049,27,73,2,6,11,22,28,18,13
15,脳出血 意識不明,6700,2400,4.818,0.006,27,73,1,7,12,24,29,17,10
16,脳梗塞 後遺症,72700,2200,2.366,-0.031,32,68,1,5,8,18,27,21,20
17,脳出血 後遺症なし 確率,5000,2000,4.935,0.199,34,66,1,2,6,20,35,22,14
18,硬膜下血腫,78700,1900,2.154,0.002,33,67,1,9,11,16,22,19,22
19,脳梗塞 原因,76900,1800,2.101,-0.006,36,64,2,7,10,18,24,17,22
20,脳幹出血,37100,1800,2.816,0.008,39,61,1,7,11,21,26,19,15
21,慢性硬膜下血腫,66300,1700,2.202,0.162,31,69,1,12,13,18,23,17,16
22,リハビリテーション病院,55200,1700,2.376,5.846,33,67,1,3,5,14,26,24,27
23,高次機能障害とは,51900,1700,2.405,7.222,23,77,1,9,12,22,27,18,11
24,構音障害,74300,1600,1.972,1.752,23,77,2,12,15,24,22,16,9
25,くも膜下出血 前兆,69600,1600,2.088,-0.001,33,67,3,11,14,20,22,16,14
26,脳動脈瘤,58600,1500,2.206,0.002,30,70,1,7,10,20,26,19,17
27,脳溢血とは,34900,1500,2.675,0.001,41,59,1,5,8,18,26,20,22
28,被殻出血,19500,1400,3.186,0.12,35,65,1,25,17,19,19,12,7
29,脳卒中,25100,1300,2.898,0,45,55,4,14,15,20,21,13,13
