順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,脳動脈瘤 大きさ 危険度,14900,3700,5.464,0.001,31,69,0,2,5,15,28,24,26
2,くも膜下出血,251000,3500,2.547,-0.004,38,62,3,11,14,21,23,15,13
3,脳梗塞,354000,2800,2.015,-0.002,40,60,2,7,7,14,24,22,24
4,動脈瘤,64300,2600,3.668,-0.007,36,64,1,4,8,16,23,20,28
5,脳動脈瘤 症状 前兆,10300,2300,5.377,0.001,21,79,1,5,8,17,25,22,22
6,脳動脈瘤 カテーテル手術,6900,2100,5.664,0.003,29,71,0,2,5,14,28,26,25
7,脳出血,156000,1500,2.206,-0.002,33,67,2,7,11,21,25,18,16
8,脳腫瘍,100000,1300,2.479,-0.001,37,63,3,6,9,20,25,19,18
9,脳卒中とは,100000,1100,2.273,-0.001,40,60,3,10,12,20,24,17,14
10,脳ドック,82500,1000,2.399,-0.005,37,63,0,2,7,23,31,22,15
11,未破裂脳動脈瘤,8000,980,4.751,2.939,26,74,1,8,9,19,25,21,17
12,バイアスピリン,103000,920,2.125,3.923,36,64,0,13,12,16,20,18,21
13,動脈硬化,103000,890,2.103,0,33,67,1,5,7,17,25,21,24
14,脳神経外科,92600,880,2.167,-0.006,34,66,2,5,14,22,24,15,18
15,くも膜下出血 前兆,69600,870,2.455,-0.01,33,67,3,11,14,20,22,16,14
16,もやもや病,106000,840,1.985,0.01,33,67,2,10,15,24,23,15,11
17,硬膜下血腫,78700,800,2.265,-0.001,33,67,1,9,11,16,22,19,22
18,動脈硬化 改善,96300,700,1.922,0,35,65,1,2,5,15,30,25,22
19,脳腫瘍 初期症状,73700,700,2.18,-2.788,29,71,4,9,14,21,22,15,15
20,慢性硬膜下血腫,66300,690,2.271,-0.002,31,69,1,12,13,18,23,17,16
21,造影剤,78100,650,2.027,0.226,37,63,1,5,11,22,27,18,16
22,mri検査とは,78000,630,2.048,0.814,55,45,2,4,4,11,20,25,34
23,重症筋無力症,74600,600,1.998,0.076,32,68,2,17,15,21,21,14,10
24,動脈瘤 大きさ 危険度,11900,600,3.89,-0.117,38,62,1,3,6,13,24,23,30
25,脳梗塞 後遺症,72700,560,1.979,0,32,68,1,5,8,18,27,21,20
26,血液サラサラの薬,72400,550,2.003,9.655,39,61,0,3,4,11,24,27,31
27,クロピドグレル,66900,550,2.037,-0.144,33,67,0,16,14,20,22,15,13
28,ラクナ梗塞,49600,520,2.292,-0.003,32,68,1,11,9,16,23,21,19
29,大動脈瘤,41000,490,2.419,-0.001,41,59,1,7,10,16,22,20,24
30,カテーテル手術,58000,470,2.041,2.048,40,60,1,5,9,16,24,20,25
31,腹部大動脈瘤,50500,470,2.174,-0.004,38,62,1,11,11,16,21,20,20
32,一過性脳虚血発作,37100,460,2.45,0.001,31,69,1,9,11,18,24,19,18
33,椎骨動脈解離,27800,420,2.624,0,38,62,1,10,16,25,25,14,9
34,深部静脈血栓症,41100,410,2.226,-10.796,27,73,2,23,13,18,20,14,10
35,低ナトリウム血症,53000,400,1.931,-16.794,33,67,1,18,17,21,20,13,10
36,急性硬膜下血腫,51900,400,1.977,9.141,39,61,2,11,12,18,20,19,18
37,高次機能障害とは,51900,400,1.947,1.245,23,77,1,9,12,22,27,18,11
38,脳動静脈奇形,12300,400,3.406,0,30,70,3,14,18,22,22,12,9
39,bnp 高い 原因,54000,380,1.929,-2.093,17,83,0,7,7,14,24,21,27
40,造影剤 ct,38700,380,2.206,0.417,32,68,1,6,9,20,28,20,16
41,頚動脈エコー,36100,380,2.312,-12.558,27,73,0,2,5,14,28,27,24
42,脳神経内科 脳神経外科 違い,44300,370,2.057,-0.188,29,71,1,6,9,20,27,19,18
43,アテローム血栓性脳梗塞,23600,370,2.68,-0.002,30,70,1,20,10,16,22,17,14
44,エフィエント,36800,360,2.189,20.268,40,60,0,15,15,21,21,14,14
45,髄膜腫,32700,360,2.341,-0.02,30,70,1,8,11,19,24,20,17
46,動脈解離とは,44400,350,2.017,0.614,37,63,1,3,6,15,23,24,28
47,長谷川式簡易知能評価スケール,44400,350,1.97,-34.768,26,74,1,16,13,22,26,12,10
48,シロスタゾール,43900,350,1.999,-1.068,33,67,0,16,14,20,22,15,13
49,脳血管疾患,17100,350,2.928,-0.002,34,66,5,16,15,20,21,13,10
50,末梢神経障害,44800,340,1.961,-0.005,35,65,1,9,10,18,24,19,19
51,脳梗塞 治療,40600,340,2.063,-0.816,37,63,1,7,9,18,26,19,20
52,高カリウム血症,43500,330,1.966,-18.887,35,65,1,19,15,19,19,14,13
53,ウェルニッケ脳症,41000,330,1.984,5.936,35,65,1,21,18,21,19,13,7
54,肺塞栓症,38700,330,2.071,-6.992,33,67,1,13,12,17,20,17,20
55,くも膜下出血 原因,22700,330,2.599,-0.001,37,63,5,15,14,19,21,14,12
56,くも膜下出血 生存率,18500,330,2.819,-0.003,39,61,7,12,12,20,23,14,12
57,脳出血 前兆,40600,320,1.971,-1.664,26,74,2,9,14,22,25,16,12
58,頸動脈,33400,320,2.199,0.008,42,58,6,11,11,15,20,16,21
59,脳動脈解離,5000,320,4.065,0,35,65,1,7,13,24,28,16,11
60,大動脈弁狭窄症,40500,310,1.994,0.001,34,66,1,12,10,15,22,20,20
61,心エコー,40300,310,1.953,-0.882,32,68,1,12,13,20,22,17,15
62,冠動脈,36900,310,2.082,-0.008,46,54,2,16,10,13,17,18,24
63,褐色細胞腫,27500,310,2.348,-1.021,32,68,1,19,12,20,22,16,10
64,冠攣縮性狭心症,40000,300,1.939,0.007,34,66,1,10,11,17,24,20,17
65,閉塞性動脈硬化症,36500,300,2.04,11.219,33,67,2,12,10,16,22,19,19
66,脳ドック 費用,30400,300,2.218,0,35,65,0,3,8,20,30,22,17
67,脳梗塞 症状,38200,290,1.972,1.092,30,70,4,17,13,16,20,13,17
68,脳幹出血,37100,290,1.96,-3.625,39,61,1,7,11,21,26,19,15
69,血管を強くする食べ物,32900,290,2.138,3.503,30,70,0,1,3,13,26,26,31
70,くも膜下出血 後遺症,15200,290,2.884,-0.241,31,69,1,8,10,19,28,20,14
71,コンパートメント症候群,37200,280,1.953,-0.032,34,66,2,28,18,20,18,9,5
72,慢性心不全,37100,280,1.94,-5.161,30,70,1,12,9,16,24,21,17
73,脳の病気,17000,280,2.778,-0.001,33,67,3,5,6,14,23,21,28
74,動脈硬化 症状,37500,270,1.93,0.235,28,72,1,3,6,13,25,24,28
75,気管切開,34000,270,1.973,0.001,25,75,1,16,16,22,21,14,10
76,三叉神経,33800,270,2.016,0.005,33,67,4,16,13,19,20,14,14
77,mmt 評価,27800,270,2.21,-6.993,30,70,1,34,21,21,14,5,4
78,カテーテル検査,18700,270,2.634,0.964,39,61,1,4,7,15,25,22,26
79,抗血小板薬,16000,270,2.757,0.593,37,63,1,23,14,17,16,14,15
80,動脈瘤 原因,6700,270,3.693,-0.11,29,71,1,5,6,15,24,21,28
81,間欠性跛行,35800,260,1.966,0.921,42,58,1,16,9,13,17,18,26
82,胸腔ドレーン,29700,260,2.103,-22.932,23,77,3,37,19,19,13,5,4
83,開頭手術,9700,260,3.203,4.73,48,52,5,15,21,24,19,9,7
84,内頸動脈,7700,260,3.461,1.402,36,64,3,30,16,18,15,11,7
85,pci 医療用語,27200,250,2.144,-1.223,29,71,0,25,16,21,20,11,7
86,多発性嚢胞腎,24600,250,2.23,-1.626,30,70,1,7,11,19,26,21,15
87,中心静脈栄養,31300,240,1.955,-17.868,26,74,1,11,10,16,25,24,13
88,アミオダロン,30000,240,2.006,-7.384,36,64,0,25,18,20,17,11,9
89,クロピドグレル錠75mg,28900,240,2.1,16.021,39,61,1,6,6,12,20,23,32
90,脳卒中,25100,240,2.17,-0.002,45,55,4,14,15,20,21,13,13
91,症候性てんかん,19700,240,2.412,7.086,31,69,1,17,17,22,22,13,8
92,被殻出血,19500,240,2.438,-0.178,35,65,1,25,17,19,19,12,7
93,脳血管障害,12400,240,2.89,-0.002,28,72,3,14,11,17,22,18,15
94,原発性アルドステロン症,28600,230,2.003,0.839,33,67,1,15,12,19,25,17,11
95,脳,26700,230,2.109,0.004,38,62,6,11,9,18,20,16,20
96,小脳梗塞,26300,230,2.115,-13.163,31,69,1,10,11,19,22,18,19
97,気管挿管,25700,230,2.098,-0.376,32,68,2,21,18,21,20,12,6
98,脳の病気 一覧,12700,230,2.865,-0.001,35,65,2,3,4,11,20,24,36
99,脳神経外科 名医,9600,230,3.172,0.236,34,66,1,2,3,10,23,30,31
100,カルシウム拮抗薬,28400,220,1.997,6.419,36,64,1,19,8,13,18,19,22
101,アルドステロン,28100,220,1.969,-4.906,31,69,3,24,10,18,21,13,11
102,意識障害,27600,220,2.006,-0.528,34,66,2,9,12,19,24,19,15
103,洞不全症候群,21200,220,2.286,-1.01,33,67,1,19,17,19,19,13,12
104,ercp,28800,210,1.922,8.654,28,72,1,27,18,21,17,9,7
105,脳出血 後遺症,27500,210,1.972,-0.059,27,73,2,6,12,21,27,19,13
106,ステント手術,25800,210,2.057,6.045,39,61,0,3,6,13,23,24,31
107,代謝性アシドーシス,20600,210,2.269,-16.856,27,73,2,35,18,19,15,7,4
108,下垂体腺腫,16000,210,2.472,0.001,29,71,2,16,14,21,23,13,11
109,くも膜下出血 手術後,6900,210,3.319,-1.134,28,72,1,6,9,22,29,20,13
110,ビムパット,25200,200,1.987,7.126,35,65,1,14,17,25,22,13,8
111,ミグシス,25200,200,1.945,3.243,25,75,2,10,17,28,25,12,6
112,tia 医療,24800,200,2.016,0.146,28,72,1,24,20,21,19,9,6
113,硬膜下出血,24200,200,2.079,-0.002,36,64,1,6,9,15,23,22,24
114,頚椎症性脊髄症,24100,200,2.081,9.546,37,63,1,9,9,16,24,20,21
115,picc 医療,22200,200,2.101,25.451,30,70,1,23,17,22,20,12,5
116,星野源 くも膜下出血,18200,200,2.352,1.355,28,72,8,14,12,18,21,16,11
117,リクシア内服,25500,190,1.921,15.036,27,73,0,15,14,20,22,16,13
118,テタニー症状,23000,190,2.002,11.031,29,71,1,29,19,21,17,8,5
119,肺血栓塞栓症,22100,190,2.061,-0.004,39,61,2,19,14,17,20,15,13
120,動脈硬化 検査,21500,190,2.119,1.864,29,71,0,2,6,15,28,25,24
121,ipmn 膵臓,20200,190,2.2,-32.12,36,64,0,10,13,19,22,19,17
122,くも膜下 前兆 チェック,17800,190,2.315,0.001,29,71,2,11,17,20,20,15,15
123,聴神経腫瘍,16500,190,2.387,0,32,68,2,9,13,20,24,19,13
124,富永病院 大阪,15400,190,2.453,0.474,34,66,1,5,9,17,25,22,21
125,脳血栓とは,10500,190,2.86,0,37,63,1,5,6,14,22,23,29
126,心房粗動,23500,180,1.987,-2.375,40,60,1,17,14,16,17,15,20
127,膠芽腫,22900,180,1.996,-1.753,38,62,1,10,11,21,24,18,15
128,総胆管結石,22500,180,1.982,-12.287,34,66,1,13,13,18,23,18,14
129,化膿性脊椎炎,22200,180,2.038,-2.156,38,62,1,15,14,18,21,16,15
130,心窩部痛,22200,180,2.024,3.555,28,72,2,21,19,22,19,11,6
131,gcs 意識レベル,21400,180,2.065,0.241,44,56,1,31,23,22,14,6,3
132,視床下部,21000,180,2.092,13.223,36,64,10,17,13,18,18,12,12
133,胸腺腫,20700,180,2.107,0.195,35,65,1,9,11,17,24,19,19
134,ニカルジピン,20400,180,2.094,12.8,30,70,1,38,19,19,13,7,3
135,バージャー病,20300,180,2.109,-6.973,33,67,1,14,13,18,22,19,13
136,バレー徴候,17100,180,2.278,-3.446,37,63,1,42,21,18,12,4,2
137,キャブピリン配合錠,17100,180,2.272,0.012,37,63,0,11,13,19,21,17,19
138,scu 医療,13800,180,2.477,-1.199,33,67,1,13,12,17,25,18,14
139,アンギオとは,13600,180,2.498,-0.002,29,71,1,23,13,19,20,14,10
140,正常圧水頭症,13600,180,2.489,24.003,35,65,1,20,13,18,21,15,12
141,発作性上室性頻拍,23200,170,1.945,15.096,31,69,2,13,14,20,21,17,13
142,mmse 評価,22800,170,1.936,-20.958,32,68,1,21,13,19,21,16,9
143,mmse,21600,170,2.009,-4.24,37,63,1,24,15,19,19,12,10
144,慢性腎不全,21500,170,1.948,6.915,33,67,2,15,13,19,24,16,11
145,エンレスト100mg,21100,170,2.046,5.55,39,61,0,4,6,13,21,24,32
146,脳外科医 福島孝徳 死因,20100,170,2.078,-9.558,30,70,0,2,6,19,29,26,18
147,人工骨頭置換術,18400,170,2.122,0.862,28,72,1,21,16,20,19,13,10
148,視床出血,13900,170,2.428,0.003,37,63,1,24,16,19,18,13,9
149,頭蓋内圧亢進症状,11700,170,2.635,0.119,23,77,2,43,17,18,12,5,3
150,硬膜動静脈瘻,7400,170,3.069,0.084,38,62,0,12,13,17,22,19,17
151,cpr 医療,21800,160,1.929,19.032,27,73,1,23,17,22,21,9,7
152,ercpとは,21700,160,1.966,20.624,29,71,1,23,13,17,20,14,12
153,収縮期血圧とは,21100,160,1.936,-0.996,30,70,3,23,14,20,20,11,9
154,脳卒中 脳梗塞 違い,20500,160,1.962,-0.002,39,61,1,9,12,21,24,19,14
155,心臓カテーテル検査,19700,160,2.021,15.51,32,68,1,11,8,14,23,21,22
156,造影剤 副作用,19600,160,2.034,14.479,31,69,1,9,10,20,27,19,14
157,リフィーディング症候群,19200,160,2.035,-33.191,35,65,1,30,24,22,14,6,3
158,外傷性くも膜下出血,18700,160,2.071,-0.655,35,65,2,14,14,21,23,15,11
159,脳腫瘍 生存率,18500,160,2.073,-0.634,36,64,5,8,12,20,24,16,15
160,脳幹梗塞,15700,160,2.221,3.073,34,66,1,10,11,17,23,20,18
161,paf 医療,15100,160,2.279,-1.046,26,74,0,32,23,21,15,6,3
162,下垂体腫瘍,13400,160,2.401,-2.573,28,72,1,9,13,21,26,18,12
163,tia,20400,150,1.927,-3.92,41,59,2,14,15,21,20,18,10
164,ボーエン病,20200,150,1.923,-7.535,28,72,1,8,12,20,24,19,16
165,脳梗塞 再発,19800,150,1.975,2.767,35,65,1,6,7,15,26,22,23
166,絞扼性イレウス,19500,150,1.964,1.376,29,71,2,21,18,20,19,12,8
167,ハロペリドール,19300,150,1.967,15.582,33,67,1,24,18,22,19,10,6
168,ブルガダ症候群,19100,150,1.943,16.011,44,56,1,16,19,23,20,13,8
169,ニコランジル,19000,150,2.026,-2.783,36,64,0,29,21,16,15,9,10
170,抗凝固薬,18600,150,2.054,6.164,38,62,1,20,13,16,18,14,18
171,食道静脈瘤,18200,150,2.05,-0.004,38,62,1,18,13,18,21,16,13
172,神経鞘腫,18200,150,2.033,-3.01,37,63,1,9,14,20,23,18,15
173,抗リン脂質抗体症候群,17800,150,2.046,-10.96,30,70,0,14,23,22,18,14,9
174,房室ブロック,17300,150,2.116,4.694,34,66,2,22,16,18,18,12,12
175,脳出血 原因,16900,150,2.097,-0.001,29,71,4,12,13,20,24,15,12
176,小脳出血,15500,150,2.177,-0.001,32,68,1,14,12,17,23,16,17
177,脳ドック 保険適用,12400,150,2.454,-0.005,33,67,0,2,5,19,31,24,19
