順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,脳出血,156000,470,2.554,-2.358,33,67,2,7,11,21,25,18,16
2,くも膜下出血,251000,460,2.074,-3.499,38,62,3,11,14,21,23,15,13
3,もやもや病,106000,410,2.799,-0.002,33,67,2,10,15,24,23,15,11
4,脳動脈瘤,58600,400,3.406,0,30,70,1,7,10,20,26,19,17
5,高次脳機能障害,120000,310,2.426,-12.642,30,70,1,10,12,21,25,18,13
6,水頭症,123000,240,2.144,-3.269,31,69,1,11,18,20,20,14,16
7,多発性硬化症,105000,210,2.179,-40.413,27,73,1,9,11,19,24,20,16
8,脳動静脈寄形,1600,200,6.277,-37.029,31,69,1,14,14,21,25,13,12
9,脳卒中とは,100000,190,2.108,-2.807,40,60,3,10,12,20,24,17,14
10,脊髄小脳変性症,91100,190,2.22,-8.526,26,74,2,12,19,22,21,14,10
11,脳動脈奇形,2000,180,5.973,-0.003,26,74,3,13,17,22,23,12,10
12,間瀬翔太,20200,170,3.623,-0.001,18,82,1,3,8,22,29,22,15
13,脳動静脈瘻,2300,160,5.696,0,27,73,0,7,9,21,28,20,15
14,症候性てんかん,19700,150,3.492,-5.397,31,69,1,17,17,22,22,13,8
15,構音障害,74300,140,2.076,-48.794,23,77,2,12,15,24,22,16,9
16,レベチラセタム,46600,140,2.524,-9.944,32,68,1,15,16,24,23,13,8
17,慢性硬膜下血腫,66300,120,2.071,-2.115,31,69,1,12,13,18,23,17,16
18,pubmed,52800,120,2.276,-88.579,68,32,1,18,22,27,17,9,6
19,高次機能障害とは,51900,120,2.277,-0.003,23,77,1,9,12,22,27,18,11
20,イーケプラ,29400,120,2.857,-1.329,32,68,1,15,15,25,23,14,7
21,ガンマナイフとは,14700,120,3.589,0.012,32,68,1,9,13,20,24,19,14
22,海綿状血管腫,12400,120,3.734,0,34,66,1,11,15,22,21,17,13
23,ウェルニッケ脳症,41000,110,2.409,-7.024,35,65,1,21,18,21,19,13,7
24,国立循環器病研究センター,32800,110,2.678,-3.589,42,58,1,8,13,21,24,17,16
25,硬膜動静脈瘻,7400,110,4.227,0.002,38,62,0,12,13,17,22,19,17
26,avm,4300,110,4.669,0.048,45,55,2,22,20,20,18,11,7
27,エリキュース,51700,100,2.172,-14.421,37,63,0,14,14,21,22,15,14
28,jcs 意識レベル,50300,100,2.148,-46.083,34,66,1,29,23,22,16,6,3
29,ラクナ梗塞,49600,100,2.193,-1.455,32,68,1,11,9,16,23,21,19
30,後縦靭帯骨化症,46000,100,2.196,-18.962,38,62,1,9,11,19,25,20,15
31,シロスタゾール,43900,100,2.289,-5.627,33,67,0,16,14,20,22,15,13
32,脳出血 前兆,40600,100,2.408,-1.374,26,74,2,9,14,22,25,16,12
33,髄膜腫,32700,100,2.604,-9.916,30,70,1,8,11,19,24,20,17
34,脳出血 後遺症,27500,100,2.734,-4.245,27,73,2,6,12,21,27,19,13
35,褐色細胞腫,27500,100,2.734,-33.445,32,68,1,19,12,20,22,16,10
36,ビムパット,25200,100,2.814,-0.495,35,65,1,14,17,25,22,13,8
37,被殻出血,19500,100,3.047,0.833,35,65,1,25,17,19,19,12,7
38,脳動脈瘤 大きさ 危険度,14900,100,3.417,-0.99,31,69,0,2,5,15,28,24,26
39,動静脈奇形,2400,100,5.193,-0.001,37,63,5,16,17,21,19,12,10
40,深部静脈血栓症,41100,90,2.295,-35.341,27,73,2,23,13,18,20,14,10
41,コンパートメント症候群,37200,90,2.321,-31.713,34,66,2,28,18,20,18,9,5
42,ファロー四徴症,34300,90,2.431,-24.053,28,72,2,29,21,20,15,9,4
43,co2ナルコーシス,29700,90,2.601,-26.287,30,70,1,32,18,21,16,8,4
44,椎骨動脈解離,27800,90,2.655,-0.864,38,62,1,10,16,25,25,14,9
45,ソトス症候群,25900,90,2.645,-161.669,14,86,1,8,31,25,17,12,6
46,小脳出血,15500,90,3.273,-2.15,32,68,1,14,12,17,23,16,17
47,急性骨髄性白血病,43300,80,2.14,-65.472,32,68,2,13,13,20,21,16,15
48,スティッフパーソン症候群,43200,80,2.172,-14.988,21,79,1,3,6,15,28,27,20
49,ウエスト症候群,41300,80,2.104,-75.212,14,86,1,12,29,22,18,13,5
50,多系統萎縮症,40700,80,2.157,-25.337,32,68,1,12,13,21,22,18,13
51,拡張型心筋症,38900,80,2.187,-111.911,31,69,2,14,17,19,20,16,12
52,一過性脳虚血発作,37100,80,2.28,-0.734,31,69,1,9,11,18,24,19,18
53,脳幹出血,37100,80,2.272,-31.319,39,61,1,7,11,21,26,19,15
54,エフィエント,36800,80,2.195,68.378,40,60,0,15,15,21,21,14,14
55,脳内出血,32800,80,2.366,-2.515,37,63,2,6,10,20,27,18,17
56,低髄液圧症候群,31200,80,2.363,-95.962,25,75,1,8,11,20,26,19,15
57,mmt 評価,27800,80,2.537,7.035,30,70,1,34,21,21,14,5,4
58,脳卒中,25100,80,2.56,-15.67,45,55,4,14,15,20,21,13,13
59,開頭手術,9700,80,3.574,8.016,48,52,5,15,21,24,19,9,7
60,ガンマナイフ,6000,80,4.016,3.243,42,58,2,10,14,18,22,16,18
61,avm 脳,2200,80,4.991,2.589,32,68,0,27,25,22,15,7,4
62,上腸間膜動脈症候群,37800,70,2.11,-168.894,29,71,1,8,14,27,26,16,8
63,cpa 医療,35300,70,2.11,-56.853,28,72,1,26,18,21,18,11,5
64,sle,35100,70,2.209,-30.239,25,75,2,15,17,23,22,13,8
65,シャントとは,34800,70,2.186,0.028,36,64,1,14,10,16,23,19,17
66,気管切開,34000,70,2.151,4.303,25,75,1,16,16,22,21,14,10
67,ノルアドレナリン,33400,70,2.203,-66.502,35,65,4,25,17,21,17,9,7
68,ミオクローヌス,33300,70,2.27,-9.877,29,71,2,20,20,22,19,11,6
69,トルバプタン,29400,70,2.336,-34.587,33,67,0,20,16,23,21,13,7
70,ネーザルハイフロー,29000,70,2.399,-79.795,24,76,0,31,22,22,16,6,3
