順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,脳梗塞,354000,2700,2.817,-0.001,40,60,2,7,7,14,24,22,24
2,脳卒中とは,100000,2300,3.875,0,40,60,3,10,12,20,24,17,14
3,脳出血,156000,1300,2.898,0,33,67,2,7,11,21,25,18,16
4,脳卒中 前兆,32500,840,3.997,0,38,62,4,12,17,23,22,12,10
5,脳卒中 脳梗塞 違い,20500,580,4.09,0,39,61,1,9,12,21,24,19,14
6,脳卒中 後遺症,4800,400,5.186,0.001,36,64,2,8,11,19,27,21,12
7,脳梗塞 症状,38200,300,2.824,-0.001,30,70,4,17,13,16,20,13,17
8,脳卒中 原因,5900,270,4.589,0.001,40,60,7,14,15,20,20,13,11
9,一過性脳虚血発作,37100,260,2.722,0.033,31,69,1,9,11,18,24,19,18
10,脳出血 後遺症,27500,260,2.999,0.06,27,73,2,6,12,21,27,19,13
11,脳梗塞 治療,40600,250,2.595,0,37,63,1,7,9,18,26,19,20
12,脳梗塞 入院期間,38700,250,2.646,0.001,31,69,1,5,9,20,28,19,18
13,被殻出血,19500,240,3.256,0.005,35,65,1,25,17,19,19,12,7
14,脳溢血,14300,220,3.471,0,47,53,3,7,12,19,24,16,19
15,脳内出血,32800,210,2.602,-0.021,37,63,2,6,10,20,27,18,17
16,mmt 評価,27800,200,2.727,5.561,30,70,1,34,21,21,14,5,4
17,アテローム血栓性脳梗塞,23600,190,2.88,3.819,30,70,1,20,10,16,22,17,14
18,gcs,23100,190,2.906,-2.497,46,54,2,39,25,18,10,4,2
19,ブルンストロームステージ,15300,190,3.3,-7.018,46,54,1,42,27,18,7,3,2
20,視床出血,13900,190,3.38,1.202,37,63,1,24,16,19,18,13,9
21,脳卒中学会,1900,180,5.246,0,75,25,0,4,21,31,24,14,6
22,デルマトーム,27100,170,2.62,-4.302,51,49,1,26,23,20,14,9,7
23,脳血管疾患,17100,160,2.997,0,34,66,5,16,15,20,21,13,10
24,脳梗塞 再発,19800,150,2.801,0.894,35,65,1,6,7,15,26,22,23
25,回復期リハビリテーション病棟,19800,150,2.743,2.544,33,67,1,10,12,24,28,16,9
26,バレー徴候,17100,150,2.975,0.819,37,63,1,42,21,18,12,4,2
27,脳血管障害,12400,150,3.251,0,28,72,3,14,11,17,22,18,15
28,脳出血 手術しない場合,12200,150,3.265,0.001,26,74,1,4,9,19,31,22,14
29,脳出血 再発率,7600,150,3.744,4.07,32,68,1,4,8,18,30,25,14
30,脳卒中 予防,2700,150,4.768,0,39,61,3,8,13,23,27,14,12
31,mmse,21600,140,2.628,-3.667,37,63,1,24,15,19,19,12,10
32,icf,16400,140,2.903,-15.847,37,63,4,31,13,20,18,9,5
33,脳卒中 症状,2000,140,5.025,0.001,37,63,9,33,18,19,12,5,4
34,脳卒中学会 2025,1900,140,4.992,12.997,61,39,0,7,21,29,22,13,8
35,視床下部,21000,130,2.608,0.438,36,64,10,17,13,18,18,12,12
36,バーセルインデックス,17900,130,2.71,-9.005,40,60,2,35,21,21,12,6,3
37,fim 評価表,13600,130,2.994,-7.039,38,62,1,33,17,20,15,9,5
38,脳梗塞 脳卒中 違い,10400,130,3.264,-0.001,41,59,1,9,15,22,26,14,13
39,くも膜下出血 生存率,18500,120,2.656,-0.001,39,61,7,12,12,20,23,14,12
40,失語症,15300,120,2.83,4.078,39,61,5,18,20,21,19,9,8
41,正常圧水頭症,13600,120,2.931,7.103,35,65,1,20,13,18,21,15,12
42,半側空間無視,12800,120,3,15.854,42,58,2,29,20,19,16,9,5
43,ワレンベルグ症候群,12400,120,3.024,0.577,42,58,0,29,19,19,15,11,7
44,脳神経,11600,120,3.071,-0.975,39,61,5,30,12,16,15,11,11
45,fim,10300,120,3.239,14.818,45,55,1,39,17,18,14,7,4
46,片麻痺,7800,120,3.468,0.856,37,63,2,17,12,19,25,17,8
47,nihss,6900,120,3.665,0.155,49,51,1,45,25,16,8,3,2
48,脳神経外科学会,2300,120,4.663,-27.286,77,23,0,4,17,27,24,18,10
49,脳卒中ガイドライン,2200,120,4.747,0,67,33,0,29,30,22,9,5,5
50,stroke2025,2200,120,4.734,39.019,66,34,1,6,20,32,24,13,4
51,脳の病気,17000,110,2.645,0,33,67,3,5,6,14,23,21,28
52,pci,15600,110,2.702,-16.241,44,56,1,26,17,18,17,12,9
53,ホルネル症候群,13500,110,2.828,-0.081,36,64,1,33,18,16,17,10,5
54,hds-r,13400,110,2.883,9.443,38,62,1,28,15,19,18,11,8
55,抗血小板薬,16000,100,2.653,-14.707,37,63,1,23,14,17,16,14,15
56,iadl,12700,100,2.758,-50.461,31,69,2,23,15,22,22,10,6
57,脳梗塞とは,10400,100,3.056,0,39,61,8,23,13,15,17,10,14
58,心原性脳梗塞,9700,100,3.1,-4.127,31,69,2,24,13,17,19,14,11
59,大脳基底核,8700,100,3.204,-11.189,43,57,6,41,14,14,11,7,7
