順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,脳梗塞 前兆,421000,41100,2.727,-0.001,35,65,1,5,10,19,25,18,22
2,脳梗塞 後遺症,72700,16800,3.598,0.002,32,68,1,5,8,18,27,21,20
3,くも膜下出血,251000,12900,2.076,0,38,62,3,11,14,21,23,15,13
4,脳出血,156000,12800,2.536,0.001,33,67,2,7,11,21,25,18,16
5,心筋梗塞,268000,12000,1.945,-0.001,42,58,2,7,10,18,24,19,20
6,脳梗塞 原因,76900,11100,3.132,0,36,64,2,7,10,18,24,17,22
7,脳梗塞 入院期間,38700,10200,3.721,0.002,31,69,1,5,9,20,28,19,18
8,脳梗塞 治療,40600,10000,3.659,0.001,37,63,1,7,9,18,26,19,20
9,脳卒中とは,100000,9400,2.682,0.001,40,60,3,10,12,20,24,17,14
10,脳梗塞 再発,19800,6100,3.892,0.639,35,65,1,6,7,15,26,22,23
11,脳梗塞 症状,38200,5900,3.201,0.001,30,70,4,17,13,16,20,13,17
12,高次脳機能障害,120000,5800,2.014,7.07,30,70,1,10,12,21,25,18,13
13,脳腫瘍,100000,5700,2.19,0,37,63,3,6,9,20,25,19,18
14,バイアスピリン,103000,5000,2.036,4.245,36,64,0,13,12,16,20,18,21
15,動脈硬化,103000,4600,1.969,0.9,33,67,1,5,7,17,25,21,24
16,ラクナ梗塞,49600,4200,2.596,0.137,32,68,1,11,9,16,23,21,19
17,血液サラサラの薬,72400,3600,2.102,4.371,39,61,0,3,4,11,24,27,31
18,脳梗塞 前兆 チェック,24700,3400,3.125,0,40,60,1,1,3,12,24,25,34
19,リハビリテーション病院,55200,3100,2.214,5.792,33,67,1,3,5,14,26,24,27
20,アテローム血栓性脳梗塞,23600,3100,3.04,1.177,30,70,1,20,10,16,22,17,14
21,脳梗塞 リハビリ,9000,3100,3.983,0.014,40,60,1,6,8,19,27,19,20
22,構音障害,74300,3000,1.812,1.931,23,77,2,12,15,24,22,16,9
23,クロピドグレル,66900,3000,1.961,2.778,33,67,0,16,14,20,22,15,13
24,脳動脈瘤,58600,2800,2.015,0.002,30,70,1,7,10,20,26,19,17
25,脳卒中,25100,2700,2.817,0.001,45,55,4,14,15,20,21,13,13
26,動脈瘤,64300,2600,1.862,0.252,36,64,1,4,8,16,23,20,28
27,高次機能障害とは,51900,2600,2.062,10.422,23,77,1,9,12,22,27,18,11
28,一過性脳虚血発作,37100,2500,2.386,0.013,31,69,1,9,11,18,24,19,18
29,脳溢血とは,34900,2300,2.338,0.001,41,59,1,5,8,18,26,20,22
30,小脳梗塞,26300,2200,2.604,0.007,31,69,1,10,11,19,22,18,19
31,脳梗塞 予防,13100,2200,3.251,0.001,44,56,1,5,10,21,27,18,18
32,経管栄養,48000,2000,1.839,5.488,23,77,2,15,13,21,24,16,9
33,リハビリ,47700,2000,1.898,7.901,42,58,2,6,9,16,20,18,29
34,脳内出血,32800,2000,2.241,0.001,37,63,2,6,10,20,27,18,17
35,脳卒中 前兆,32500,2000,2.232,0,38,62,4,12,17,23,22,12,10
36,脳梗塞とは,10400,2000,3.403,0,39,61,8,23,13,15,17,10,14
37,脳梗塞 脳卒中 違い,10400,2000,3.368,0,41,59,1,9,15,22,26,14,13
38,脳梗塞 食事,7300,2000,3.766,0.023,27,73,0,4,7,18,29,24,18
39,クロピドグレル錠75mg,28900,1900,2.4,6.411,39,61,1,6,6,12,20,23,32
40,脳卒中 脳梗塞 違い,20500,1900,2.677,0.003,39,61,1,9,12,21,24,19,14
41,シロスタゾール,43900,1800,1.877,8.06,33,67,0,16,14,20,22,15,13
42,脳出血 前兆,40600,1800,1.924,0.002,26,74,2,9,14,22,25,16,12
43,嚥下障害,42200,1700,1.84,6.963,34,66,2,7,8,16,26,21,20
44,脳出血 後遺症,27500,1600,2.231,0.221,27,73,2,6,12,21,27,19,13
45,脳,26700,1600,2.238,0.001,38,62,6,11,9,18,20,16,20
46,脳幹梗塞,15700,1600,2.748,0.131,34,66,1,10,11,17,23,20,18
47,慢性心不全,37100,1500,1.858,0.789,30,70,1,12,9,16,24,21,17
48,脳幹出血,37100,1500,1.844,0.765,39,61,1,7,11,21,26,19,15
49,療養型病院,36200,1500,1.894,12.552,26,74,0,3,5,13,31,31,17
50,エフィエント,36800,1400,1.804,5.993,40,60,0,15,15,21,21,14,14
51,意識障害,27600,1300,2.002,0.981,34,66,2,9,12,19,24,19,15
52,ろれつが回らない病気,20200,1300,2.253,-0.222,37,63,2,4,10,21,29,19,15
53,脳の病気,17000,1300,2.505,0.001,33,67,3,5,6,14,23,21,28
54,脳梗塞と脳卒中の違い,5500,1300,3.643,0,36,64,2,7,6,13,27,23,22
55,血栓,30700,1200,1.824,0.001,37,63,3,11,14,19,22,15,16
56,mmt 評価,27800,1200,1.925,0.349,30,70,1,34,21,21,14,5,4
57,脳幹,24600,1200,2.035,0.388,37,63,8,17,11,17,19,14,14
58,後遺症,19900,1200,2.273,0.004,35,65,2,3,7,13,24,24,27
59,麻痺,15200,1200,2.517,0.015,34,66,3,5,5,12,29,24,22
60,脳血栓とは,10500,1200,2.881,0.001,37,63,1,5,6,14,22,23,29
61,脳梗塞後遺症,4300,1200,3.764,1.921,31,69,2,11,7,16,26,23,15
62,脳血管疾患,17100,1100,2.328,0.001,34,66,5,16,15,20,21,13,10
63,心原性脳梗塞,9700,1100,2.859,1.111,31,69,2,24,13,17,19,14,11
