順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,脳腫瘍 初期症状,73700,8300,4.107,0,29,71,4,9,14,21,22,15,15
2,脳梗塞 前兆,421000,6800,2.167,-0.001,35,65,1,5,10,19,25,18,22
3,脳梗塞,354000,5700,2.19,0,40,60,2,7,7,14,24,22,24
4,脳腫瘍 生存率,18500,4200,4.821,0.001,36,64,5,8,12,20,24,16,15
5,脳出血,156000,3500,2.471,0,33,67,2,7,11,21,25,18,16
6,くも膜下出血,251000,3000,1.859,-0.001,38,62,3,11,14,21,23,15,13
7,悪性リンパ腫,239000,2900,1.885,6.042,33,67,2,7,11,21,25,19,15
8,脳腫瘍 手術後,7600,2400,5.168,0.024,28,72,2,5,8,20,26,21,18
9,脳腫瘍 原因,9500,2000,4.726,0.003,34,66,5,9,14,20,23,15,14
10,髄膜腫,32700,1900,3.427,0.18,30,70,1,8,11,19,24,20,17
11,脳腫瘍 症状,9900,1800,4.608,0.001,32,68,5,11,13,19,20,16,16
12,放射線治療,86400,1700,2.347,8.605,35,65,1,4,7,19,26,19,24
13,脳腫瘍 良性,6500,1700,4.971,0.001,27,73,2,6,10,23,26,18,15
14,水頭症,123000,1600,1.946,0.426,31,69,1,11,18,20,20,14,16
15,脳神経外科,92600,1600,2.217,0,34,66,2,5,14,22,24,15,18
16,膠芽腫,22900,1500,3.568,2.247,38,62,1,10,11,21,24,18,15
17,脳卒中とは,100000,1300,1.958,0,40,60,3,10,12,20,24,17,14
18,抗がん剤 副作用,93800,1300,2.022,6.843,29,71,1,6,7,17,24,21,24
19,脳動脈瘤,58600,1300,2.479,0.001,30,70,1,7,10,20,26,19,17
20,多発性硬化症,105000,1200,1.826,2.244,27,73,1,9,11,19,24,20,16
21,髄膜炎とは,103000,1200,1.809,-0.001,37,63,2,11,16,21,22,16,12
22,抗がん剤治療,92900,1200,1.973,6.225,39,61,1,3,7,17,24,22,26
23,グリオーマ,17600,1200,3.56,2.281,34,66,1,9,16,26,22,15,11
24,緩和ケアとは,105000,1100,1.784,10.905,31,69,1,5,8,16,26,21,23
25,リンパ腫,90500,1100,1.934,0.711,39,61,1,5,8,17,23,22,24
26,悪性リンパ腫 症状,87600,1100,1.963,6.078,28,72,2,7,11,19,25,19,17
27,脳神経内科,78600,1100,2.001,0.001,32,68,1,5,7,21,26,19,21
28,肺がん,72300,1100,2.117,-0.969,39,61,2,6,8,15,21,20,28
29,腫瘍,59400,1100,2.279,0.001,45,55,3,6,8,15,23,21,24
30,脳腫瘍 がん 違い,4000,1100,5.012,0.002,38,62,2,5,10,24,27,17,15
31,肺癌 ステージ4 平均余命,81700,990,1.897,0.048,37,63,1,4,8,18,24,21,24
32,肺がん 症状,74500,990,1.992,-6.762,35,65,3,9,12,16,20,18,22
33,脳ドック,82500,980,1.84,0.003,37,63,0,2,7,23,31,22,15
34,食道がん,85700,970,1.802,31.58,42,58,2,6,9,19,25,20,19
35,頭がふわふわする,82300,970,1.868,-0.002,30,70,4,8,10,18,22,18,20
36,咽頭癌,81500,950,1.828,8.301,40,60,1,5,10,19,25,21,19
37,放射線治療 副作用,46500,930,2.403,9.863,25,75,1,5,7,18,26,22,21
38,造影剤,78100,910,1.821,3.211,37,63,1,5,11,22,27,18,16
39,くも膜下出血 前兆,69600,870,1.913,-0.002,33,67,3,11,14,20,22,16,14
40,動脈瘤,64300,850,1.99,0.004,36,64,1,4,8,16,23,20,28
41,脳出血 前兆,40600,840,2.401,0,26,74,2,9,14,22,25,16,12
42,胃がん,72200,830,1.851,0.003,35,65,2,7,9,16,22,19,25
43,脳梗塞 後遺症,72700,820,1.813,0,32,68,1,5,8,18,27,21,20
44,髄膜炎 症状,64400,820,1.885,0.007,22,78,1,9,24,29,20,10,7
45,慢性硬膜下血腫,66300,790,1.875,1.404,31,69,1,12,13,18,23,17,16
46,神経膠腫,7300,790,4.06,3.937,34,66,2,16,14,22,22,13,11
47,食道がん 症状,66000,740,1.8,10.191,34,66,1,5,9,19,27,19,20
48,肺腺癌,64600,740,1.856,1.785,32,68,0,3,6,16,23,23,29
49,聴神経腫瘍,16500,740,3.178,0.173,32,68,2,9,13,20,24,19,13
50,脳震盪 症状,48700,700,2.05,0,30,70,11,14,15,25,18,9,8
51,肝臓がん,61300,680,1.809,0.042,39,61,1,5,8,17,24,21,24
52,腎臓がん,59900,670,1.822,-0.001,39,61,1,3,8,16,23,23,26
53,頭がぼーっとする,53600,670,1.915,0.003,37,63,5,13,15,20,18,13,16
54,卵巣がん,56000,660,1.849,2.918,22,78,1,6,11,22,26,18,16
55,脳神経内科 脳神経外科 違い,44300,660,2.089,-0.001,29,71,1,6,9,20,27,19,18
56,悪性リンパ腫 生存率,58000,650,1.811,8.482,38,62,3,6,9,18,24,20,20
57,レベチラセタム,46600,640,1.986,16.661,32,68,1,15,16,24,23,13,8
58,脳の病気,17000,640,3.049,0,33,67,3,5,6,14,23,21,28
59,体重が減る病気,53800,630,1.861,9.908,34,66,1,3,7,14,27,25,23
60,髄膜炎,49000,610,1.878,-0.001,34,66,3,15,24,24,18,9,7
61,抗がん剤治療 期間 平均,48400,600,1.94,11.877,29,71,0,2,5,16,26,24,27
62,高次機能障害とは,51900,590,1.798,6.89,23,77,1,9,12,22,27,18,11
63,末梢神経障害,44800,590,1.97,0.289,35,65,1,9,10,18,24,19,19
64,ガンマナイフとは,14700,580,3.066,3.522,32,68,1,9,13,20,24,19,14
65,転移性脳腫瘍,4300,580,4.288,1.097,33,67,2,18,12,18,21,16,13
66,脳梗塞 治療,40600,570,2.04,-0.433,37,63,1,7,9,18,26,19,20
67,悪性脳腫瘍,4200,550,4.264,4.677,36,64,2,5,10,19,29,19,16
68,脳梗塞 症状,38200,540,2.044,0.001,30,70,4,17,13,16,20,13,17
69,髄膜腫 症状,8700,540,3.546,3.021,23,77,0,5,6,14,26,26,23
70,脳卒中 前兆,32500,510,2.113,-0.001,38,62,4,12,17,23,22,12,10
71,下垂体腫瘍,13400,510,3.017,0.435,28,72,1,9,13,21,26,18,12
72,グリオーマ 生存率,4000,510,4.244,4.983,32,68,1,6,12,23,24,20,14
