順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,頸動脈狭窄症 症状,6700,300,7.08,-0.001,43,57,0,3,4,11,21,24,37
2,頚動脈狭窄症,7100,190,6.531,-1.241,42,58,0,3,6,12,21,25,33
3,頸動脈,33400,170,4.847,0,42,58,6,11,11,15,20,16,21
4,脳梗塞 前兆,421000,130,2.054,-8.867,35,65,1,5,10,19,25,18,22
5,脳梗塞,354000,130,2.219,-1.206,40,60,2,7,7,14,24,22,24
6,糖尿病,711000,120,1.441,-36.835,43,57,2,5,8,17,26,21,21
7,頸動脈 プラーク 改善方法,13100,120,5.497,-0.01,37,63,0,1,2,10,25,31,31
8,逆流性食道炎,618000,110,1.426,-15.135,32,68,3,10,15,21,22,16,13
9,膠原病,539000,110,1.583,43.006,32,68,1,6,11,19,24,20,19
10,甲状腺機能低下症,543000,100,1.598,-1.485,23,77,1,6,10,16,21,20,26
11,狭心症,356000,100,1.922,-11.716,38,62,2,8,11,18,24,18,19
12,ギランバレー症候群,519000,90,1.457,-45.674,35,65,2,8,11,17,21,19,22
13,蜂窩織炎,434000,90,1.674,-77.017,28,72,1,7,13,21,24,19,15
14,敗血症,395000,90,1.743,3.129,38,62,1,7,11,18,22,19,22
15,間質性肺炎,387000,90,1.82,5.621,31,69,1,5,7,14,22,22,29
16,認知症,475000,80,1.401,-42.133,36,64,1,3,5,13,28,25,25
17,コロナワクチン,399000,80,1.611,-29.376,42,58,1,2,5,13,21,25,33
18,脊柱管狭窄症,356000,80,1.74,-0.821,39,61,1,3,5,11,20,24,36
19,シェーグレン症候群,273000,80,1.937,25.87,20,80,1,7,9,17,26,23,17
20,動脈硬化,103000,80,3.017,-5.94,33,67,1,5,7,17,25,21,24
21,バイアスピリン,103000,80,2.904,-0.941,36,64,0,13,12,16,20,18,21
22,動脈硬化 改善,96300,80,3.041,-8.988,35,65,1,2,5,15,30,25,22
23,ホルネル症候群,13500,80,4.974,1.888,36,64,1,33,18,16,17,10,5
24,カリウムの多い食品,437000,70,1.423,-11.877,30,70,1,5,8,14,23,22,27
25,肋間神経痛,409000,70,1.372,-64.186,28,72,2,8,13,21,24,18,14
26,アスペルガー症候群,399000,70,1.508,183.629,33,67,3,11,16,23,20,14,13
27,血糖値 基準値,376000,70,1.479,-9.596,43,57,1,6,6,13,24,24,26
28,アムロジピン,296000,70,1.828,-41.849,40,60,0,8,7,14,24,23,24
29,デエビゴ,284000,70,1.741,31.243,34,66,1,9,12,20,24,18,16
30,心筋梗塞,268000,70,1.805,36.274,42,58,2,7,10,18,24,19,20
31,心不全,265000,70,1.857,6.218,34,66,2,7,10,18,24,19,20
32,心房細動,243000,70,1.995,8.043,39,61,1,7,8,14,21,22,27
33,hba1c,225000,70,2.092,-56.519,41,59,0,8,11,19,26,19,17
34,大動脈弁狭窄症,40500,70,3.707,-24.004,34,66,1,12,10,15,22,20,20
35,コンパートメント症候群,37200,70,3.863,114.981,34,66,2,28,18,20,18,9,5
36,シムス位,23100,70,4.325,-102.029,11,89,2,28,43,14,7,4,2
37,頸動脈エコー検査,11000,70,5.082,-0.91,35,65,1,3,4,11,27,27,27
38,腫瘍崩壊症候群,8900,70,5.329,-47.056,31,69,0,32,18,18,16,9,7
39,ムーアの分類,6100,70,5.629,-46.076,12,88,2,50,14,15,12,5,2
40,健忘失語,1500,70,7.063,-9.014,21,79,0,26,18,17,23,13,3
41,定期預金 金利 ランキング,387000,60,1.368,69.023,45,55,0,2,7,16,27,29,19
42,確定申告 医療費控除,369000,60,1.379,33.57,40,60,0,2,8,14,24,24,28
43,ビタミンd,345000,60,1.395,-34.781,30,70,1,6,12,19,24,20,18
44,甲状腺の病気,344000,60,1.504,-37.838,26,74,1,3,7,18,29,22,20
45,橋本病,341000,60,1.454,-5.949,25,75,1,7,13,22,25,18,14
46,骨粗鬆症,300000,60,1.736,-27.555,24,76,2,5,5,12,22,25,29
47,脈拍数 正常値,286000,60,1.579,-4.311,33,67,2,8,9,16,23,21,21
48,大動脈解離,268000,60,1.627,22.501,40,60,1,7,11,19,25,20,17
49,ldlコレステロール,264000,60,1.646,-14.795,36,64,1,9,13,19,24,19,15
50,甲状腺機能亢進症,257000,60,1.79,-1.978,23,77,2,8,11,23,27,17,12
51,クレアチニンとは,253000,60,1.841,-6.749,42,58,1,5,6,13,21,23,31
52,関節リウマチ,121000,60,2.494,143.674,30,70,2,11,11,16,24,19,17
53,横紋筋融解症,111000,60,2.641,7.217,32,68,1,11,11,16,21,20,20
54,掌蹠膿疱症,108000,60,2.551,-98.979,27,73,1,7,13,22,26,19,12
55,エンレスト,88700,60,2.828,-33.919,37,63,0,12,15,23,24,14,12
56,サルコイドーシス,83000,60,2.916,-4.211,31,69,1,9,12,20,24,19,15
57,1型糖尿病,74100,60,2.92,-69.71,36,64,3,12,14,21,21,16,13
58,クッシング症候群,70700,60,3.09,-97.869,25,75,2,21,14,20,23,13,7
59,sglt2阻害薬,41300,60,3.533,-9.964,46,54,0,11,12,19,22,19,17
60,一過性脳虚血発作,37100,60,3.708,4.209,31,69,1,9,11,18,24,19,18
61,頚動脈エコー,36100,60,3.815,-6.964,27,73,0,2,5,14,28,27,24
62,co2ナルコーシス,29700,60,3.93,-107.985,30,70,1,32,18,21,16,8,4
63,産褥期,27500,60,3.895,-21.992,16,84,3,18,42,15,9,9,4
64,セリアック病,27200,60,3.974,-116.058,27,73,2,10,13,19,23,19,14
65,アプガースコア,22100,60,4.221,76.968,25,75,1,32,29,19,11,6,2
66,低カルシウム血症,14900,60,4.633,-131.997,32,68,1,19,16,20,20,13,11
67,ゲルストマン症候群,9600,60,4.97,101.997,36,64,1,34,17,19,16,9,4
68,下垂足,9200,60,5.009,-74.09,36,64,1,22,14,18,20,14,11
69,一次性頭痛,4000,60,5.893,-75.026,38,62,3,20,19,18,20,15,5
70,マンジャロ,337000,50,1.35,-7.522,31,69,2,15,21,26,21,10,5
71,白内障手術,313000,50,1.512,6.07,36,64,0,1,4,10,21,27,37
72,帯状疱疹 ワクチン,295000,50,1.521,64.316,31,69,0,1,4,9,25,30,31
73,レボフロキサシン,289000,50,1.466,0.735,31,69,1,10,16,23,21,15,14
74,突発性難聴,277000,50,1.575,105.797,29,71,4,10,14,20,22,16,14
75,ヘルパンギーナ,263000,50,1.469,30.746,26,74,1,9,33,26,12,12,7
76,虚血性心疾患,262000,50,1.592,-9.43,41,59,2,6,9,17,25,20,21
77,誤嚥性肺炎,262000,50,1.503,-27.492,35,65,1,6,8,14,26,23,22
78,フレイルとは,257000,50,1.551,-0.012,35,65,1,4,4,11,20,23,37
79,くも膜下出血,251000,50,1.487,-0.071,38,62,3,11,14,21,23,15,13
80,ロキソプロフェン,249000,50,1.574,-16.006,45,55,2,12,13,18,20,16,19
81,メトホルミン,235000,50,1.718,12.422,33,67,0,6,11,23,30,18,12
82,済生会病院,227000,50,1.615,-10.198,36,64,1,6,10,18,24,21,20
83,鼠径ヘルニア,221000,50,1.633,-30.075,41,59,2,7,13,19,21,18,20
84,心筋梗塞 前兆,218000,50,1.815,-5.105,37,63,2,5,9,18,26,20,20
85,ヘモグロビンa1c,207000,50,1.849,-29.055,35,65,1,6,9,19,26,21,18
86,睡眠時無呼吸症候群,184000,50,1.792,-35.124,45,55,2,8,14,23,26,17,10
87,白内障,178000,50,1.872,66.28,41,59,2,5,8,14,22,22,27
88,敗血症性ショック,177000,50,1.985,70.661,40,60,1,6,8,13,19,24,29
89,後期高齢者医療制度,168000,50,2.045,-46.54,36,64,1,4,4,13,23,18,37
90,手根管症候群,157000,50,2.03,-74.148,27,73,1,7,11,19,26,19,17
91,アルツハイマー型認知症,156000,50,2.158,-12.037,33,67,2,7,7,15,26,20,23
92,下肢静脈瘤,155000,50,2.125,0.684,26,74,1,5,10,20,26,20,18
93,egfr,150000,50,2.13,-12.443,37,63,0,6,8,16,25,23,22
94,ネフローゼ症候群,133000,50,2.254,4.443,32,68,2,13,13,21,22,15,14
95,エソメプラゾールカプセル20mg,122000,50,2.395,-8.485,33,67,1,6,9,17,23,21,23
96,全身性エリテマトーデス,120000,50,2.226,-7.581,20,80,2,16,16,22,22,14,8
97,カテーテルとは,110000,50,2.364,-2.47,45,55,3,8,9,13,19,19,29
98,もやもや病,106000,50,2.42,-0.01,33,67,2,10,15,24,23,15,11
99,アナフィラキシーショック,101000,50,2.488,-148.979,46,54,4,11,14,20,21,15,15
100,ベオーバ錠50mg,96600,50,2.523,8.906,38,62,0,4,6,12,18,21,39
101,狭窄症,79900,50,2.697,-0.002,39,61,1,4,8,14,25,22,26
102,jcs,48100,50,3.304,-35.142,40,60,2,32,23,19,14,6,4
103,深部静脈血栓症,41100,50,3.449,-5.083,27,73,2,23,13,18,20,14,10
104,脳梗塞 治療,40600,50,3.422,-2.031,37,63,1,7,9,18,26,19,20
105,慢性膵炎,26700,50,3.756,27.659,41,59,1,10,14,20,23,18,14
106,インフュージョンリアクション,11600,50,4.739,9.99,25,75,1,36,20,20,14,6,3
107,上大静脈症候群,4900,50,5.418,106.918,35,65,1,24,19,22,18,11,5
108,世界糖尿病デー,3800,50,5.814,10.98,34,66,1,10,16,22,25,18,8
109,下部食道括約筋,3300,50,5.929,-95.996,26,74,2,25,14,16,20,14,9
110,脊髄癆,2100,50,6.289,-27.056,38,62,1,33,15,16,18,12,5
111,遷延分娩,1900,50,6.429,-5.993,15,85,2,38,22,13,14,9,2
112,蓄尿症状,1400,50,6.876,140.993,25,75,1,21,11,14,24,18,11
113,ウンドハイジーン,1400,50,6.714,-87.978,14,86,0,8,15,24,32,17,4
114,集中治療後症候群,1200,50,6.955,-151.94,20,80,2,18,13,17,29,17,4
115,胎盤娩出様式,1000,50,7.075,-38.01,10,90,1,32,14,16,20,15,2
116,オリックス生命,304000,40,1.309,-19.332,39,61,0,2,8,15,21,24,30
117,カロナール500,287000,40,1.347,-19.407,37,63,1,5,10,20,23,18,23
118,障害者年金,283000,40,1.327,-18.29,40,60,1,3,7,15,28,30,16
119,コレステロールを下げる食品,282000,40,1.358,-21.894,22,78,0,3,7,18,31,24,17
120,中性脂肪を下げるには,261000,40,1.444,-15.561,36,64,0,2,7,17,27,24,23
121,せん妄とは,259000,40,1.347,20.078,30,70,1,7,8,17,27,22,18
122,line 友達追加,254000,40,1.438,0.008,50,50,1,1,3,10,22,31,32
123,介護保険,249000,40,1.448,-0.026,39,61,1,3,5,15,28,26,22
124,e-tax ログイン,248000,40,1.397,2.164,68,32,0,3,9,12,20,29,27
125,血糖値,242000,40,1.517,45.387,45,55,1,4,7,13,21,24,30
126,クローン病,241000,40,1.347,-15.007,31,69,3,12,15,21,22,15,12
127,ストレートネック,240000,40,1.312,-18.144,34,66,5,13,18,25,22,10,7
128,酸化マグネシウム,239000,40,1.37,-23.606,29,71,2,7,12,17,20,18,24
129,高額療養費制度とは,235000,40,1.423,-18.977,40,60,1,4,9,15,22,24,25
130,足のむくみの原因,234000,40,1.595,-13.071,38,62,0,2,3,12,23,24,36
131,前立腺がん 症状,229000,40,1.59,46.17,60,40,1,3,6,13,21,24,32
132,腎盂腎炎,229000,40,1.467,6.232,26,74,1,10,15,23,25,15,11
133,椎間板ヘルニア,229000,40,1.415,-27.489,38,62,2,8,12,19,23,18,18
134,肺癌 初期症状は,228000,40,1.385,-40.136,35,65,1,4,9,18,24,22,22
135,コレステロール,216000,40,1.514,9.307,34,66,1,5,6,16,25,24,23
136,ローマ教皇,216000,40,1.492,62.685,44,56,5,6,9,19,23,19,19
137,フロモックス,206000,40,1.549,-17.123,33,67,1,7,14,22,23,17,16
138,憩室炎,204000,40,1.533,-53.197,32,68,1,5,11,19,24,21,19
139,windows 10 サポート期限,202000,40,1.557,-53.229,69,31,1,3,7,16,26,23,24
140,ステロイド 副作用,199000,40,1.527,0.167,33,67,2,10,13,18,21,17,19
141,プレドニン,191000,40,1.684,18.921,28,72,1,8,12,21,24,18,16
142,甲状腺,190000,40,1.701,-16.977,33,67,2,7,12,19,24,18,18
143,タリージェ,189000,40,1.616,28.189,35,65,0,5,9,19,25,20,22
144,高血圧 症状,189000,40,1.577,-5.947,35,65,2,7,9,21,27,17,17
145,ランソプラゾール,187000,40,1.781,5.582,32,68,1,10,10,17,23,20,19
146,アトピー性皮膚炎,187000,40,1.518,-10.511,30,70,3,10,16,24,23,13,11
147,ガンマーgtpが高い,184000,40,1.611,29.084,42,58,0,3,9,22,32,20,14
148,肺気腫,183000,40,1.676,-15.791,42,58,1,6,8,16,22,20,27
149,mri,182000,40,1.699,17.718,38,62,4,8,12,21,21,15,19
150,限度額適用認定証,182000,40,1.64,35.897,30,70,0,6,18,21,25,19,11
151,血液検査 項目 一覧,181000,40,1.668,10.417,33,67,1,7,10,14,21,20,27
152,脂質異常症,177000,40,1.793,-4.093,30,70,1,9,12,20,27,18,13
153,ロスバスタチン錠2.5mg,164000,40,1.71,-0.943,33,67,0,4,6,12,25,26,27
154,頻尿,162000,40,1.939,-31.841,49,51,2,5,8,15,20,21,29
155,中性脂肪,158000,40,1.902,-22.295,38,62,1,7,10,18,23,19,22
156,ペースメーカー,148000,40,1.974,-10.682,37,63,3,7,9,17,24,19,21
157,脂肪肝,145000,40,1.963,-19.989,37,63,1,7,15,22,26,16,13
158,閃輝暗点,144000,40,1.929,10.322,29,71,3,8,14,21,22,16,16
159,プレガバリン,134000,40,1.991,10.409,36,64,0,8,10,20,25,18,19
160,b型肝炎,130000,40,1.934,42.137,41,59,1,9,13,22,24,16,15
161,高次脳機能障害,120000,40,2.186,5.149,30,70,1,10,12,21,25,18,13
162,食道裂孔ヘルニア,108000,40,2.089,-15.038,33,67,0,6,11,22,25,20,16
163,頚椎症,105000,40,2.349,-2.659,37,63,1,5,9,19,25,19,22
164,フォシーガ,105000,40,2.343,3.19,34,66,0,9,14,23,25,16,13
165,egfr 基準値 年齢別,100000,40,2.462,-40.229,42,58,0,5,5,10,19,27,34
166,脳腫瘍,100000,40,2.383,-34.624,37,63,3,6,9,20,25,19,18
167,うっ血性心不全,99800,40,2.221,-5.637,33,67,1,10,10,18,28,19,14
168,クエチアピン,96800,40,2.221,38.105,29,71,1,12,15,23,25,15,9
169,心臓弁膜症,92200,40,2.422,5.686,37,63,1,3,5,11,21,27,32
170,ck 血液検査,88700,40,2.343,9.937,32,68,1,8,7,13,21,22,28
171,タケキャブ,82100,40,2.518,27.12,36,64,1,18,13,18,19,15,16
172,ビソプロロールフマル酸塩,78100,40,2.5,-11.38,32,68,1,11,11,19,22,18,18
173,血液サラサラの薬,72400,40,2.647,-4.254,39,61,0,3,4,11,24,27,31
174,クロピドグレル,66900,40,2.774,9.825,33,67,0,16,14,20,22,15,13
175,スピロノラクトン,66900,40,2.62,-33.866,26,74,0,18,15,22,23,12,10
176,人工呼吸器,66200,40,2.626,-110.987,28,72,1,14,14,22,24,14,11
177,腰部脊柱管狭窄症,63400,40,2.657,-39.92,37,63,1,10,8,13,22,21,25
178,リクシアナ,60100,40,2.849,1.8,39,61,0,13,12,19,21,17,18
179,水腎症,58700,40,2.683,-13.246,28,72,1,12,18,21,21,16,11
180,カルベジロール,57700,40,2.823,-20.242,36,64,0,15,13,20,22,16,14
181,人工股関節置換術,53000,40,3.093,-126.031,26,74,0,4,3,7,21,37,28
182,ラクナ梗塞,49600,40,3.12,0.01,32,68,1,11,9,16,23,21,19
183,シロスタゾール,43900,40,3.05,-10.03,33,67,0,16,14,20,22,15,13
184,エフィエント,36800,40,3.159,31.856,40,60,0,15,15,21,21,14,14
185,死戦期呼吸,36100,40,3.2,49.998,36,64,6,17,21,27,17,8,4
186,プラークとは,31800,40,3.516,0.034,38,62,2,10,9,13,19,20,27
187,abi 検査,27900,40,3.543,-15.971,27,73,0,14,11,18,22,17,18
188,デルマトーム,27100,40,3.633,200.7,51,49,1,26,23,20,14,9,7
189,心室期外収縮,21200,40,3.785,195.991,30,70,1,19,15,21,20,13,11
190,食道アカラシア,18100,40,3.926,-15.02,28,72,1,12,14,22,25,15,11
191,セルフコンパッション,13100,40,4.224,-123.037,26,74,1,10,15,25,26,15,8
192,アドバンスケアプランニング,13000,40,4.181,-2.001,25,75,2,22,12,22,24,12,6
193,主婦湿疹,10600,40,4.391,-89.998,13,87,1,8,18,23,26,17,7
194,スパイロメーター,9700,40,4.5,-130.065,35,65,2,21,12,18,23,16,8
195,大球性貧血,9300,40,4.571,28.981,40,60,1,16,16,22,20,15,10
196,災害拠点病院,7100,40,4.968,-50.031,39,61,2,18,10,19,22,18,11
197,ループ利尿薬,5800,40,5.215,187.98,29,71,2,40,16,15,15,7,5
198,大腿骨近位部骨折,3800,40,5.562,82.963,37,63,2,25,15,17,19,13,9
199,頚動脈 プラーク 治療,3800,40,5.524,-0.001,41,59,0,1,1,8,24,29,37
200,アレンテスト,3500,40,5.655,-125.072,37,63,0,29,19,19,17,10,6
201,急性腹膜炎,3200,40,5.63,67.003,29,71,1,13,19,22,23,14,8
202,ブローイング訓練,2000,40,6.121,-91.836,20,80,1,32,15,16,19,12,5
203,萌出,2000,40,6.065,-19.096,26,74,3,22,26,22,15,8,4
204,登攀性起立,1800,40,6.34,-83.005,37,63,1,36,18,16,16,9,4
205,原発性骨粗鬆症,1500,40,6.499,-6.969,31,69,1,34,13,14,19,12,7
206,熱放散,1400,40,6.511,-30.077,26,74,7,27,15,17,21,11,2
207,メルゼブルクの三徴,1400,40,6.5,-156.905,24,76,3,38,15,18,17,8,1
208,結帯動作,1300,40,6.664,-100.016,32,68,0,20,20,18,24,15,3
209,リウマトイド疹,1100,40,6.859,-52.004,15,85,0,24,17,16,21,17,5
