順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,脳神経内科,78100,6700,3.92,0,31,69,1,5,8,21,26,19,20
2,脳梗塞 前兆,421000,5000,1.939,-0.008,35,65,1,5,9,19,25,18,23
3,整形外科,407000,4400,1.817,0,34,66,2,5,12,25,25,16,15
4,脳梗塞,357000,3500,1.76,-0.001,40,60,2,7,8,14,23,22,24
5,脳神経内科 脳神経外科 違い,44200,3300,3.783,0,29,71,1,6,9,20,27,19,18
6,脳神経外科 脳神経内科 違い,18100,2400,4.34,0,25,75,1,8,12,20,25,16,18
7,心療内科,193000,2200,1.852,0.001,36,64,2,9,12,22,27,15,13
8,頭痛が続く,176000,2100,1.889,-0.009,27,73,2,9,17,28,25,11,8
9,脳出血,152000,1600,1.778,0,33,67,2,8,11,21,25,18,15
10,脳腫瘍,104000,1600,2.197,0,37,63,3,6,10,20,24,19,18
11,脳ドック,84000,1500,2.315,-0.003,37,63,0,2,7,23,32,21,15
12,神経内科とは,61100,1400,2.589,0,31,69,1,4,7,16,25,21,26
13,耳鼻科,125000,1300,1.744,0.114,30,70,3,11,23,28,17,8,10
14,頭が痛い,116000,1200,1.754,-0.012,32,68,8,9,9,19,24,15,16
15,脳神経外科 名医,8700,1200,4.428,0,34,66,1,1,3,11,23,30,31
16,頚椎症,110000,1100,1.776,0.006,36,64,1,5,9,19,25,19,22
17,mri 料金,104000,1100,1.839,0.108,36,64,2,9,15,24,22,14,14
18,三叉神経痛,96200,1100,1.912,-0.007,29,71,1,6,12,21,25,19,16
19,緊張型頭痛,92100,1100,1.924,0.419,25,75,5,15,21,25,19,9,6
20,脳腫瘍 初期症状,75600,1100,2.17,-0.002,29,71,4,9,14,21,22,15,15
21,頭がふわふわする,84100,1000,1.96,-0.141,29,71,4,8,10,18,23,17,20
22,ペインクリニック,95500,970,1.799,-0.012,34,66,1,3,7,16,26,22,25
23,顔面神経麻痺,97300,960,1.729,0.001,32,68,1,5,11,22,27,19,15
24,めまい 何科,65800,950,2.108,-0.006,26,74,1,7,14,23,25,16,14
25,自律神経失調症 何科,69600,890,1.996,0.055,23,77,2,12,17,22,22,15,10
26,脳動脈瘤,58400,880,2.169,0.008,30,70,1,6,10,20,26,20,17
27,脳外科,16100,870,3.46,0,37,63,3,9,12,19,23,15,19
28,脳神経外科とは,3900,790,4.825,0,28,72,4,7,7,12,23,26,21
29,ctとmriの違い,78700,780,1.759,0.596,36,64,1,6,9,19,24,19,22
30,循環器内科,69600,750,1.835,7.731,31,69,1,7,12,21,24,17,18
31,後頭神経痛,63000,750,1.905,0.008,26,74,2,9,18,26,24,13,8
32,頭を打った後,36800,730,2.448,-0.006,23,77,2,4,11,22,23,21,17
33,くも膜下出血 前兆,71000,720,1.776,-0.006,33,67,3,11,14,20,22,16,14
34,mri検査とは,73400,690,1.737,1.231,54,46,2,4,5,11,19,25,34
35,慢性硬膜下血腫,67200,680,1.779,1.044,31,69,1,12,13,18,22,17,17
36,脳神経外科 大阪,4100,680,4.589,0,27,73,1,5,10,19,27,21,17
37,形成外科,60800,670,1.826,-0.001,31,69,2,6,21,37,11,5,18
38,脳震盪 症状,50100,650,2.019,0,30,70,11,15,15,24,18,9,8
39,頭痛外来,27400,640,2.574,0,22,78,1,9,17,28,27,11,7
40,動脈瘤,64400,620,1.745,0.232,36,64,1,4,8,16,23,20,28
41,リハビリテーション病院,56000,620,1.9,-0.169,33,67,1,3,5,14,26,24,27
42,頭がぼーっとする,54200,570,1.807,-0.026,37,63,5,13,16,19,18,13,16
43,脳神経外科 東京,3400,560,4.584,0,23,77,1,7,10,18,27,20,17
44,脳梗塞 治療,40200,550,2.085,0.114,37,63,1,7,9,18,26,19,20
45,末梢神経障害,44700,540,1.959,0.397,35,65,1,9,10,18,23,19,20
46,手足のしびれ 原因,48200,530,1.864,-0.102,39,61,1,6,9,17,24,20,23
47,神経内科,16900,510,2.85,0.002,34,66,1,7,13,23,25,16,15
48,精神科,46800,500,1.833,0.074,40,60,9,17,14,17,18,15,10
49,物忘れ外来,37100,500,2.085,-0.01,27,73,0,2,4,15,32,21,26
50,脳神経,11600,480,3.172,0,38,62,4,31,11,16,15,11,12
51,頭痛 後頭部,42000,460,1.817,-0.179,29,71,2,8,17,28,25,12,8
52,脳卒中 前兆,32800,460,2.066,-0.008,38,62,3,12,17,23,23,12,10
53,頭痛 何科を受診,20600,460,2.528,-0.001,31,69,2,18,29,28,16,5,2
54,自律神経失調症 薬,41100,410,1.746,0.375,32,68,1,10,16,21,21,18,13
55,頚動脈エコー,36400,390,1.871,0.005,27,73,1,2,4,13,29,27,24
56,椎骨動脈解離,27400,390,2.084,0.249,37,63,1,10,15,24,26,15,9
57,本態性振戦,39600,380,1.738,0.072,35,65,3,11,12,17,22,17,18
58,一過性脳虚血発作,37400,370,1.758,0.008,31,69,1,9,11,18,24,19,18
59,片頭痛,36100,360,1.756,0,34,66,9,15,19,24,17,9,7
60,頭が重い,32100,360,1.88,-1.063,33,67,7,13,14,21,19,12,14
61,後頭部 首の付け根 痛い,30400,360,1.876,-0.017,30,70,1,9,18,28,27,10,7
62,髄膜腫,29700,350,1.923,-0.003,30,70,1,9,11,19,24,19,17
63,脳ドック 費用,29600,350,1.932,-0.001,34,66,0,3,8,21,30,21,17
64,脳梗塞 症状,35300,340,1.727,0.445,30,70,4,18,13,17,20,12,16
65,脳卒中,25000,330,2.032,0.006,44,56,5,14,15,20,20,13,13
66,脳,28100,320,1.901,0.009,39,61,5,11,9,18,20,16,21
67,脳の病気,18800,320,2.321,-0.001,32,68,3,5,6,14,23,21,28
68,神経内科とは 症状,13700,320,2.657,-0.001,24,76,1,4,6,15,25,23,26
69,トリプタノール,30700,310,1.757,12.063,28,72,1,8,14,25,25,15,12
70,整形外科 名医,30400,310,1.857,-0.749,28,72,0,1,3,8,24,28,36
71,外科,23400,310,2.04,0,39,61,3,8,13,20,19,18,19
72,脳神経外科 竹田くん,2900,300,4.069,0,45,55,1,13,24,28,21,9,4
73,ビムパット,25200,280,1.833,-7.964,36,64,1,14,17,25,22,13,8
74,ミグシス,24600,280,1.854,13.924,25,75,1,10,17,29,25,12,6
75,聴神経腫瘍,16500,280,2.296,0.62,32,68,2,9,13,20,24,19,13
76,手の痺れ 何科受診,15100,280,2.352,-0.004,27,73,1,6,15,25,28,14,11
77,mri 造影剤,26000,270,1.813,0.309,25,75,1,6,10,21,24,17,21
78,浮動性めまい,23700,270,1.887,0.93,31,69,2,16,18,20,18,12,14
79,しびれ 原因,20600,270,2.041,-0.349,30,70,1,5,7,17,22,17,31
80,頭打った後の症状,16000,270,2.245,-0.016,20,80,4,12,23,30,19,8,4
81,脳動脈瘤 大きさ 危険度,14900,270,2.402,0.011,31,69,0,2,5,15,28,24,26
82,脳梗塞 前兆 チェック,24900,260,1.855,0.007,40,60,1,2,3,12,24,25,33
83,足に力が入らない,24800,260,1.834,-1.584,28,72,4,8,10,18,24,19,17
