順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,アルポート症候群,13700,780,4.848,-0.008,26,74,1,8,11,17,23,24,16
2,腎嚢胞,46700,700,3.497,0,36,64,1,4,8,19,27,23,18
3,慢性腎臓病,77700,610,2.873,-0.009,37,63,1,7,7,15,24,23,23
4,多発性骨髄腫,89500,590,2.707,0,33,67,1,9,9,16,22,22,21
5,サムスカ,22600,590,4.043,0.072,35,65,1,20,16,23,21,12,7
6,iga腎症,63900,580,2.984,-0.559,32,68,1,12,15,22,24,15,11
7,嚢胞腎,6000,460,5.124,0,38,62,0,6,10,20,25,21,18
8,トリーチャーコリンズ症候群,34900,400,3.217,-0.002,28,72,2,9,15,23,24,18,9
9,トルバプタン,29500,380,3.338,0.853,32,68,1,20,16,22,20,14,7
10,病院ラジオ,58300,340,2.586,0.012,29,71,1,3,6,17,28,25,20
11,sglt2阻害薬,39600,340,2.951,-9.07,46,54,0,12,12,19,22,19,16
12,pubmed,52700,310,2.548,-39.27,68,32,1,18,22,27,17,9,6
13,難病医療費助成制度,52700,300,2.534,20.878,26,74,0,4,8,21,31,20,16
14,原発性アルドステロン症,28700,300,3.133,-0.012,33,67,1,15,12,19,25,17,11
15,腹膜透析,28400,270,3.05,9.94,34,66,1,12,12,20,22,16,17
16,拡張型心筋症,38600,260,2.708,0.008,30,70,2,14,17,19,20,16,12
17,高カルシウム血症,35600,240,2.73,-0.327,29,71,1,12,13,18,22,18,16
18,アミロイドーシス,33700,240,2.776,18.007,37,63,1,9,11,18,23,19,19
19,ckd 腎臓,22500,220,3.095,-0.001,36,64,0,8,11,20,23,19,19
20,クレアチニンクリアランス,22200,220,3.093,-7.726,45,55,1,24,19,19,15,11,11
21,egfr 計算式,21100,220,3.167,-1.646,53,47,0,11,10,14,17,20,28
22,エフィエント,37000,210,2.515,17.052,40,60,0,15,15,21,21,14,14
23,多発性筋炎,29300,210,2.773,0,25,75,2,11,11,18,24,19,15
24,ダーブロック,24500,210,2.905,10.585,36,64,1,13,18,25,23,13,7
25,日本内科学会,12900,210,3.58,3.877,67,33,1,4,14,22,24,20,15
26,シスタチンcとは,17100,200,3.273,0.361,38,62,0,8,9,14,23,23,23
27,内科学会,13200,200,3.448,-13.238,67,33,0,4,18,31,24,15,8
28,褐色細胞腫,27500,190,2.733,7.149,32,68,1,19,12,20,22,16,10
29,シクロスポリン,26400,190,2.734,-11.268,33,67,0,18,15,21,22,14,10
30,透析患者の最期の症状,26200,190,2.808,9.018,28,72,1,1,4,13,27,26,28
31,慢性腎不全,21600,190,2.953,0.101,32,68,2,15,13,19,24,16,11
32,ケレンディア,15700,190,3.3,-4.05,47,53,0,10,17,22,22,16,13
33,ckd ステージ,8900,190,3.885,-17.376,45,55,0,15,16,19,19,15,16
34,尿毒症 症状,28600,180,2.631,2.81,31,69,0,6,10,20,26,20,18
35,ニューモシスチス肺炎,28300,180,2.654,11.538,25,75,1,14,11,18,24,18,14
36,副甲状腺機能亢進症,17200,180,3.134,-6.081,32,68,1,13,10,17,22,20,17
37,糖尿病性腎症,14900,180,3.268,-4.969,35,65,2,20,13,18,20,15,12
38,アミオダロン,30000,170,2.543,11.282,35,65,0,25,18,19,17,11,10
39,日本腎臓学会,5100,170,4.322,-41.284,54,46,1,6,14,20,22,19,18
40,アルドステロン,27800,160,2.569,-5.905,31,69,3,25,10,17,20,14,11
41,指定難病医療費助成制度,25500,160,2.602,13.764,29,71,0,5,12,22,29,19,13
42,原発性胆汁性胆管炎,22900,160,2.737,5.114,29,71,1,6,10,16,28,23,16
43,ファブリー病,20100,160,2.9,-2.12,33,67,1,9,16,20,21,20,13
44,腎生検,19500,160,2.864,0.062,30,70,2,15,14,24,21,14,10
45,抗リン脂質抗体症候群,17800,160,2.98,-5.405,30,70,0,14,23,22,18,14,9
46,フォゼベル,9400,160,3.642,-13.797,41,59,1,12,20,24,22,13,8
47,pci 医療用語,27100,150,2.526,24.928,30,70,1,25,16,21,19,11,7
48,fib4 indexとは,24200,150,2.686,-2.466,42,58,0,5,7,13,21,26,28
49,エリスロポエチン,21200,150,2.788,-20.546,32,68,4,31,12,16,17,11,9
50,バソプレシン,19600,150,2.876,0.001,34,66,16,36,12,15,11,6,4
51,透析患者,15300,150,3.077,1.088,39,61,0,6,6,14,25,25,24
52,腎性貧血,15200,150,3.093,2.846,30,70,0,17,14,21,22,15,11
53,低カルシウム血症,15100,150,3.071,20.525,31,69,1,18,17,19,20,14,11
54,溶血性貧血,23800,140,2.543,19.628,29,71,2,18,13,22,21,13,11
55,qt延長,23400,140,2.543,0.179,36,64,1,18,19,25,18,11,8
56,gcs 意識レベル,21400,140,2.672,-2,44,56,1,31,24,22,14,6,2
57,代謝性アシドーシス,20600,140,2.711,4.598,27,73,2,34,18,19,15,8,4
58,ツイミーグ,20500,140,2.666,16.893,41,59,0,13,18,25,21,13,10
59,肥大型心筋症,16700,140,2.903,0.017,37,63,2,16,14,20,21,15,12
60,ナットクラッカー症候群,13000,140,3.176,13.351,34,66,2,13,17,25,22,13,8
61,顕微鏡的多発血管炎,11300,140,3.311,1.146,35,65,1,10,10,18,23,19,19
62,慢性腎臓病 ステージ,11000,140,3.385,0.007,38,62,1,8,9,14,23,22,23
63,腎臓 嚢胞,7800,140,3.675,-0.002,34,66,1,2,7,23,31,21,15
64,高カリウム血症 症状,21800,130,2.588,36.123,28,72,1,14,10,17,23,20,15
65,洞不全症候群,21300,130,2.608,8.83,33,67,1,19,17,18,19,13,13
66,家族性高コレステロール血症,20700,130,2.622,7.15,29,71,1,12,14,20,25,18,10
67,ipmn 膵臓,20200,130,2.634,2.328,36,64,0,10,13,19,22,19,17
68,メトロニダゾール,19400,130,2.664,-11.17,34,66,1,16,18,23,20,13,9
69,ブルガダ症候群,19300,130,2.64,4.132,44,56,1,16,19,24,20,12,8
70,腎臓内科,17600,130,2.773,0.011,31,69,0,5,9,19,29,20,18
71,スティーブンジョンソン症候群,16700,130,2.872,-0.083,22,78,1,15,14,23,22,16,9
72,ビスホスホネート製剤,16600,130,2.892,19.566,29,71,0,21,12,14,16,17,20
73,ipmn,15700,130,2.886,-8.759,37,63,1,12,15,20,23,17,12
74,anca関連血管炎,13700,130,3.039,15.17,30,70,1,15,15,21,22,14,12
75,結節性硬化症,13300,130,3.048,0.01,34,66,1,12,15,22,21,16,13
76,glp-1受容体作動薬 一覧,12900,130,3.076,-8.049,53,47,0,4,7,15,26,27,21
77,透析を止めた日,10900,130,3.317,17.551,30,70,0,1,4,14,26,28,27
78,内科学会 2025,8500,130,3.51,84.537,65,35,0,3,10,30,28,20,9
79,セファゾリン,20000,120,2.615,19.646,38,62,1,30,18,18,15,10,8
80,コートリル,19600,120,2.583,-25.054,30,70,0,16,15,22,22,14,11
81,ジルチアゼム,19400,120,2.633,5.726,37,63,0,20,17,22,16,12,13
82,タゾピペ,19400,120,2.597,-17.903,34,66,0,27,16,20,19,11,7
83,リフィーディング症候群,19200,120,2.591,0.52,34,66,1,30,24,22,14,6,3
84,乳酸アシドーシス,18400,120,2.677,40.296,35,65,1,19,14,19,20,15,12
85,ミネブロ,17200,120,2.741,26.281,41,59,0,10,17,23,23,15,12
86,糖尿病性ケトアシドーシス,14500,120,2.858,-1.232,36,64,1,23,17,21,20,12,6
87,igg4関連疾患,10800,120,3.224,28.832,45,55,0,9,11,16,23,20,21
88,robinow症候群,6400,120,3.817,224.991,22,78,0,2,4,7,22,37,28
89,腎移植,6400,120,3.71,4.457,37,63,1,9,12,22,25,18,13
90,日本透析医学会,5500,120,3.856,-55.362,64,36,1,8,18,26,22,16,9
91,ゾコーバ 併用禁忌,18900,110,2.6,-43.765,41,59,1,4,8,18,26,25,18
92,アジルバ,18900,110,2.532,-0.69,41,59,0,13,14,18,21,18,16
93,特発性血小板減少性紫斑病,18700,110,2.588,6.901,27,73,2,15,14,21,21,16,11
94,フルイトラン,17000,110,2.635,0.003,32,68,0,15,16,21,22,14,12
95,ベクルリー,16400,110,2.709,-0.257,39,61,0,18,17,22,20,15,8
96,抗血小板薬,15900,110,2.783,5.68,37,63,1,23,13,17,16,15,15
97,gi療法,15500,110,2.764,7.652,26,74,0,33,26,23,12,4,2
98,rs3pe症候群,14400,110,2.797,25.545,39,61,1,10,15,19,22,18,15
99,高ナトリウム血症,14200,110,2.832,-10.487,34,66,1,24,20,22,17,10,6
100,透析 シャント,14200,110,2.811,0.826,27,73,1,11,10,18,26,19,15
101,arb 薬,13300,110,2.945,8.43,40,60,0,22,14,17,17,14,16
102,キャッスルマン病,13200,110,2.942,-26.968,40,60,0,12,18,22,22,15,11
103,プロカルシトニン,13000,110,2.905,24.217,40,60,1,22,20,21,18,12,6
