順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,腎臓病の症状,284000,6300,2.786,-0.744,40,60,0,2,5,13,23,24,33
2,腎臓に良い食べ物,265000,5300,2.688,-0.083,36,64,0,2,6,15,24,24,29
3,egfr,150000,4000,2.953,-0.005,37,63,0,6,8,16,25,23,22
4,クレアチニンとは,254000,3900,2.435,-0.06,42,58,1,5,6,13,21,23,31
5,慢性腎臓病 ステージ,11000,3300,5.403,0,38,62,1,8,9,14,23,22,23
6,egfr 基準値 年齢別,99900,3100,3.145,-0.006,42,58,0,5,5,10,19,27,34
7,クレアチニン 高い 女性,163000,2800,2.521,-1.007,6,94,1,4,8,20,30,20,17
8,腎臓 数値,103000,2800,2.996,-0.884,39,61,0,1,5,13,22,24,35
9,クレアチニン 基準値,89400,2700,3.116,-0.006,45,55,1,8,6,12,20,22,31
10,ネフローゼ症候群,132000,2500,2.575,-0.003,32,68,1,13,14,21,22,15,14
11,腎臓に悪い食べ物,93600,2400,2.947,0.321,35,65,0,2,4,11,23,25,35
12,慢性腎不全,21600,2200,4.271,0,32,68,2,15,13,19,24,16,11
13,フォシーガ,105000,2000,2.598,0.043,34,66,0,9,14,23,25,16,13
14,iga腎症,63900,2000,3.07,0.034,32,68,1,12,15,22,24,15,11
15,腎不全,69700,1900,2.956,-0.011,39,61,1,9,12,20,25,18,15
16,尿蛋白,98900,1700,2.498,0.003,39,61,1,10,14,18,20,16,21
17,クレアチニン,87600,1600,2.546,-0.007,38,62,0,7,10,18,24,19,22
18,腎臓病 食事,29900,1600,3.731,0.004,28,72,0,3,4,11,23,27,32
19,人工透析とは,91900,1500,2.436,0,50,50,2,7,11,18,22,18,22
20,エンレスト,88800,1500,2.486,0.002,37,63,0,12,15,23,24,14,12
21,透析患者の寿命,64800,1500,2.836,0.138,36,64,1,4,7,16,25,23,24
22,慢性心不全,36600,1500,3.347,0,30,70,1,12,9,16,24,21,17
23,尿素窒素とは,87400,1400,2.463,0.606,34,66,1,5,7,14,21,21,31
24,ジャディアンス,74600,1400,2.58,1.424,39,61,0,10,13,22,25,16,14
25,ckd,44400,1400,3.046,0,52,48,1,13,13,21,24,16,12
26,腎臓癌 初期症状,62800,1200,2.663,-0.001,32,68,1,3,7,16,25,22,26
27,ckd 腎臓,22500,1200,3.676,0.002,36,64,0,8,11,20,23,19,19
28,ビソプロロールフマル酸塩,78000,1100,2.313,0.012,32,68,0,11,11,19,23,18,18
29,egfrとは,64200,1100,2.583,-0.01,43,57,1,6,6,9,19,24,35
30,腎不全 症状,45500,1100,2.853,0.019,32,68,1,8,11,18,26,20,16
31,sglt2阻害薬,39600,1100,2.94,0.472,46,54,0,12,12,19,22,19,16
32,腎機能低下,37400,1100,2.992,-0.002,26,74,1,8,10,21,27,16,17
33,クロピドグレル,66900,1000,2.372,-0.102,33,67,0,16,14,20,22,15,13
34,フロセミド,62300,1000,2.433,0.909,29,71,1,19,13,19,22,15,11
35,低カリウム血症,57900,1000,2.529,3.726,29,71,1,17,15,21,22,15,9
36,腎生検,19500,1000,3.614,-0.002,30,70,2,15,14,24,21,14,10
37,クッシング症候群,70700,980,2.278,-3.902,25,75,2,21,14,20,23,13,7
38,高カリウム血症,43500,980,2.772,2.077,35,65,1,19,15,19,19,14,13
39,腎機能低下 改善,35700,980,2.972,-0.234,39,61,0,2,6,15,28,28,21
40,gfr 基準値 年齢 平均値,29000,980,3.26,0.003,40,60,0,2,4,9,19,27,39
41,慢性硬膜下血腫,66400,970,2.347,0,32,68,1,12,13,18,23,17,16
42,egfr 計算式,21100,970,3.517,0.036,53,47,0,11,10,14,17,20,28
43,蛋白尿,32100,960,3.048,-0.012,35,65,3,11,14,20,21,15,16
