順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,腎臓病の症状,284000,4500,2.52,-0.001,40,60,0,2,5,13,23,24,33
2,心不全,264000,3900,2.439,0,34,66,2,7,10,18,24,19,20
3,腎不全 症状,45500,3300,4.025,0,32,68,1,8,11,18,26,20,16
4,腎臓に良い食べ物,265000,2800,2.123,0.296,36,64,0,2,6,15,24,24,29
5,腎盂腎炎,229000,2800,2.22,0,26,74,1,10,15,23,25,15,11
6,透析とは,140000,2100,2.457,-0.001,40,60,4,13,13,17,20,16,17
7,慢性腎臓病,77700,1900,2.956,0.011,37,63,1,7,7,15,24,23,23
8,ネフローゼ症候群,132000,1800,2.35,0.002,32,68,1,13,14,21,22,15,14
9,人工透析とは,91900,1700,2.672,-0.001,50,50,2,7,11,18,22,18,22
10,egfr,150000,1600,2.086,1.116,37,63,0,6,8,16,25,23,22
11,腎臓,132000,1600,2.246,0.001,45,55,3,8,11,19,22,17,20
12,腎臓 数値,103000,1500,2.472,-0.001,39,61,0,1,5,13,22,24,35
13,透析患者の寿命,64800,1400,2.819,1.132,36,64,1,4,7,16,25,23,24
14,腎不全 末期,9400,1400,4.773,0.005,23,77,1,4,7,18,32,24,14
15,クレアチニン 基準値,89400,1200,2.401,0.76,45,55,1,8,6,12,20,22,31
16,腎不全 原因,10500,1200,4.421,0.001,41,59,2,10,14,20,25,15,14
17,腎臓に悪い食べ物,93600,1000,2.178,19.623,35,65,0,2,4,11,23,25,35
18,腎不全 ステージ分類,6000,1000,4.869,0.001,35,65,1,7,10,18,25,21,18
19,腎不全 食事,5100,1000,5.042,0.002,27,73,1,8,9,17,29,19,17
20,急性腎不全,22800,970,3.452,0.002,35,65,1,13,16,22,24,14,10
21,尿毒症 症状,28600,960,3.237,0.94,31,69,0,6,10,20,26,20,18
22,慢性腎不全,21600,960,3.511,0.921,32,68,2,15,13,19,24,16,11
23,クレアチニン,87600,900,2.075,0.008,38,62,0,7,10,18,24,19,22
24,透析,38300,850,2.826,0.001,40,60,4,13,16,20,20,13,14
25,水腎症,58700,840,2.38,1.413,28,72,1,12,18,21,21,16,11
26,肝硬変,65800,820,2.233,-0.001,44,56,1,14,16,21,22,14,12
27,高カリウム血症,43500,820,2.675,0.059,35,65,1,19,15,19,19,14,13
28,低カリウム血症,57900,800,2.344,4.037,29,71,1,17,15,21,22,15,9
29,フロセミド,62300,790,2.268,10.189,29,71,1,19,13,19,22,15,11
30,腎臓癌 初期症状,62800,780,2.271,0.735,32,68,1,3,7,16,25,22,26
31,急性心不全,70100,770,2.108,-0.001,34,66,2,9,13,22,27,14,13
32,腎臓がん,59400,770,2.309,0.003,39,61,1,4,7,16,23,23,26
33,iga腎症,63900,760,2.19,3.971,32,68,1,12,15,22,24,15,11
34,腎機能低下,37400,760,2.734,0.001,26,74,1,8,10,21,27,16,17
35,心不全とは,73800,750,2.075,0.001,36,64,2,10,9,14,23,20,22
36,透析患者の最期の症状,26200,750,3.119,2.869,28,72,1,1,4,13,27,26,28
37,腹膜透析,28400,720,2.969,2.42,34,66,1,12,12,20,22,16,17
38,クロピドグレル,66900,700,2.078,8.399,33,67,0,16,14,20,22,15,13
39,腎臓病 食事,29900,700,2.957,3.124,28,72,0,3,4,11,23,27,32
40,慢性心不全,36600,690,2.679,0,30,70,1,12,9,16,24,21,17
41,尿路感染,60200,670,2.132,4.248,27,73,1,10,14,19,24,19,13
42,低ナトリウム血症,52700,670,2.274,1.627,33,67,1,19,17,21,20,13,9
43,カルベジロール,57700,640,2.14,18.629,36,64,0,15,13,20,22,16,14
44,尿毒症,19000,640,3.273,0.006,35,65,3,28,18,15,15,11,10
45,腎盂炎,56600,630,2.144,0,28,72,1,6,13,21,25,18,16
46,高血糖症状,46700,610,2.288,13.466,27,73,1,20,15,20,21,13,10
47,胸水,44000,610,2.359,1.143,34,66,1,14,14,19,22,17,13
48,深部静脈血栓症,41100,580,2.374,0.004,27,73,2,23,13,18,20,14,10
49,心不全 前兆,50600,570,2.157,3.264,28,72,2,6,10,20,26,18,18
50,経管栄養,48100,570,2.185,0.767,23,77,2,15,13,21,24,16,9
51,エリキュース,51700,560,2.116,4.792,37,63,0,14,14,21,22,15,14
52,肝性脳症,43400,560,2.279,14.689,31,69,1,18,16,21,22,13,9
53,腎臓病,21200,550,3.025,0.008,40,60,2,6,10,15,21,17,29
54,肺水腫,46500,530,2.152,5.639,36,64,2,15,14,19,22,15,13
55,肝不全とは,19000,530,3.043,0,37,63,1,7,13,23,25,18,13
56,アゾセミド,40400,520,2.273,1.349,30,70,1,15,14,22,23,14,11
57,腎臓がん 初期症状,33800,500,2.45,-0.001,32,68,1,3,8,17,25,20,26
58,腹水,45400,490,2.086,0.852,43,57,2,13,19,23,20,12,11
59,シャントとは,35000,490,2.368,9.996,36,64,1,14,10,16,23,19,17
60,腎生検,19500,490,2.952,0.159,30,70,2,15,14,24,21,14,10
61,メマンチン,44700,480,2.077,6.753,29,71,0,10,13,23,26,18,10
62,蛋白尿,32100,480,2.428,0.227,35,65,3,11,14,20,21,15,16
63,ckd,44400,470,2.072,0.516,52,48,1,13,13,21,24,16,12
64,co2ナルコーシス,29700,460,2.458,1.757,30,70,1,32,18,21,16,8,4
65,bun 高値,30700,450,2.446,0.002,30,70,1,14,8,13,20,21,23
66,人工透析 寿命,21600,440,2.739,0.006,45,55,0,4,9,18,27,22,20
67,透析 食事,20000,440,2.849,4.649,26,74,1,4,6,15,27,22,25
68,腎臓 痛み,29300,430,2.384,0.228,40,60,1,6,12,24,27,16,14
69,人工透析,18100,430,2.891,0.001,51,49,2,9,15,20,22,15,17
70,高カルシウム血症,35600,420,2.201,17.965,29,71,1,12,13,18,22,18,16
71,利尿剤,32400,420,2.324,3.29,39,61,2,7,10,16,22,21,22
72,透析患者,15300,420,3.052,7.052,39,61,0,6,6,14,25,25,24
73,閉塞性動脈硬化症,36300,410,2.168,7.245,33,67,2,12,10,16,22,19,19
74,腎機能低下 改善,35700,400,2.163,0.054,39,61,0,2,6,15,28,28,21
75,チェーンストークス呼吸,35700,400,2.121,19.973,28,72,2,24,19,22,20,9,4
76,dic 医療,33800,400,2.206,3.919,28,72,1,26,19,20,18,10,6
77,代謝性アシドーシス,20600,400,2.694,0.002,27,73,2,34,18,19,15,8,4
78,尿が出ない,20100,400,2.753,-0.001,33,67,1,3,5,13,23,24,31
79,腎性貧血,15200,400,2.992,0.001,30,70,0,17,14,21,22,15,11
80,透析 シャント,14200,400,3.087,4.033,27,73,1,11,10,18,26,19,15
