順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,エンレスト,88800,1000,3.671,-4.967,37,63,0,12,15,23,24,14,12
2,フォシーガ,105000,770,3.237,-1.312,34,66,0,9,14,23,25,16,13
3,ダーブロック,24500,740,4.635,0,36,64,1,13,18,25,23,13,7
4,クロピドグレル,66900,670,3.56,-0.963,33,67,0,16,14,20,22,15,13
5,ビソプロロールフマル酸塩,78000,640,3.367,-1.016,32,68,0,11,11,19,23,18,18
6,低カリウム血症,57900,640,3.654,-13.779,29,71,1,17,15,21,22,15,9
7,フロセミド,62300,630,3.577,-3.543,29,71,1,19,13,19,22,15,11
8,エリスロポエチン,21200,620,4.636,0.001,32,68,4,31,12,16,17,11,9
9,慢性腎臓病,77700,610,3.338,-0.541,37,63,1,7,7,15,24,23,23
10,スピロノラクトン,66800,610,3.455,-0.035,26,74,0,18,15,22,23,12,10
11,低ナトリウム血症,52700,610,3.697,-6.702,33,67,1,19,17,21,20,13,9
12,ジャディアンス,74600,600,3.323,0.102,39,61,0,10,13,22,25,16,14
13,高カリウム血症,43500,590,3.866,2.101,35,65,1,19,15,19,19,14,13
14,リクシアナ,60400,560,3.49,2.617,39,61,0,13,12,19,21,17,18
15,エリキュース,51700,560,3.635,-0.001,37,63,0,14,14,21,22,15,14
16,カルベジロール,57700,550,3.508,-0.273,36,64,0,15,13,20,22,16,14
17,鉄欠乏性貧血,52200,540,3.559,-0.001,20,80,3,16,18,31,19,7,6
18,アゾセミド,40400,520,3.802,-0.74,30,70,1,15,14,22,23,14,11
19,ドネペジル,60400,510,3.376,-8.761,28,72,1,10,11,20,28,18,12
20,アミティーザカプセル,60800,500,3.378,-7.132,27,73,0,9,10,19,23,18,21
21,jcs 意識レベル,50300,490,3.528,-18.276,35,65,1,29,23,22,16,6,3
22,再生不良性貧血,48300,490,3.569,-0.002,26,74,2,15,14,22,20,14,13
23,シロスタゾール,43900,480,3.65,9.242,33,67,1,16,14,20,22,15,12
24,dダイマーとは,55000,460,3.385,-16.732,26,74,1,16,12,19,22,16,14
25,アルファカルシドール,51300,440,3.428,0.025,25,75,0,14,13,18,21,17,17
26,トルバプタン,29500,440,3.941,-0.248,32,68,1,20,16,22,20,14,7
27,メマンチン,44700,410,3.46,-7.398,29,71,0,10,13,23,26,18,10
28,イグザレルト,42100,410,3.537,-3.567,39,61,0,13,14,21,21,16,15
29,溶血性貧血,23800,410,4.084,-0.001,29,71,2,18,13,22,21,13,11
30,ウェルニッケ脳症,40800,400,3.515,13.148,35,65,1,21,17,21,20,13,7
31,エフィエント,37000,400,3.627,1.606,40,60,0,15,15,21,21,14,14
32,クレアチニンクリアランス,22200,400,4.152,-11.215,45,55,1,24,19,19,15,11,11
33,エルデカルシトール,58000,390,3.23,12.529,24,76,0,9,9,15,21,20,26
34,co2ナルコーシス,29700,390,3.815,-2.194,30,70,1,32,18,21,16,8,4
35,レベチラセタム,46700,380,3.328,8.915,32,68,1,15,16,24,23,13,8
36,ckd,44400,380,3.378,-0.008,52,48,1,13,13,21,24,16,12
37,sglt2阻害薬,39600,380,3.516,4.906,46,54,0,12,12,19,22,19,16
38,トルリシティ,26900,380,3.88,-8.088,33,67,0,12,16,24,25,14,9
39,bsc 医療,34300,370,3.625,-11.513,26,74,0,20,16,23,23,12,6
40,高血糖症状,46700,360,3.298,0.215,27,73,1,20,15,20,21,13,10
41,長谷川式簡易知能評価スケール,43800,360,3.35,-10.451,26,74,1,16,13,22,26,12,10
42,日常生活自立度,43600,360,3.33,-31.437,35,65,1,20,20,25,20,9,5
43,深部静脈血栓症,41100,360,3.433,-12.532,27,73,2,23,13,18,20,14,10
44,メインテート,39600,360,3.473,-13.951,34,66,0,11,12,20,23,17,17
45,ビソノテープ,28800,360,3.767,-11.841,29,71,0,19,16,21,21,14,9
46,jcs,48100,340,3.219,-7.364,40,60,2,32,23,19,14,6,4
47,プラリア皮下注,32900,340,3.612,1.035,23,77,0,5,10,19,23,19,24
48,グーフィス錠,46200,330,3.25,2.259,30,70,1,9,10,18,23,18,21
49,肝性脳症,43400,330,3.267,-0.84,31,69,1,18,16,21,22,13,9
50,メトグルコ,41800,330,3.31,-9.746,37,63,1,11,12,19,24,18,15
51,ジャヌビア,36300,330,3.452,-5.486,38,62,0,14,13,19,23,16,15
52,高カルシウム血症,35600,330,3.506,-0.01,29,71,1,12,13,18,22,18,16
53,ワソラン,31600,330,3.632,4.374,34,66,0,17,14,18,19,15,17
54,アミオダロン,30000,330,3.652,0.901,35,65,0,25,18,19,17,11,10
55,リンゼス錠,46500,320,3.202,-3.442,31,69,1,7,9,16,23,20,24
56,アミティーザ,39000,320,3.391,5.951,39,61,0,9,11,17,22,19,22
57,タムスロシン,39000,320,3.383,-13.987,51,49,0,12,12,18,15,17,26
58,dic 医療,33800,320,3.504,-2.36,28,72,1,26,19,20,18,10,6
59,ベタニス,32100,320,3.576,-3.502,38,62,0,11,13,21,19,14,22
60,トラゼンタ,31500,320,3.582,8.411,35,65,0,18,17,25,17,11,12
61,類天疱瘡,34000,310,3.438,-15.444,26,74,0,8,14,22,25,19,12
62,bun 高値,30700,310,3.594,-2.543,30,70,1,14,8,13,20,21,23
63,エブランチルカプセル,28700,310,3.629,0.006,26,74,0,11,14,21,23,17,14
64,テネリア,28400,310,3.621,-4.482,37,63,0,13,15,22,23,14,13
65,セフトリアキソン,28000,310,3.647,-24.387,39,61,0,23,18,22,19,11,7
66,ロナセンテープ,28000,310,3.637,-6.305,27,73,0,12,16,26,25,15,6
67,pci 医療用語,27100,310,3.705,1.993,30,70,1,25,16,21,19,11,7
68,サムスカ,22600,310,3.864,-0.107,35,65,1,20,16,23,21,12,7
69,慢性心不全,36600,300,3.361,-5.946,30,70,1,12,9,16,24,21,17
70,ダンピング症候群,40800,290,3.201,-0.001,23,77,1,21,14,20,21,14,9
71,エンレスト200mg,38700,290,3.293,-0.929,42,58,0,4,6,13,22,27,28
72,腎機能低下,37400,290,3.301,0.254,26,74,1,8,10,21,27,16,17
73,チェーンストークス呼吸,35700,290,3.326,5.431,28,72,2,24,19,22,20,9,4
74,ネーザルハイフロー,28900,290,3.545,0.393,24,76,0,30,22,23,16,6,3
75,イノラス,27300,290,3.596,-0.931,28,72,1,9,15,23,24,17,11
76,アドヒアランスとは,26300,290,3.66,-3.983,29,71,2,23,12,21,21,13,8
77,スルバシリン,22400,290,3.807,-11.914,38,62,0,24,18,20,18,12,8
78,慢性腎不全,21600,290,3.844,0.176,32,68,2,15,13,19,24,16,11
