順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,腎臓病の症状,284000,1900,2.45,-0.005,40,60,0,2,5,13,23,24,33
2,尿蛋白,98900,1800,3.436,-0.081,39,61,1,10,14,18,20,16,21
3,腎臓に良い食べ物,265000,1400,2.237,0.003,36,64,0,2,6,15,24,24,29
4,ネフローゼ症候群,132000,1300,2.824,0.001,32,68,1,13,14,21,22,15,14
5,クレアチニンとは,254000,1200,2.097,-0.003,42,58,1,5,6,13,21,23,31
6,egfr,150000,1000,2.448,-0.003,37,63,0,6,8,16,25,23,22
7,慢性腎臓病,77700,960,3.048,0.012,37,63,1,7,7,15,24,23,23
8,蛋白尿 原因,6300,810,5.385,0,30,70,3,13,13,17,23,14,17
9,クレアチニン 基準値,89400,760,2.702,0.002,45,55,1,8,6,12,20,22,31
10,尿検査 蛋白,60700,760,3.042,-0.059,36,64,8,15,16,25,18,8,10
11,iga腎症,63900,720,2.925,0.003,32,68,1,12,15,22,24,15,11
12,egfr 基準値 年齢別,99900,710,2.542,-0.019,42,58,0,5,5,10,19,27,34
13,腎臓 数値,103000,690,2.457,-0.006,39,61,0,1,5,13,22,24,35
14,尿蛋白 プラス,47700,620,3.071,-0.136,26,74,1,13,20,22,21,12,11
15,腎臓,132000,610,2.047,0.02,45,55,3,8,11,19,22,17,20
16,タンパク尿 女性 原因,10900,570,4.476,0,10,90,1,8,13,20,28,16,14
17,腎生検,19500,550,3.848,0.02,30,70,2,15,14,24,21,14,10
18,尿検査,62300,540,2.708,0.004,38,62,6,7,9,18,21,17,22
19,たんぱく 尿検査,14100,540,4.195,-0.001,33,67,2,3,6,15,23,21,30
20,腎臓に悪い食べ物,93600,520,2.3,4.755,35,65,0,2,4,11,23,25,35
21,フォシーガ,105000,490,2.054,9.706,34,66,0,9,14,23,25,16,13
22,尿素窒素とは,87400,480,2.254,1.664,34,66,1,5,7,14,21,21,31
