順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,膀胱炎,434000,16100,2.272,0.01,23,77,2,8,11,20,24,17,18
2,血尿 原因 女性,81500,12100,3.645,0,13,87,2,9,11,21,30,16,11
3,血尿 原因,67200,10500,3.69,0,48,52,2,8,10,19,24,19,18
4,膀胱癌,170000,10200,2.774,0.962,39,61,1,3,6,14,22,23,31
5,尿管結石,269000,8300,2.045,1.036,46,54,2,10,16,23,25,14,10
6,腎臓病の症状,284000,7100,1.904,0.292,40,60,0,2,5,13,23,24,33
7,泌尿器科,175000,6300,2.241,0.013,45,55,2,9,12,20,22,16,19
8,腎盂腎炎,229000,6200,1.937,0.294,26,74,1,10,15,23,25,15,11
9,血便,219000,5700,1.882,0,40,60,4,14,18,23,21,11,9
10,膀胱炎 症状,198000,5700,2.039,0.072,20,80,4,15,13,17,21,16,14
11,血尿 原因 男性,26900,5400,3.924,-0.001,53,47,1,5,9,21,25,18,21
12,前立腺がん 症状,234000,5200,1.766,5.697,60,40,1,3,6,13,21,24,32
13,膀胱癌 初期症状,77100,4700,2.793,1.296,38,62,1,3,6,14,25,24,27
14,膀胱炎 血尿,51200,4200,3.058,0.045,14,86,2,16,16,21,23,13,9
15,尿路結石,138000,4000,2.014,0.916,42,58,4,15,17,19,20,14,11
16,血尿が出る病気,23900,3800,3.748,0.012,45,55,0,2,3,12,28,29,26
17,膀胱炎 市販薬,113000,3100,1.968,0.009,14,86,2,12,13,21,24,16,12
18,血尿 痛みなし,8600,2700,4.37,0.02,40,60,2,8,12,21,26,17,14
19,腎臓結石,72600,2600,2.253,2.619,42,58,1,2,6,14,26,26,25
20,腎臓癌 初期症状,62800,2600,2.394,2.891,32,68,1,3,7,16,25,22,26
21,血尿 スケール,20700,2500,3.438,0,22,78,1,25,21,22,15,8,8
22,膀胱炎 原因 女性,81700,2300,2.017,0.088,19,81,3,16,14,19,25,12,11
23,腎臓がん,59400,2300,2.313,2.022,39,61,1,4,7,16,23,23,26
24,血尿 原因 高齢者,13800,2300,3.833,0.003,34,66,0,2,3,9,20,27,39
25,尿蛋白,98900,2100,1.726,0.803,39,61,1,10,14,18,20,16,21
26,血尿 ストレス,6800,2100,4.327,0.004,35,65,2,14,19,26,22,10,7
27,血尿 何科を受診,6500,2100,4.423,0.006,29,71,1,7,13,26,32,14,7
28,膀胱炎 自然治癒,57300,1900,2.143,0.043,11,89,2,14,17,22,22,13,10
29,尿検査 潜血,46900,1900,2.358,0.004,19,81,2,5,12,23,27,18,13
30,尿管結石 石が出る前兆,43300,1900,2.398,2.432,49,51,1,7,14,23,29,16,10
31,尿検査,62300,1800,2.02,2.351,38,62,6,7,9,18,21,17,22
32,尿路感染,60200,1800,2.043,0.078,27,73,1,10,14,19,24,19,13
33,尿潜血,44100,1800,2.325,0.003,33,67,1,7,13,22,25,17,15
34,尿道炎 症状,49000,1700,2.211,1.178,53,47,2,9,13,19,21,18,18
35,泌尿器科 現在地周辺,45500,1700,2.294,0.059,44,56,1,4,6,15,24,24,26
36,潜血とは,47100,1600,2.14,0.061,30,70,2,8,14,20,23,17,16
37,尿の色,34900,1600,2.48,0.001,31,69,2,9,10,15,21,18,25
38,欠尿 原因,3600,1600,4.754,0,39,61,0,4,7,20,27,19,23
39,水腎症,58700,1500,1.863,7.574,28,72,1,12,18,21,21,16,11
40,膀胱炎 治し方,52100,1500,2.061,0.234,15,85,5,19,13,18,21,13,11
41,膀胱炎 何科,47500,1400,1.994,0.003,9,91,1,15,17,24,25,11,7
42,尿の色が濃い,37000,1400,2.334,0.002,29,71,2,6,9,15,23,20,25
43,腎臓がん 初期症状,33800,1400,2.364,0.139,32,68,1,3,8,17,25,20,26
44,膀胱癌 生存率,22600,1400,2.782,6.07,42,58,1,4,6,15,22,24,28
45,血尿 色,5600,1400,4.12,0.002,45,55,2,11,22,23,21,11,10
46,前律線がん 症状,54000,1300,1.841,-29.071,62,38,1,3,6,13,22,24,31
47,腎盂炎 症状 女性,48600,1300,1.955,3.779,15,85,1,3,7,18,29,23,19
48,残尿感 女性,45400,1300,2.025,-0.004,2,98,4,16,15,21,24,12,8
49,バルーンカテーテル,47800,1100,1.751,-2.624,27,73,2,10,9,20,28,20,11
50,尿管結石 痛み 場所,36700,1100,2,0.877,50,50,2,7,15,22,27,17,10
51,尿に血が混じる,15900,1100,2.924,-0.009,32,68,1,5,5,13,24,24,28
52,腎不全 症状,45500,1000,1.783,6.144,32,68,1,8,11,18,26,20,16
53,猪苓湯,42800,1000,1.839,7.238,25,75,0,5,9,18,23,23,22
54,結石,27900,1000,2.212,2.678,58,42,2,8,15,23,25,16,11
55,膀胱炎治し方,29900,970,2.181,0.348,12,88,3,6,6,15,26,22,22
56,ボーコレン,39600,950,1.83,0.213,21,79,2,12,15,21,24,15,11
57,腎炎 症状,21600,950,2.4,0.347,32,68,1,6,15,25,25,15,13
58,膀胱鏡検査,9900,940,3.244,7.477,35,65,1,8,8,14,21,22,26
59,膀胱炎 繰り返す,24900,930,2.303,7.899,8,92,1,9,9,16,27,23,15
60,血尿 血の塊が出る,2800,930,4.447,0.104,57,43,1,5,9,13,28,24,20
61,蛋白尿,32100,920,1.997,0.521,35,65,3,11,14,20,21,15,16
62,尿路感染症 高齢者,38500,910,1.839,1.872,26,74,0,3,5,12,27,30,23
63,おシッコする時痛い,28400,910,2.107,-0.051,38,62,6,14,14,21,23,12,10
64,膀胱がん,16300,890,2.669,1.86,44,56,2,6,9,16,23,18,26
65,腎結石,25000,870,2.159,7.166,40,60,1,6,13,25,29,17,9
66,にょう 泡立ち 原因 女性,39800,860,1.753,29.489,3,97,1,5,8,14,30,21,21
67,前立腺炎 症状,28400,860,2.046,4.885,67,33,1,7,12,18,20,20,22
68,前律線肥大 症状,33500,850,1.902,-30.82,64,36,1,4,5,12,20,24,34
69,腎臓 痛み,29300,850,1.988,0.679,40,60,1,6,12,24,27,16,14
70,結石 原因,28100,850,2.02,2.93,29,71,1,7,13,24,28,16,11
71,膀胱炎 薬,31200,840,1.955,0.093,16,84,1,13,15,20,23,15,13
72,膀胱癌 原因,16300,840,2.602,2.71,39,61,2,6,8,16,23,21,24
73,腎機能低下,37400,830,1.741,7.002,26,74,1,8,10,21,27,16,17
74,血尿 男性,3200,830,4.17,0,24,76,2,13,26,29,19,7,4
75,血尿 膀胱炎,3700,820,4.048,0.001,13,87,3,21,23,21,21,6,5
76,腎盂腎炎 症状,31200,780,1.875,0.889,21,79,1,14,15,18,25,16,11
77,おしっ子が出ない 危険度,27200,780,2.012,0.054,30,70,0,2,5,16,29,25,23
78,おシッコの色,22300,770,2.175,-0.012,33,67,3,7,12,19,27,18,14
79,出血性膀胱炎,8600,770,3.151,0.55,23,77,1,15,14,20,22,16,12
80,閉経後の出血,30400,760,1.834,0.042,10,90,0,2,2,5,69,18,4
81,尿道炎,23000,760,2.136,0.403,57,43,3,12,16,19,19,15,16
82,尿路感染症,31100,740,1.815,0.896,34,66,1,13,14,17,23,18,14
