順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,透析とは,140000,260,3.732,-0.005,40,60,4,13,13,17,20,16,17
2,糖尿病,712000,150,1.569,-0.119,43,57,2,5,8,17,26,21,21
3,透析患者の寿命,64800,150,3.995,-0.009,36,64,1,4,7,16,25,23,24
4,透析,38300,110,4.159,-0.001,40,60,4,13,16,20,20,13,14
5,脳梗塞,358000,90,1.717,-15.436,41,59,2,7,7,14,24,22,24
6,狭心症,356000,90,1.75,-14.993,38,62,2,8,11,18,24,18,19
7,腎不全,69700,90,3.342,-0.762,39,61,1,9,12,20,25,18,15
8,透析患者の最期の症状,26200,90,4.437,-0.007,28,72,1,1,4,13,27,26,28
9,認知症,475000,80,1.397,0.449,36,64,1,3,5,13,28,25,25
10,腎臓病の症状,284000,80,1.837,-12.058,40,60,0,2,5,13,23,24,33
11,心不全,264000,80,1.867,-1.95,34,66,2,7,10,18,24,19,20
12,敗血症,396000,70,1.414,-4.501,38,62,1,7,11,18,22,19,22
13,間質性肺炎,385000,70,1.405,-1.191,31,69,1,5,7,14,22,22,29
14,脊柱管狭窄症,355000,70,1.553,21.056,39,61,1,3,5,11,20,24,36
15,心筋梗塞,268000,70,1.842,-14.992,42,58,2,7,10,18,24,19,20
16,クレアチニンとは,254000,70,1.804,-20.611,42,58,1,5,6,13,21,23,31
17,介護保険,249000,70,1.799,-19.332,39,61,1,3,5,15,28,26,22
18,人工透析とは,91900,70,2.889,-7.998,50,50,2,7,11,18,22,18,22
19,高齢者,410000,60,1.344,-3.035,38,62,1,1,2,8,21,29,38
20,障害者年金,281000,60,1.637,-0.088,40,60,1,3,7,15,28,30,16
21,障害者手帳,277000,60,1.547,15.859,36,64,1,6,11,21,28,19,14
22,腎臓に良い食べ物,265000,60,1.582,-17.125,36,64,0,2,6,15,24,24,29
23,慢性腎臓病,77700,60,2.853,0.009,37,63,1,7,7,15,24,23,23
24,透析 食事,20000,60,4.204,0.901,26,74,1,4,6,15,27,22,25
25,透析患者,15300,60,4.449,-0.001,39,61,0,6,6,14,25,25,24
26,骨粗鬆症,301000,50,1.419,-65.073,24,76,2,5,5,12,22,25,29
27,アムロジピン,296000,50,1.446,-8.565,40,60,0,8,7,14,24,23,24
28,シェーグレン症候群,275000,50,1.368,-44.289,20,80,1,7,9,17,26,23,17
29,大動脈解離,268000,50,1.421,-37.439,40,60,1,7,11,19,25,20,17
30,せん妄とは,259000,50,1.55,20.716,30,70,1,6,8,17,28,22,18
31,フレイルとは,256000,50,1.511,0.953,35,65,1,4,4,11,20,23,37
32,くも膜下出血,250000,50,1.4,0.387,38,62,3,11,14,21,23,15,13
33,理学療法士,249000,50,1.461,15.263,36,64,6,10,11,24,23,13,13
34,血液検査,248000,50,1.47,-3.54,35,65,1,2,4,18,26,23,26
35,血糖値,247000,50,1.5,5.657,45,55,1,4,7,13,21,24,30
36,心房細動,246000,50,1.585,-17.697,39,61,1,7,8,14,21,22,27
37,生活保護 条件,236000,50,1.51,-21.105,32,68,1,9,13,19,26,18,14
38,リウマチ,235000,50,1.594,21.433,36,64,1,7,12,20,24,19,17
39,社会福祉士,213000,50,1.637,-31.398,30,70,3,8,13,26,28,13,9
40,ランソプラゾール,188000,50,1.854,-0.867,32,68,1,10,10,17,23,20,19
41,肺気腫,183000,50,1.861,-13.384,42,58,1,6,8,16,22,20,27
42,限度額適用認定証,180000,50,1.741,2.593,30,70,0,6,18,21,25,19,11
43,ワタミの宅食,176000,50,1.82,-50.487,39,61,1,3,7,14,26,24,25
44,egfr,150000,50,2.038,17.489,37,63,0,6,8,16,25,23,22
45,ペースメーカー,148000,50,2.016,-6.004,37,63,3,7,9,17,24,19,21
46,ネフローゼ症候群,132000,50,2.163,-7.595,32,68,1,13,14,21,22,15,14
47,腎臓,132000,50,2.061,0,45,55,3,8,11,19,22,17,20
48,高次脳機能障害,119000,50,2.27,3.158,30,70,1,10,12,21,25,18,13
49,カテーテルとは,109000,50,2.326,-17.617,45,55,3,8,9,13,19,19,29
50,シャントとは,35000,50,3.489,-5.08,36,64,1,14,10,16,23,19,17
51,透析 シャント,14200,50,4.458,0,27,73,1,11,10,18,26,19,15
52,クローン病,240000,40,1.366,3.332,31,69,3,12,15,21,22,15,12
53,オーバードーズ,237000,40,1.373,11.099,41,59,5,9,11,18,21,17,19
54,腎盂腎炎,229000,40,1.386,2.074,26,74,1,10,15,23,25,15,11
55,介護保険料,227000,40,1.319,-64.959,44,56,0,2,7,15,16,38,22
56,心筋梗塞 前兆,223000,40,1.503,98.986,37,63,2,5,9,18,26,20,20
57,因果応報とは,223000,40,1.406,4.342,41,59,3,6,9,21,28,19,14
58,グループホーム,223000,40,1.318,-14.859,35,65,1,4,6,15,28,27,19
59,血便,219000,40,1.326,-12.404,40,60,4,14,18,23,21,11,9
60,みんなの介護,215000,40,1.411,68.83,38,62,0,1,2,7,24,34,32
61,麦門冬湯,215000,40,1.322,36.984,27,73,1,6,15,24,22,17,15
62,梅毒,212000,40,1.338,13.235,48,52,4,17,23,25,18,8,5
63,退職代行,209000,40,1.389,82.582,51,49,2,17,21,24,21,10,5
64,血尿,207000,40,1.509,-32.542,35,65,2,6,10,20,26,18,18
65,ソファー,205000,40,1.413,55.383,39,61,2,7,12,20,25,19,15
66,ステロイド 副作用,198000,40,1.645,-25.548,33,67,2,10,13,18,21,17,19
67,生活保護,196000,40,1.538,-29.06,59,41,1,6,11,21,26,19,16
68,ct検査,191000,40,1.677,-46.556,41,59,2,7,10,18,21,18,24
69,障害年金,186000,40,1.523,10.091,40,60,1,5,11,20,29,22,12
70,白内障,180000,40,1.636,3.596,41,59,2,5,8,14,22,22,27
71,特別養護老人ホーム,176000,40,1.662,22.124,36,64,1,5,6,13,28,27,20
72,後期高齢者医療制度,166000,40,1.785,-20.289,37,63,1,4,4,13,23,18,37
73,ロスバスタチン錠2.5mg,165000,40,1.833,-33.95,34,66,0,4,6,12,25,26,27
74,アルツハイマー型認知症,157000,40,1.709,16.016,33,67,2,7,7,15,26,20,23
75,中性脂肪,156000,40,1.73,6.338,38,62,1,7,10,18,23,19,22
76,不整脈,154000,40,1.67,-0.92,41,59,3,9,11,17,19,17,24
77,ケアマネージャー,143000,40,1.868,-8.505,37,63,1,6,9,18,29,21,16
