順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,白血病 初期症状,173000,13100,3.199,0,27,73,6,14,17,22,20,11,10
2,白血球の数値が高い,272000,8200,2.276,-0.001,30,70,1,9,15,22,24,16,13
3,白血病 生存率,36000,6500,4.08,0,43,57,7,15,15,19,18,13,13
4,白血球の数値が低い,190000,6100,2.347,-0.001,25,75,1,4,9,21,29,20,16
5,悪性リンパ腫,243000,6000,2.088,0,32,68,2,7,11,21,25,19,15
6,白血球,63700,4000,3.011,0,36,64,5,10,14,22,19,14,16
7,急性骨髄性白血病,40300,3600,3.384,0.043,33,67,3,13,12,19,21,16,16
8,白血病 原因,24100,3400,3.83,0,35,65,6,16,15,19,18,12,14
9,白血病 治療法,13400,3100,4.344,0.001,37,63,3,8,10,18,22,18,21
10,白血病 血液検査 数値,23000,2900,3.713,0,25,75,1,8,17,24,21,14,15
11,骨髄異形成症候群,55500,2600,2.753,0.005,32,68,1,7,10,18,22,21,21
12,血小板数値が低い,99000,2500,2.152,-0.006,29,71,1,4,8,17,24,22,24
13,多発性骨髄腫,89500,2300,2.134,0.001,33,67,1,9,9,16,22,22,21
14,白血球 正常値,56500,2300,2.583,0,26,74,2,16,14,19,20,15,14
15,白血病 あざ 特徴,20100,2300,3.61,0,16,84,6,16,19,24,19,8,8
16,リンパ腫,90500,2100,2.033,0,39,61,1,5,9,17,23,21,24
17,再生不良性貧血,48300,2000,2.619,-0.001,26,74,2,15,14,22,20,14,13
18,悪性リンパ腫 症状,90100,1900,1.959,1.298,27,73,2,7,11,19,25,19,17
19,抗がん剤 副作用,93400,1800,1.868,1.207,29,71,1,6,7,17,24,21,24
20,抗がん剤治療,92400,1800,1.844,0.978,39,61,1,3,7,17,24,22,26
21,赤血球,51100,1700,2.379,0,38,62,6,10,11,23,19,14,17
22,急性白血病,22100,1700,3.172,0.012,39,61,3,12,16,24,20,13,12
23,血小板,53900,1600,2.308,0.003,34,66,4,9,11,20,20,16,20
24,骨髄移植,16300,1500,3.415,0.031,37,63,3,12,16,20,19,17,13
25,赤血球 少ない 原因,70300,1400,1.889,-0.017,33,67,0,4,8,17,25,22,24
26,慢性骨髄性白血病,19600,1400,3.115,0.094,31,69,2,16,17,19,20,14,12
27,骨髄,31800,1300,2.591,0.01,37,63,6,10,10,18,22,17,17
28,急性リンパ性白血病,13700,1300,3.413,0.203,33,67,4,18,16,22,19,13,8
29,白血病 症状,9100,1300,3.865,0.001,34,66,9,24,20,20,13,6,8
30,白血病とは,7800,1300,3.985,0,40,60,15,31,17,16,10,4,7
31,悪性リンパ腫 生存率,59000,1200,1.887,1.002,37,63,3,6,10,18,24,20,19
32,白血病 白血球数,7500,1200,3.954,0,31,69,3,20,21,23,17,9,7
33,骨髄バンク,47000,1100,2.014,0.004,33,67,3,14,17,21,22,13,10
34,造血幹細胞移植,13900,1100,3.256,3.997,32,68,3,15,14,19,21,17,11
35,白血病 遺伝,6400,1000,3.924,0,27,73,3,14,24,24,19,10,6
36,血友病とは,39300,950,2.051,-0.001,27,73,3,16,15,22,20,13,11
37,池江璃花子 白血病,11300,950,3.326,0.061,34,66,4,11,13,18,20,18,16
38,好中球,30100,900,2.291,12.66,30,70,4,11,12,20,22,16,15
39,骨肉腫,43600,890,1.894,0.024,42,58,5,14,16,22,18,13,12
40,血液のがんの種類,26800,870,2.395,0,31,69,0,2,6,17,24,23,28
41,白血病 種類,4300,870,4.201,0.001,35,65,4,12,13,18,20,18,15
42,白血球 増やす,22700,850,2.498,0,33,67,1,6,11,20,26,20,16
43,骨髄検査,9400,820,3.372,0.005,30,70,3,8,12,17,22,20,18
44,骨髄移植 ドナーのリスク,13700,800,2.953,0.256,34,66,3,13,15,20,21,16,12
45,慢性白血病とは,8600,790,3.4,0.007,27,73,2,7,12,20,26,17,16
46,白血病 骨髄移植,3000,780,4.454,0.002,33,67,3,10,14,21,17,23,12
47,抗がん剤,38400,770,1.892,1.6,36,64,1,6,8,18,23,20,24
48,急性骨髄性白血病 生存率,6600,740,3.609,0.458,36,64,4,12,15,18,21,15,15
49,血小板 基準値,23000,710,2.312,6.721,26,74,1,22,14,18,18,13,14
50,急性白血病 初期症状,14300,700,2.751,-0.007,25,75,1,5,12,29,27,14,12
51,免疫抑制剤,29700,670,2.009,25.262,27,73,1,7,10,19,25,21,17
52,好中球とは,27700,670,2.09,2.602,29,71,4,7,7,15,23,22,22
53,好中球 基準値,16900,640,2.541,8.229,25,75,1,19,11,17,19,16,17
54,血液内科とは,18300,630,2.436,-0.001,27,73,1,6,8,19,26,20,20
