順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,多発性骨髄腫 生存率,11900,5000,5.612,0.003,36,64,1,3,5,14,24,25,28
2,多発性硬化症,106000,3200,2.945,0,27,73,1,9,11,19,24,20,16
3,骨髄異形成症候群,55500,2500,3.336,0.001,32,68,1,7,10,18,22,21,21
4,骨髄腫,17700,2300,4.436,-0.001,37,63,1,5,7,16,22,21,28
5,エンレスト,88900,1900,2.591,6.134,37,63,0,12,15,23,24,14,12
6,サルコイドーシス,83200,1700,2.575,0,31,69,1,9,12,20,24,19,15
7,重症筋無力症,74600,1700,2.629,-0.008,32,68,2,17,15,21,21,14,10
8,再生不良性貧血,49000,1600,2.985,-0.042,26,74,2,15,14,22,20,14,13
9,アミロイドーシス,33700,1600,3.38,0.074,37,63,1,9,11,18,23,20,18
10,クッシング症候群,70700,1500,2.57,-3.267,25,75,2,21,14,20,23,13,7
11,血液のがんの種類,27000,1500,3.576,-0.001,31,69,0,2,6,16,25,23,28
12,クロピドグレル,66800,1400,2.544,1.872,33,67,0,16,14,20,22,15,13
13,低カリウム血症,58000,1400,2.708,-4.907,29,71,1,17,15,21,22,15,9
14,高カルシウム血症,35600,1400,3.239,0.114,29,71,1,12,13,18,22,18,16
15,メトトレキサート,59000,1300,2.66,0.022,29,71,1,14,12,19,23,17,14
16,低ナトリウム血症,53500,1300,2.714,-5.944,33,67,1,18,17,21,21,13,9
17,pubmed,52500,1300,2.716,-34.914,68,32,1,18,22,27,17,9,6
18,強皮症,53000,1200,2.676,7.219,25,75,1,8,11,19,25,20,16
19,jcs 意識レベル,50300,1200,2.689,-3.051,35,65,1,29,23,22,16,6,3
20,伝染性単核球症,46600,1200,2.73,1.945,34,66,3,22,17,21,21,10,6
21,エリキュース,51700,1100,2.597,1.183,36,64,0,14,14,20,22,16,14
22,ウェルニッケ脳症,41000,1100,2.779,-3.626,34,66,1,20,18,21,19,13,8
23,急性骨髄性白血病,40300,1100,2.889,0.003,33,67,3,13,12,19,21,16,16
24,進行性核上性麻痺,47900,1000,2.621,3.806,33,67,1,9,12,20,23,17,18
25,高カリウム血症,43300,1000,2.673,1.465,36,64,1,19,15,19,19,14,13
26,多発性筋炎,29200,1000,3.111,0,25,75,2,11,11,18,24,19,15
27,褐色細胞腫,27400,1000,3.147,0.023,32,68,1,19,12,20,22,16,10
28,シロスタゾール,43500,990,2.646,-0.975,33,67,1,16,14,20,22,15,12
29,深部静脈血栓症,40900,990,2.722,-0.356,27,73,2,22,13,18,20,14,11
30,多系統萎縮症,40800,980,2.706,1.136,32,68,1,12,13,21,22,18,13
31,日常生活自立度,43400,950,2.579,-16.116,35,65,1,20,20,25,19,10,5
32,キイトルーダ,38200,940,2.731,0.968,39,61,0,8,12,20,23,19,18
33,sglt2阻害薬,39700,920,2.679,0.035,46,54,0,12,12,19,22,19,16
34,皮膚筋炎,35100,900,2.777,1.279,26,74,1,8,10,19,26,20,16
35,造血幹細胞移植,13900,890,3.68,3.162,32,68,3,15,14,19,21,17,11
36,長谷川式簡易知能評価スケール,42600,870,2.529,-16.955,26,74,1,16,13,22,26,12,10
