順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,成人t細胞白血病,6500,280,7.09,0,28,72,2,25,12,18,20,14,9
2,悪性リンパ腫,244000,250,3.367,-9.8,32,68,2,7,11,22,25,18,15
3,高額医療費制度,859000,150,1.604,19.786,38,62,1,4,11,20,26,21,17
4,パーキンソン病,849000,150,1.675,24.373,38,62,2,8,9,16,21,19,25
5,多発性骨髄腫,88400,140,3.867,-0.345,33,67,1,8,9,16,23,22,21
6,ギランバレー症候群,531000,120,1.878,16.063,34,66,2,8,11,17,21,19,22
7,シェーグレン症候群,276000,120,2.573,36.234,20,80,1,7,9,17,26,23,17
8,リンパ腫,90400,120,3.662,-2.316,39,61,1,5,9,17,23,22,23
9,atl 白血病,4900,120,6.534,-0.207,35,65,1,13,12,18,22,20,14
10,bmi 計算 自動,712000,110,1.527,14.78,30,70,6,18,17,18,18,13,10
11,白血病,166000,110,2.939,-2.033,38,62,4,11,13,22,21,15,14
12,アセトアミノフェン,527000,90,1.535,-7.026,33,67,2,9,15,24,22,15,13
13,間質性肺炎,384000,90,1.978,31.907,31,69,1,5,7,14,22,22,29
14,マンジャロ,361000,90,1.926,-62.078,31,69,2,15,21,26,21,10,5
15,デエビゴ,285000,90,2.243,-29.457,34,66,1,9,12,20,24,18,16
16,骨髄異形成症候群,55500,90,3.873,7.104,32,68,1,7,10,18,22,21,21
17,バセドウ病,454000,80,1.574,11.87,31,69,3,13,16,23,24,13,8
18,蜂窩織炎,432000,80,1.673,-0.014,28,72,1,7,12,21,24,19,16
19,敗血症,396000,80,1.728,23.358,38,62,1,7,11,18,22,19,22
20,アムロジピン,295000,80,2.114,-10.011,40,60,1,7,7,14,24,23,24
21,ランソプラゾール,187000,80,2.509,-26.054,32,68,1,10,10,17,23,20,19
22,悪性リンパ腫 症状,90600,80,3.246,-5.996,27,73,2,7,11,19,25,19,17
23,サルコイドーシス,83200,80,3.272,7.006,31,69,1,9,12,20,24,19,15
24,ソラシドエア,399000,70,1.657,-18.511,44,56,1,12,16,21,24,16,10
25,骨粗鬆症,301000,70,1.927,27.864,24,76,2,5,5,12,22,25,29
26,レボフロキサシン,293000,70,1.882,17.849,31,69,1,10,16,22,22,15,14
27,白血球の数値が高い,271000,70,2.001,26.652,30,70,1,9,15,22,24,16,13
28,甲状腺機能亢進症,259000,70,2.03,22.675,23,77,2,8,11,23,27,17,12
29,ファモチジン,208000,70,2.197,-43.292,29,71,1,10,14,22,24,16,13
30,白血球の数値が低い,190000,70,2.29,34.563,25,75,1,4,9,21,29,20,16
31,プレドニゾロン,120000,70,2.762,4.891,29,71,1,11,12,20,24,17,15
32,悪性リンパ腫 生存率,59500,70,3.456,-7.1,37,63,3,6,10,18,24,20,19
33,サイトメガロウイルス,54100,70,3.603,23.654,23,77,1,15,28,20,17,12,7
