順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,血小板数値が低い,99000,1400,4.309,-0.385,29,71,1,4,8,17,24,22,24
2,血小板減少性紫斑病,21900,920,5.35,0,24,76,2,9,14,22,22,16,15
3,血小板,53900,690,4.161,0,34,66,4,9,11,20,20,16,20
4,骨髄異形成症候群,55500,360,3.502,1.835,32,68,1,7,10,18,22,21,21
5,再生不良性貧血,48300,340,3.546,2.911,26,74,2,15,14,22,20,14,13
6,血小板 基準値,23000,330,4.293,0.006,26,74,1,22,14,18,18,13,14
7,血小板減少,5100,300,5.678,0,31,69,1,11,15,20,22,18,13
8,特発性血小板減少性紫斑病,18700,280,4.314,1.095,27,73,2,15,14,21,21,16,11
9,血小板減少症 犬,1300,270,6.911,0,17,83,1,9,14,23,32,13,8
10,血小板 増やす 食べ物,10400,240,4.764,0.018,36,64,1,5,9,14,24,24,23
11,低カリウム血症,57900,220,2.924,2.775,29,71,1,17,15,21,22,15,9
12,低ナトリウム血症,52700,180,2.849,9.796,33,67,1,19,17,21,20,13,9
13,高カルシウム血症,35600,160,3.144,14.445,29,71,1,12,13,18,22,18,16
14,dic 医療,33800,150,3.122,2.993,28,72,1,26,19,20,18,10,6
15,点状出血とは,25100,140,3.3,1.879,14,86,4,16,20,28,20,7,5
16,急性骨髄性白血病,40300,130,2.784,1.644,33,67,3,13,12,19,21,16,16
17,アジソン病,32800,130,2.962,-0.691,28,72,2,21,12,18,22,14,11
18,溶血性貧血,23800,130,3.284,1.027,29,71,2,18,13,22,21,13,11
19,シクロスポリン,26400,120,3.109,5.266,33,67,0,18,15,21,22,14,10
20,トルバプタン,29500,110,2.882,21.053,32,68,1,20,16,22,20,14,7
21,スルバシリン,22400,110,3.195,12.692,38,62,0,24,18,20,18,12,8
22,mds 病名,17100,110,3.459,15.365,28,72,1,16,17,23,20,13,10
23,itp,11100,110,3.888,3.891,38,62,2,15,18,23,23,13,6
24,免疫性血小板減少症,3200,110,5.092,1.056,42,58,1,7,16,24,24,17,11
25,デノタスチュアブル配合錠,29700,100,2.865,29.721,27,73,0,10,11,18,22,18,21
