順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,貧血 症状,265000,8700,3.163,-0.003,23,77,5,14,16,25,18,9,13
2,貧血に良い食べ物,202000,4300,2.748,0,28,72,2,8,11,22,23,16,18
3,貧血 数値,73900,3400,3.507,0,18,82,1,7,13,27,22,14,16
4,貧血 対処法,87200,2900,3.183,0,31,69,7,17,18,24,16,7,11
5,ヘモグロビン,113000,1900,2.49,0.002,35,65,3,8,10,19,22,18,20
6,貧血 原因,51800,1900,3.301,-0.001,33,67,4,11,12,21,21,15,16
7,鉄欠乏性貧血,52200,1700,3.153,0.009,20,80,3,16,18,31,19,7,6
8,めまい,116000,1400,2.174,0,27,73,2,6,13,23,25,16,15
9,血圧,159000,1300,1.813,-0.86,42,58,2,9,13,20,22,15,19
10,低血圧 症状,135000,1200,1.85,0.002,28,72,4,15,13,17,18,14,19
11,自律神経失調症,129000,1200,1.877,0.001,33,67,5,17,19,19,18,11,11
12,ヘモグロビン 低い 原因,81400,1200,2.341,-0.238,29,71,1,6,11,23,24,16,19
13,低血圧,66600,1200,2.61,0,27,73,5,19,19,19,16,10,12
14,貧血 サプリ,25800,1100,3.352,0.001,29,71,2,8,15,29,24,12,10
15,貧血 頭痛,24300,1100,3.408,0,11,89,4,15,23,35,16,3,4
16,ヘマトクリットとは,103000,1000,1.96,0,27,73,1,10,11,18,24,18,18
17,生理痛,91700,1000,2.066,-0.045,14,86,9,17,20,29,16,5,4
18,低血糖,74600,1000,2.311,0.002,28,72,3,16,20,22,19,11,9
19,クエン酸第一鉄na50mg,50900,940,2.585,2.438,21,79,1,11,14,26,21,12,15
20,子宮腺筋症,91600,920,1.935,0.396,12,88,1,7,16,38,24,8,6
21,起立性低血圧,80600,900,2.094,0.002,25,75,7,17,14,22,19,11,10
22,貧血 薬,16900,900,3.636,0.001,25,75,3,12,15,27,22,11,10
23,貧血 眠気,17300,890,3.578,0.001,10,90,3,13,21,36,18,4,5
24,貧血 食べ物,27400,880,3.144,0.001,26,74,5,20,24,24,14,6,7
25,自律神経,95900,860,1.871,-0.009,35,65,3,9,15,22,21,15,15
26,再生不良性貧血,48300,840,2.535,0.001,26,74,2,15,14,22,20,14,13
27,鉄分不足 症状,89600,830,1.904,-0.016,26,74,2,7,14,25,21,13,18
28,鉄分,40800,830,2.66,0.112,28,72,3,13,23,28,17,8,8
29,更年期,71800,810,2.032,1.512,20,80,4,6,10,36,35,5,4
30,鉄剤 副作用,28200,810,2.99,4.974,12,88,1,7,19,36,23,8,6
31,下痢,87900,800,1.874,2.953,30,70,5,12,19,23,19,11,11
32,赤血球 少ない 原因,70300,790,2.105,-0.052,33,67,0,4,8,17,25,22,24
33,フェリチン,37100,760,2.679,2.637,25,75,1,10,17,29,18,9,16
34,生理,77600,740,1.91,-5.066,31,69,12,18,21,24,12,6,7
35,気管支炎,85900,730,1.808,-4.958,29,71,5,16,27,24,14,8,6
36,クレアチニン,87600,720,1.807,-2.949,38,62,0,7,10,18,24,19,22
37,生理 血の塊,71000,720,1.958,-2.948,4,96,5,21,32,32,7,1,2
38,動悸,51200,690,2.261,0.031,37,63,6,15,19,23,19,10,8
39,生理が終わらない,64200,670,1.928,-4.862,8,92,2,4,6,46,37,2,3
40,鉄剤,20800,650,3.077,1.479,21,79,1,9,19,33,22,9,7
41,頻脈,67100,640,1.939,-0.048,32,68,2,9,11,18,22,19,19
42,立ちくらみ,23800,620,2.954,0.001,35,65,9,15,16,19,16,11,14
43,レルミナ,35900,610,2.445,24.139,15,85,1,6,15,41,27,6,4
44,貧血 吐き気,15000,610,3.382,0.001,11,89,7,27,25,27,9,2,3
45,鉄分 サプリ,52700,600,2.08,0.064,25,75,2,11,20,29,20,9,9
46,心電図,70900,590,1.799,1.353,33,67,3,19,15,19,17,12,15
47,胃潰瘍,57800,590,1.996,0.027,38,62,6,21,21,19,15,9,9
48,赤血球,51100,590,2.131,0.005,38,62,6,10,11,23,19,14,17
49,フェロミア錠50mg,42700,590,2.287,1.836,22,78,1,9,16,26,23,12,13
50,貧血に良い食べ物 即効性,20100,570,3.08,0,32,68,1,2,4,12,25,30,26
51,血小板,53900,560,2.028,0,34,66,4,9,11,20,20,16,20
52,子宮筋腫 症状,61200,550,1.841,-1.606,10,90,2,12,19,33,21,7,6
53,葉酸,60200,530,1.88,0.199,33,67,2,12,21,15,15,16,19
54,低カリウム血症,57900,530,1.893,-0.005,29,71,1,17,15,21,22,15,9
55,脳貧血 症状,43900,530,2.15,0.023,16,84,3,13,18,25,20,12,9
56,血清鉄,24100,530,2.733,0.051,21,79,1,6,15,36,23,10,9
57,喉痛い,58500,510,1.842,2.88,26,74,12,21,23,24,13,5,2
58,貧血 何科を受診,10000,510,3.548,0,12,88,2,15,22,40,16,3,2
59,骨髄異形成症候群,55500,500,1.892,0.014,32,68,1,7,10,18,22,21,21
60,bnp,60500,490,1.813,-0.907,38,62,1,9,8,14,20,20,28
61,ストレス,57700,490,1.815,-5.957,37,63,6,11,15,20,18,14,16
62,溶血性貧血,23800,480,2.667,0.012,29,71,2,18,13,22,21,13,11
63,フェリチンとは,37900,470,2.198,3.481,23,77,1,6,4,19,30,23,17
64,過呼吸,50500,460,1.876,-5.541,28,72,7,11,15,24,21,11,11
65,鉄剤 効果が出るまで,10200,460,3.43,2.471,13,87,1,4,19,40,23,6,7
66,婦人科,53100,450,1.808,-2.521,15,85,3,14,15,25,21,10,12
67,吐き気,37400,450,2.147,-0.013,25,75,6,16,21,22,17,9,9
68,血色素量とは,27000,450,2.473,-0.02,27,73,1,12,11,23,24,15,14
69,ヘマトクリット 低い 原因,25800,450,2.537,-0.155,26,74,1,8,13,26,21,14,17
70,アルブミン,40200,440,2.093,1.926,35,65,2,12,9,16,21,17,23
71,リオナ錠250mg,26700,440,2.451,7.259,22,78,1,10,18,29,24,10,8
72,mcv 血液検査,49500,430,1.886,-0.004,28,72,1,6,12,17,20,20,24
73,ヘマトクリット,23000,430,2.612,0.014,30,70,1,12,13,21,23,15,15
74,血色素量 低い,26200,420,2.428,-0.558,23,77,1,9,17,30,21,11,11
75,貧血 目の下白い,10700,420,3.296,0,11,89,5,18,25,31,15,4,2
76,jcs,48100,410,1.827,1.013,40,60,2,32,23,19,14,6,4
77,深部静脈血栓症,41100,410,1.976,4.439,27,73,2,23,13,18,20,14,10
78,フェロミア,19500,410,2.708,3.514,25,75,1,15,20,25,20,9,10
79,更年期障害,43600,400,1.842,4.469,31,69,2,5,9,32,36,9,7
80,足のむくみ,39100,400,2.016,-6.89,32,68,1,5,11,19,23,16,25
81,mcv,28800,400,2.331,0.002,34,66,1,9,10,18,22,17,23
82,脳貧血,15500,400,2.918,0.005,17,83,6,20,24,23,15,7,5
83,マグミット,46900,390,1.816,19.945,30,70,1,12,15,18,21,16,17
84,お腹痛い,46200,390,1.814,6.041,22,78,16,17,19,23,16,5,4
85,胸水,44000,390,1.85,2.661,34,66,1,14,14,19,22,17,13
86,高カリウム血症,43500,380,1.859,-0.009,35,65,1,19,15,19,19,14,13
87,mcv とは,44400,370,1.855,0.137,30,70,1,8,4,13,21,23,30
88,倦怠感,39000,370,1.905,0,40,60,6,13,17,22,22,11,9
89,メニエール,35600,370,1.996,3.592,35,65,2,10,20,26,21,11,10
90,レルミナ 副作用,21000,370,2.473,20.657,10,90,1,3,12,48,30,3,3
91,貧血症状,7900,370,3.535,0.003,20,80,11,28,13,21,16,6,5
92,透析,38300,360,1.908,-3.746,40,60,4,13,16,20,20,13,14
93,生理前,33500,360,2.036,-0.146,15,85,6,22,32,29,8,2,1
94,輸血,18300,360,2.657,0.006,31,69,3,15,14,19,19,15,15
95,腸炎,40300,350,1.826,-0.019,34,66,3,12,19,23,20,12,11
96,生理 頭痛,37800,350,1.876,6.499,7,93,6,21,30,33,7,1,2
97,片頭痛,34900,350,1.966,4.619,34,66,9,15,19,24,17,9,7
98,脈拍,32800,350,2.093,0.006,39,61,2,8,9,14,19,18,30
99,息苦しい,29400,350,2.134,-0.005,32,68,4,11,17,23,22,12,11
100,血色素量,18000,350,2.616,0.041,26,74,1,12,19,27,19,11,11
101,フェリチン 低い,15800,350,2.723,4.18,16,84,1,6,17,38,23,8,7
102,鉄欠乏性貧血 症状,13700,350,2.89,0.013,16,84,4,15,16,31,21,7,6
103,むくみ,34400,340,1.963,-4.862,30,70,2,8,16,24,20,12,18
104,微熱,34400,340,1.942,-4.277,28,72,6,16,24,23,16,8,7
105,bun,38800,330,1.842,0.045,39,61,1,11,9,19,21,16,23
106,生理 吐き気,35400,330,1.91,-3.893,7,93,11,34,29,19,5,1,1
107,子宮筋腫 手術方法,32900,330,1.931,12.615,13,87,0,4,16,37,25,10,8
108,輸血 副作用,16500,330,2.682,0.509,20,80,1,16,10,18,24,17,14
109,鼻詰まり,35200,320,1.841,20.685,34,66,4,13,26,27,17,8,5
110,ヘモグロビン 正常値,24200,320,2.279,0.004,24,76,2,21,13,19,17,13,15
111,フェログラデュメット,21500,320,2.359,3.044,23,77,1,13,19,28,22,9,8
112,寝れない,34100,310,1.878,-29.474,32,68,15,22,24,21,11,4,3
113,mchc,29100,310,2.077,0.011,30,70,1,9,11,19,22,17,21
114,子宮筋腫 お腹ぽっこり,28300,310,2.003,-2.509,7,93,0,4,12,39,35,5,5
115,生理 貧血,10300,310,3.071,0.002,10,90,7,22,31,25,11,2,2
116,貧血 点滴,6400,310,3.519,0.004,11,89,2,20,25,33,15,3,2
117,慢性心不全,36600,300,1.802,3.11,30,70,1,12,9,16,24,21,17
118,鼻血,34700,300,1.84,21.229,34,66,4,12,23,24,16,10,11
119,うつ,34600,300,1.817,-14.185,34,66,3,8,14,25,25,13,12
120,好中球,30100,300,1.987,9.97,30,70,4,11,12,20,22,16,15
121,採血,29700,300,2.005,7.193,33,67,5,13,11,16,20,15,20
122,閉経,29700,300,1.923,-11.43,36,64,3,8,11,29,37,7,5
123,過多月経,16700,300,2.511,0.001,10,90,4,17,26,35,14,2,2
124,鉄分の多い食品 ランキング,34000,290,1.849,0.051,28,72,1,3,7,20,23,20,26
125,生理不順,33900,290,1.811,2.783,19,81,10,31,24,21,9,3,2
126,夏バテ,33300,290,1.827,-68.618,35,65,4,17,22,21,16,11,9
127,背中が痛い,32000,290,1.876,2.083,30,70,4,12,18,19,20,12,15
128,co2ナルコーシス,29700,290,1.954,0.982,30,70,1,32,18,21,16,8,4
129,鉄分 飲み物,24900,290,2.126,0,23,77,5,16,21,25,17,8,8
130,貧血とは,7300,290,3.368,0,37,63,15,26,17,16,11,7,8
131,ジエノゲスト 副作用,27200,280,1.944,8.81,10,90,3,12,18,42,18,4,3
132,赤血球 基準値,21000,280,2.286,-0.003,28,72,2,25,13,16,18,13,13
133,ヘム鉄,19700,280,2.326,0.116,40,60,3,11,16,24,20,13,13
134,貧血 氷食べる理由,9600,280,3.008,0,18,82,4,15,20,32,21,6,2
135,鉄欠乏性貧血 放置すると,6600,280,3.339,0.343,12,88,2,6,15,41,25,6,5
136,mchとは,33200,270,1.797,-0.008,32,68,1,7,7,16,23,20,26
137,ビリルビン,29500,270,1.891,0.007,39,61,3,15,13,18,19,16,16
138,腎性貧血,15200,270,2.552,0.002,30,70,0,17,14,21,22,15,11
139,ヘモグロビン 低い,11700,270,2.826,-0.118,27,73,1,10,13,24,22,16,14
140,貧血 血液検査,6300,270,3.425,0,21,79,2,24,18,29,17,5,5
141,貧血 血圧,5900,270,3.47,0.001,29,71,3,17,20,29,19,8,4
142,胃,30900,260,1.798,8.67,34,66,5,12,15,21,20,14,13
143,鉄分 摂りすぎ,24900,260,1.998,3.524,27,73,3,11,20,25,19,11,11
144,ブリストルスケール,24300,260,2.045,13.921,23,77,3,29,19,21,16,8,4
145,貧血 飲み物,6700,260,3.331,0.001,22,78,6,27,28,25,10,2,2
146,ホットフラッシュ,28600,250,1.806,-1.025,21,79,1,5,10,30,41,7,6
147,低血糖 症状,27500,250,1.879,-0.132,23,77,4,28,23,18,13,7,7
148,アルブミン 基準値,26700,250,1.956,-15.554,25,75,2,30,9,14,15,13,17
149,子宮全摘出後の生活,25700,250,1.881,35.69,15,85,1,3,10,42,31,8,5
150,氷食症,25500,250,1.936,-18.837,24,76,7,11,17,32,21,7,5
151,チアノーゼ,25300,250,1.977,0.906,33,67,4,26,23,18,14,9,6
152,胃炎,22600,250,2.091,0.958,34,66,4,14,20,21,17,11,13
153,エリスロポエチン,21200,250,2.166,1.734,32,68,4,31,12,16,17,11,9
154,mch,15300,250,2.442,2.097,38,62,1,8,14,22,23,14,18
155,脱水,11700,250,2.734,0.004,28,72,2,18,18,23,19,11,9
156,抗生剤,26800,240,1.859,-5.13,32,68,2,12,19,23,19,14,11
157,mrsa,26700,240,1.873,4.683,30,70,2,21,18,22,19,12,6
158,plt 血液検査,25300,240,1.963,0.224,31,69,1,16,11,15,18,17,22
159,尿酸,24400,240,1.972,0.017,49,51,1,9,11,18,22,16,23
160,子宮内膜増殖症,23600,240,1.951,0.975,12,88,1,5,11,32,34,11,6
161,子宮筋腫 小さくする方法,23400,240,1.938,0.764,8,92,1,1,12,43,31,6,6
162,アセリオ,20000,240,2.144,16.976,30,70,0,31,18,21,17,9,4
163,貧血 病院 何科,5700,240,3.395,0.004,15,85,4,25,25,30,13,2,1
164,アルドステロン,27800,230,1.8,2.224,31,69,3,25,10,17,20,14,11
165,看護ルー,27300,230,1.799,-5.931,20,80,7,28,16,20,18,7,4
166,悪心,25900,230,1.861,9.447,41,59,3,14,20,21,18,12,12
167,神経痛,25500,230,1.91,0,35,65,2,7,11,17,21,19,23
168,rbc 血液検査,25500,230,1.908,0.001,31,69,1,10,8,14,19,20,28
169,cea,25100,230,1.896,0.011,40,60,0,7,9,17,22,20,25
170,背中痛い,23400,230,1.924,18.857,25,75,5,15,21,27,21,7,4
171,アプガースコア,22100,230,2.011,21.366,25,75,1,32,29,19,11,6,2
172,腹膜炎,21800,230,1.995,-2.914,36,64,3,14,19,24,20,11,9
173,hb,21400,230,2.065,0,40,60,2,9,9,15,20,19,26
174,巨赤芽球性貧血,10900,230,2.711,0.207,28,72,4,31,13,17,17,11,7
175,フェリチン 基準値,10300,230,2.761,8.991,21,79,2,11,14,31,22,10,10
176,息切れ 原因,22400,220,1.978,-1.644,39,61,2,5,9,17,24,21,22
177,エリクソン 発達段階,20800,220,2.033,-11.039,22,78,7,37,11,17,15,9,4
178,代謝性アシドーシス,20600,220,2.054,18.091,27,73,2,34,18,19,15,8,4
179,月経過多,11800,220,2.522,0.002,8,92,1,8,25,41,19,3,3
180,ファイチ,9600,220,2.763,0.63,22,78,1,10,19,32,22,9,7
181,悪性貧血,9100,220,2.873,0.003,33,67,3,25,13,21,17,12,9
182,ビソプロロール,24400,210,1.836,4.112,42,58,1,15,11,15,19,19,20
183,gcs,23200,210,1.884,-2.574,46,54,2,39,25,18,10,4,2
184,白血病 血液検査 数値,23000,210,1.901,-0.009,25,75,1,8,17,24,21,14,15
185,血小板 基準値,23000,210,1.873,0.466,26,74,1,22,14,18,18,13,14
186,シムス位,23000,210,1.866,-15.008,11,89,2,28,43,14,7,4,2
187,金縛り,21800,210,1.977,10.985,32,68,19,29,19,14,10,5,4
188,脱水 血液データ,16800,210,2.197,0.322,21,79,1,27,16,21,18,10,7
189,血清鉄 低い,10200,210,2.669,0.013,18,82,2,6,15,36,25,9,7
190,貧血 まぶたの裏,5600,210,3.26,0,11,89,5,18,27,31,13,3,3
191,悪性症候群,23600,200,1.805,-2.283,35,65,1,23,20,23,18,10,5
192,スルバシリン,22400,200,1.882,-3.679,38,62,0,24,18,20,18,12,8
193,ふわふわする 原因,22300,200,1.837,-0.097,19,81,3,8,12,23,26,17,11
194,生理こない,21300,200,1.965,-2.122,15,85,19,45,21,10,3,1,1
195,腎臓病,21200,200,1.948,0.07,40,60,2,6,10,15,21,17,29
196,尿素窒素,21100,200,1.981,7.292,38,62,0,9,9,15,18,17,32
197,食欲不振,20500,200,1.952,0.028,27,73,7,16,17,17,18,13,12
198,脳震盪,20300,200,1.949,23.536,37,63,13,18,17,22,15,8,7
199,立ちくらみ 原因,17200,200,2.154,0.002,35,65,12,16,15,17,15,12,13
200,子宮がん,16600,200,2.167,4.355,21,79,3,9,13,24,25,13,13
201,子宮筋腫 手術費用,14000,200,2.265,2.313,14,86,0,3,15,46,24,5,7
202,リオナ,13300,200,2.363,8.887,37,63,1,13,22,27,19,11,7
203,フェジン静注,11200,200,2.529,4.074,25,75,0,22,17,25,21,9,6
204,胸痛,21800,190,1.812,0.042,28,72,3,11,14,21,24,16,11
205,慢性腎不全,21600,190,1.856,0.005,32,68,2,15,13,19,24,16,11
206,硬膜外麻酔,21600,190,1.834,18.788,23,77,1,19,21,21,17,12,9
207,cpk,21400,190,1.856,0.667,42,58,1,8,10,17,22,20,22
208,tsh,20700,190,1.905,2.951,29,71,1,12,14,19,21,15,18
209,寝汗,18100,190,1.991,5.964,33,67,2,8,19,26,19,11,15
210,ジエノゲスト 不正出血,17600,190,1.996,-2.696,6,94,3,12,20,47,15,2,1
211,ヘム鉄 サプリ,17500,190,1.997,0.094,17,83,1,8,19,32,23,8,9
212,バレー徴候,17000,190,2.129,6.648,37,63,1,41,21,18,12,4,3
213,血の気が引く 症状,16700,190,2.106,0.004,20,80,3,16,22,27,18,9,5
214,グーフィス,21400,180,1.815,2.896,34,66,1,13,17,22,20,13,14
215,甲状腺ホルモン,20300,180,1.848,24.025,33,67,4,20,14,18,19,13,12
216,不正出血 止まらない,20200,180,1.818,-9.882,10,90,2,20,23,32,16,4,3
217,顎ニキビ,20000,180,1.922,13.418,11,89,8,39,32,13,5,2,1
218,バソプレシン,19600,180,1.923,2.258,34,66,16,36,12,15,11,6,4
219,尿毒症,19000,180,1.947,0.926,35,65,3,28,18,15,15,11,10
220,膀胱留置カテーテル,17300,180,2.029,2.036,17,83,2,32,16,18,15,8,9
221,認知症高齢者の日常生活自立度,17200,180,1.986,47.998,30,70,1,20,18,23,20,12,6
222,肌荒れ,16400,180,2.048,13.877,27,73,9,21,25,22,12,6,5
223,hgb 血液検査,15800,180,2.158,0.003,30,70,1,9,10,15,19,18,28
224,下血,15700,180,2.101,1.709,36,64,2,15,21,24,18,11,9
225,リンパ球,15100,180,2.182,14.921,36,64,7,12,9,16,21,16,19
226,低カルシウム血症,15100,180,2.177,-44.938,31,69,1,18,17,19,20,14,11
227,子宮体がん,14700,180,2.161,0.554,14,86,2,10,16,29,29,8,6
228,シバリング,13900,180,2.249,-23.754,29,71,2,23,21,21,18,11,4
229,低体温,9600,180,2.58,23.168,31,69,1,15,19,21,21,12,11
230,セファゾリン,20000,170,1.845,8.816,38,62,1,30,18,18,15,10,8
231,フェリチン 高い 原因,19900,170,1.86,14.131,28,72,0,6,9,18,25,23,19
