順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,エンレスト,88900,140,3.979,17.345,37,63,0,12,15,23,24,14,12
2,ナーシングスキル ログイン,73800,120,3.975,-34.594,16,84,1,24,20,24,20,8,3
3,jcs,48200,120,4.459,4.412,40,60,2,32,23,19,14,6,4
4,フォシーガ,105000,100,3.477,35.253,34,66,0,9,14,23,25,16,13
5,バイアスピリン,104000,100,3.482,-3.094,36,64,0,13,12,16,20,18,21
6,pubmed,52000,100,4.169,-37.951,68,32,1,18,22,27,17,9,6
7,プロポフォール,47400,100,4.299,-0.039,31,69,1,17,16,25,22,12,7
8,ソセゴン,25100,100,4.896,-21.684,28,72,0,29,21,22,16,8,4
9,医中誌,23000,100,4.959,-15.898,48,52,1,25,23,27,16,6,2
10,セファゾリン,19800,90,5.006,0.005,38,62,1,30,18,19,16,9,7
11,ロピオン,12800,90,5.551,-11.916,29,71,0,39,22,18,12,6,3
12,オノアクト,12300,90,5.516,-12.534,34,66,0,37,23,20,12,5,3
13,フェブキソスタット,88300,80,3.425,13.365,46,54,1,11,13,21,24,17,13
14,ジャディアンス,75100,80,3.63,14.171,39,61,0,10,13,22,25,16,14
15,スピロノラクトン,66700,80,3.737,-7.893,26,74,1,17,15,22,23,12,10
16,クロピドグレル,66600,80,3.704,-35.75,33,67,0,16,14,20,22,15,13
17,メトクロプラミド,64400,80,3.712,-1.544,27,73,1,17,20,20,19,13,10
18,低カリウム血症,57600,80,3.811,7.396,29,71,1,17,15,21,22,15,9
19,エリキュース,51300,80,3.934,-39.037,36,64,0,14,14,21,22,15,14
20,ミダゾラム,43400,80,4.132,-4.028,31,69,1,21,16,22,20,13,7
21,ナーシングスキル,29200,80,4.556,-56.179,15,85,2,35,21,20,15,5,2
22,ercp,28400,80,4.532,-4.178,27,73,1,27,18,21,17,9,7
23,ニカルジピン,20300,80,4.867,-10.811,30,70,1,37,19,19,14,7,3
24,アセリオ,19700,80,4.878,5.06,29,71,0,30,18,22,17,9,4
25,ponv 医療,2700,80,6.961,-0.067,30,70,0,36,25,23,11,4,1
26,クエチアピン,98100,70,3.121,7.929,29,71,1,12,14,23,25,16,9
27,プリンペラン,70700,70,3.562,-4.519,28,72,1,15,19,22,19,12,12
28,ニフェジピン,69500,70,3.487,-2.836,35,65,1,14,12,19,22,16,16
29,フロセミド,62000,70,3.683,12.313,30,70,1,18,13,19,22,15,12
30,リクシアナ,60300,70,3.768,-20.681,39,61,0,13,12,19,21,17,18
31,メトトレキサート,58400,70,3.756,14.28,29,71,1,14,12,19,23,17,14
32,カルベジロール,56900,70,3.776,15.366,36,64,0,15,14,20,22,16,13
33,wpw症候群,54800,70,3.799,2.1,34,66,2,17,18,23,20,13,7
34,低ナトリウム血症,53500,70,3.858,25.75,33,67,1,18,17,21,21,13,9
35,心電図検定,38400,70,4.22,37.123,29,71,3,33,19,18,14,5,8
36,キイトルーダ,38200,70,4.108,14.838,39,61,0,9,12,20,23,19,17
37,コンパートメント症候群,36100,70,4.191,-11.205,34,66,2,28,18,20,18,9,5
38,オメプラゾール,34600,70,4.259,29.345,29,71,0,25,14,18,19,13,11
39,mmt,32900,70,4.303,-10.944,47,53,2,25,17,18,17,11,10
40,アミオダロン,29800,70,4.373,5.061,36,64,0,25,18,20,17,11,9
41,ネーザルハイフロー,28600,70,4.365,-13.88,24,76,0,30,22,23,16,6,3
42,アトロピン,28300,70,4.406,-41.108,30,70,1,31,18,21,14,9,6
43,ブリストルスケール,24300,70,4.559,-7.643,23,77,3,29,19,21,16,8,4
44,バンコマイシン,24300,70,4.53,-30.586,36,64,1,30,16,18,16,11,8
45,硬膜外麻酔,21700,70,4.696,1.671,22,78,1,19,21,20,16,13,10
46,イントラリポス,18600,70,4.808,-3.968,26,74,0,30,20,22,16,8,4
47,デキサート,16800,70,4.9,33.554,27,73,0,27,16,20,19,10,8
48,gi療法,15500,70,4.983,1.272,25,75,0,34,26,23,12,4,1
49,psvt,15400,70,5.036,32.452,33,67,1,31,28,21,11,5,3
50,セフメタゾール,14200,70,5.118,6.455,39,61,0,32,20,20,14,8,6
51,オンダンセトロン,6700,70,5.833,2.093,34,66,1,28,21,22,15,8,5
52,ステロイドカバー,4100,70,6.326,-10.036,46,54,0,32,32,20,10,4,2
53,セレコキシブ,97400,60,3.157,-39.293,37,63,1,9,10,16,22,20,22
54,ブロチゾラム,96900,60,3.149,16.948,34,66,1,10,12,20,24,17,16
55,アトルバスタチン,91500,60,3.101,9.757,33,67,0,9,9,17,25,21,19
56,看護師国家試験,88100,60,3.159,-10.454,31,69,3,21,9,20,27,12,8
57,タケキャブ,82600,60,3.219,-2.651,36,64,1,18,12,18,19,15,17
58,アスピリン,80500,60,3.333,30.607,35,65,2,17,14,19,17,14,17
59,オーグメンチン,78100,60,3.2,10.623,33,67,1,12,18,24,21,14,10
60,copd,76600,60,3.258,2.255,38,62,3,17,14,20,20,14,12
61,チラージン,68300,60,3.334,54.488,26,74,0,10,14,21,23,17,15
62,慢性硬膜下血腫,65800,60,3.459,8.199,32,68,1,12,13,18,23,17,16
63,ジアゼパム,59400,60,3.584,12.158,31,69,1,15,15,21,23,15,10
64,dダイマーとは,54600,60,3.712,-2.078,26,74,1,16,12,19,22,16,14
65,アゾセミド,40800,60,3.867,79.231,30,70,0,15,14,22,23,14,12
66,深部静脈血栓症,40200,60,4.016,37.834,28,72,2,22,13,18,20,14,11
67,エフィエント,37100,60,3.966,45.339,40,60,0,15,15,21,21,14,14
68,cpa 医療,35100,60,4.09,12.514,28,72,1,26,18,21,18,11,5
69,ノルアドレナリン,33100,60,4.065,4.742,35,65,4,24,17,21,17,9,8
70,トラゼンタ,31700,60,4.256,3.593,35,65,0,18,17,25,16,11,13
71,トルバプタン,29600,60,4.272,76.532,32,68,0,20,16,23,21,13,7
72,胸腔ドレーン,29100,60,4.339,35.663,23,77,3,37,19,19,13,5,4
73,セフトリアキソン,27700,60,4.355,23.869,39,61,0,23,18,22,19,11,7
74,デルマトーム,26900,60,4.423,3.872,50,50,1,26,23,20,14,9,7
75,スインプロイク,25000,60,4.346,4.64,33,67,0,15,14,21,22,14,14
76,gcs,23000,60,4.514,-21.345,45,55,2,39,25,18,10,4,2
77,スルバシリン,22500,60,4.595,-22.907,38,62,0,25,17,20,18,12,8
78,アタラックスp,20600,60,4.58,24.856,29,71,1,24,21,23,17,7,7
79,ニコランジル,19000,60,4.774,42.393,36,64,0,30,21,15,15,9,10
80,evt 医療,15300,60,4.975,15.973,29,71,0,29,21,22,17,7,4
81,cag,11900,60,5.083,64.37,36,64,2,27,18,20,18,10,5
82,nomi 医療,11200,60,5.155,26.936,36,64,1,27,24,22,17,7,2
83,ハルトマン手術,11000,60,5.271,0.846,28,72,1,26,22,23,16,8,4
84,dvt,10500,60,5.267,3.265,30,70,1,29,20,20,17,8,5
85,デクスメデトミジン,9700,60,5.373,-28.275,37,63,0,33,23,20,14,7,3
86,レミフェンタニル,7200,60,5.633,0.947,39,61,1,34,21,21,14,6,3
87,スガマデクス,5000,60,5.993,0.008,40,60,0,28,22,22,16,8,4
88,ドロレプタン,3600,60,6.268,0.003,26,74,0,36,23,22,12,5,2
89,心電図,70600,50,3.142,-14.64,33,67,3,19,15,19,17,12,15
90,cvポート,69400,50,3.155,11.994,25,75,1,13,13,21,25,17,10
91,看護師国家試験 2025,68700,50,3.21,113.774,22,78,2,25,9,17,31,10,6
92,ワーファリン,68100,50,3.189,-7.806,35,65,0,10,10,17,23,19,21
93,トラゾドン,66300,50,3.28,-8.423,33,67,1,12,16,24,24,14,9
94,テルミサルタン,65700,50,3.243,30.606,36,64,1,9,10,17,25,19,19
95,カンデサルタン,64400,50,3.401,8.283,37,63,0,9,10,16,23,20,22
96,ポララミン,61200,50,3.327,-17.835,26,74,1,13,19,28,20,11,8
97,bnp,60900,50,3.304,22.992,37,63,1,9,8,14,20,20,28
98,エルデカルシトール,58400,50,3.465,-2.304,24,76,0,9,9,15,21,20,26
99,水腎症,58300,50,3.287,-15.654,28,72,1,12,19,21,20,16,11
100,ラメルテオン,53600,50,3.479,0.881,30,70,2,15,17,27,18,11,10
101,デュロキセチン,52600,50,3.383,23.409,37,63,0,12,16,22,22,15,13
102,アルファカルシドール,51300,50,3.525,-8.211,25,75,1,13,13,18,21,17,17
103,jcs 意識レベル,50100,50,3.616,-49.256,35,65,1,28,23,23,16,6,3
104,レベチラセタム,47100,50,3.594,13.618,32,68,1,15,16,24,23,13,8
105,m3,46000,50,3.499,-35.701,69,31,3,10,17,23,23,15,9
106,ckd,44200,50,3.562,-7.764,53,47,1,13,13,21,24,16,12
107,アジルサルタン,43900,50,3.752,-5.291,38,62,0,11,12,19,23,17,18
108,シロスタゾール,43300,50,3.635,-20.749,33,67,1,16,14,20,22,15,12
109,日常生活自立度,43100,50,3.585,-0.386,35,65,1,20,20,25,20,10,4
110,pvc,43000,50,3.615,-2.106,47,53,1,13,15,21,23,16,11
111,高カリウム血症,42700,50,3.67,-6.913,36,64,1,19,15,19,19,14,13
