順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,ブロック注射,115000,4400,3.156,0.002,40,60,1,6,10,19,25,19,20
2,ペインクリニックとは,14800,4000,5.149,0,28,72,1,3,7,13,26,24,26
3,脊柱管狭窄症,356000,3700,1.915,-0.036,39,61,1,3,5,11,20,24,36
4,ペインクリニックとはどんな治療,27500,3200,4.319,0.001,22,78,1,2,6,14,25,27,25
5,タリージェ,189000,3100,2.326,4.281,35,65,0,5,9,19,25,20,22
6,帯状疱疹症状,278000,2800,1.849,-2.212,31,69,1,2,5,13,27,26,26
7,帯状疱疹 痛み いつまで,100000,2800,2.846,-1.924,35,65,1,2,6,15,26,25,25
8,椎間板ヘルニア,229000,2300,1.812,0.007,38,62,2,8,12,19,23,18,18
9,神経痛とは,137000,2300,2.373,-0.012,31,69,1,4,6,13,23,24,29
10,線維筋痛症,155000,2100,2.087,-0.004,26,74,2,8,13,19,26,18,14
11,帯状疱疹 何科を受診,99000,2000,2.494,-0.095,28,72,0,3,8,19,31,22,17
12,プレガバリン,134000,1900,2.158,6.987,36,64,0,8,10,20,25,18,19
13,帯状疱疹 症状,172000,1600,1.783,-3.159,26,74,1,5,8,14,25,24,23
14,坐骨神経痛の症状 ストレッチ,159000,1500,1.81,-0.019,35,65,0,2,6,15,24,25,28
15,ノイロトロピン,97300,1500,2.256,6.084,33,67,0,6,10,19,24,19,22
16,タリージェod5mg 効果,75800,1500,2.581,12.948,39,61,0,2,3,10,21,27,37
17,神経痛 治し方,63200,1500,2.696,-0.003,34,66,1,3,6,13,23,25,29
18,三叉神経痛,96200,1400,2.147,-0.005,29,71,1,6,12,21,25,19,16
19,リリカ 効果,66700,1400,2.595,2.999,32,68,1,3,6,15,25,24,26
20,メコバラミン錠500,131000,1300,1.788,3.15,32,68,0,3,8,17,24,22,26
21,メチコバール錠500 効果,129000,1300,1.881,3.183,32,68,0,2,5,13,26,25,29
22,トアラセット配合錠,85400,1300,2.228,4.132,37,63,0,6,8,15,24,22,25
23,神経障害性疼痛,48500,1300,2.773,-0.003,30,70,2,9,12,18,22,20,17
24,すべり症,122000,1200,1.877,1.608,25,75,1,3,6,14,23,23,30
25,脊柱管狭窄症 症状,107000,1200,2.049,4.024,34,66,0,2,3,7,17,26,45
26,頚椎症,105000,1200,1.967,-1.024,37,63,1,5,9,19,25,19,22
27,帯状疱疹 薬,77700,1200,2.24,-0.891,32,68,0,3,10,22,29,20,16
28,神経内科とは,62100,1200,2.503,0.002,31,69,1,4,7,16,24,22,26
29,帯状疱疹後神経痛,23300,1200,3.435,1.22,35,65,1,4,8,15,23,21,28
30,セレコックス錠100mg,115000,1100,1.77,0.628,35,65,0,1,5,13,23,26,32
31,リリカ,68800,1100,2.33,0.012,44,56,1,5,9,16,23,22,24
32,プレガバリンod25 効果,61500,1100,2.405,3.015,35,65,0,2,5,12,22,26,33
33,トリガーポイント注射,36500,1100,2.909,0.995,31,69,0,5,10,18,25,22,20
34,坐骨神経痛に効く薬,61400,1000,2.398,-0.215,41,59,0,1,3,10,23,29,34
35,トラムセット,57900,1000,2.384,7.226,38,62,0,5,10,19,26,22,18
36,帯状疱疹 後遺症,31000,1000,3.024,-0.002,30,70,1,3,7,16,25,23,25
37,坐骨神経痛 何科,44600,990,2.633,-0.003,34,66,1,4,9,16,23,21,26
38,坐骨神経痛 ストレッチ 即効,85200,980,1.978,-1.646,33,67,1,2,7,16,26,23,25
39,神経ブロック注射,14400,970,3.727,0.452,38,62,1,7,9,17,24,21,21
40,ジクトルテープ75mg,86600,960,1.927,13.594,30,70,1,4,8,18,26,22,21
41,脳神経内科,78600,960,2.006,0.067,32,68,1,5,7,21,26,19,21
42,リマプロストアルファデクス錠5μg,90500,940,1.908,6.143,35,65,0,5,7,13,19,21,35
43,脊椎管狭窄症,97000,930,1.849,4.241,38,62,0,2,3,9,18,26,42
44,脳神経外科,92600,930,1.8,0.029,34,66,2,5,14,22,24,15,18
45,ブロック注射 効果期間,18100,920,3.426,1.065,36,64,1,4,11,21,28,18,17
46,腰椎椎間板ヘルニア,68000,850,2.028,1.432,37,63,3,10,11,18,24,18,16
47,デュロキセチンカプセル20mg,51700,850,2.316,12.544,29,71,0,4,7,17,28,22,22
48,プレガバリンod錠75,41300,850,2.571,4.189,44,56,0,3,5,12,22,25,33
49,狭窄症,79900,800,1.835,5.65,39,61,1,4,8,14,25,22,26
50,痛み止め 強さ ランキング,67300,800,1.997,1.747,40,60,1,6,10,18,23,20,22
51,リウマチ性多発筋痛症,80500,790,1.833,11.081,28,72,0,4,6,13,25,24,28
52,腰部脊柱管狭窄症,63400,790,2.068,-0.005,37,63,1,10,8,13,22,21,25
53,脊柱管狭窄症手術,44500,790,2.495,2.014,40,60,0,1,2,6,17,26,48
54,退場疱疹症状,69300,770,1.929,-23.041,30,70,0,2,5,14,27,26,26
55,仙腸関節,56600,750,2.096,1.433,32,68,1,8,13,20,23,18,17
56,タリージェ 効果出るまで,29400,750,2.775,5.681,34,66,0,2,6,16,27,23,26
57,サインバルタ,52700,730,2.118,2.047,37,63,1,7,12,21,26,18,15
58,頚椎症性神経根症,50600,720,2.161,0.905,37,63,1,3,7,18,28,23,20
59,坐骨神経痛 治し方ためしてガッテン,43900,720,2.344,-1.06,26,74,0,1,4,13,25,30,27
60,梨状筋症候群,45100,710,2.262,0.175,35,65,1,9,13,21,24,19,13
61,帯状疱疹 再発,54800,700,2.087,1.998,32,68,0,3,6,14,25,29,23
62,ペイン 意味,12100,680,3.532,0,48,52,3,10,12,19,21,16,19
63,疼痛,67000,670,1.804,0.09,41,59,4,10,11,18,22,17,18
64,帯状疱疹症状 初期,64900,670,1.878,-0.02,22,78,0,1,5,12,28,26,28
65,坐骨神経痛 治療法,45300,650,2.188,4.113,37,63,1,4,9,16,25,21,24
66,頚椎ヘルニア,56000,640,1.921,3.964,38,62,1,4,9,22,28,19,17
67,坐骨神経痛 症状,67900,630,1.769,-0.015,28,72,1,6,9,15,23,22,24
68,末梢神経障害,44800,630,2.153,2.306,35,65,1,9,10,18,24,19,19
69,鍼灸院,58400,620,1.865,0.1,35,65,1,5,8,20,27,20,19
70,神経痛 市販薬,26300,620,2.672,-0.003,41,59,1,3,7,16,26,25,22
71,アメナリーフ錠200mg,37300,610,2.323,-4.598,35,65,0,4,9,17,23,22,25
72,神経痛 何科,15700,610,3.188,-0.002,30,70,1,5,9,16,25,23,21
73,坐骨神経痛 薬,30900,600,2.497,-0.011,39,61,0,2,7,16,27,25,23
74,坐骨神経痛 寝る姿勢,34000,590,2.375,-0.846,27,73,1,5,9,18,26,19,22
75,トラマールod錠25mg,31000,590,2.478,6.901,37,63,0,3,5,10,26,28,28
76,デュロキセチン,52300,580,1.907,16.394,38,62,0,12,16,22,22,15,13
77,ヘルニア 治るのか,49900,580,1.937,2.341,38,62,4,9,15,24,24,13,11
78,頸椎椎間板ヘルニア,43200,580,2.075,0.106,40,60,1,6,9,21,29,20,14
79,坐骨神経痛に効くツボ,41600,570,2.147,-0.924,32,68,1,1,6,15,25,24,28
80,椎間板ヘルニア 症状,47700,550,1.974,4.215,33,67,2,7,9,15,22,22,23
81,トリプタノール,31300,550,2.354,10.963,28,72,1,8,14,25,25,15,12
82,脊柱管狭窄症 運動療法,34300,530,2.378,-2.947,39,61,0,2,2,6,15,24,51
83,ノイロトロピン 効果,33400,530,2.301,7.074,29,71,0,4,5,15,25,24,27
84,タリージェ錠2.5mg,24100,510,2.641,4.095,36,64,0,2,4,10,19,26,39
85,トリガーポイント,45600,500,1.892,0.126,30,70,1,5,12,26,28,14,14
86,タリージェ 副作用,22000,500,2.644,13.735,31,69,0,4,8,18,27,21,22
87,リリカ 副作用,20900,500,2.691,11.65,31,69,1,3,7,18,28,23,20
88,星状神経節ブロック,7500,500,3.709,3.723,35,65,0,8,11,20,27,19,15
89,肩関節周囲炎,44800,480,1.877,1.074,35,65,1,5,8,18,28,21,19
90,脳神経内科 脳神経外科 違い,44300,480,1.898,0.044,29,71,1,6,9,20,27,19,18
91,トアラセット,29500,480,2.301,20.922,40,60,0,10,12,18,24,17,19
92,トラムセット配合錠,24400,480,2.526,7.909,40,60,0,4,6,14,23,25,28
93,ツートラム錠50mg,21700,480,2.63,15.483,36,64,0,2,5,16,26,24,27
94,肋間神経痛 何科,29900,470,2.257,-0.201,25,75,1,7,14,21,26,18,13
95,整形外科 名医,29700,470,2.363,-0.191,28,72,0,1,2,9,24,28,36
96,梨状筋,35300,460,2.063,-2.299,40,60,2,10,14,21,22,17,14
97,トアラセット 効果,31000,460,2.196,20.597,41,59,0,6,7,16,26,22,23
98,野中腰痛クリニック,28500,460,2.331,6.992,43,57,0,1,3,11,22,27,36
99,針治療,39000,450,1.952,-4.861,42,58,3,7,14,22,23,15,16
100,椎間板ヘルニア 治し方,34000,450,2.087,-0.509,40,60,1,6,10,18,26,21,18
101,ノイロトロピン錠4単位,25500,450,2.468,2.318,35,65,1,3,4,9,17,26,40
102,腰椎すべり症,45900,440,1.805,0.003,32,68,1,5,8,14,22,25,25
