順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,全身麻酔 術後 目覚め,25900,2100,4.517,0,29,71,3,11,18,25,22,12,9
2,限度額適用認定証,182000,1500,2.202,-4.446,30,70,0,6,18,21,25,19,11
3,全身麻酔 リスク,16100,1400,4.579,0,32,68,5,13,16,21,20,14,11
4,手術後,50800,1200,3.288,6.023,43,57,0,2,4,14,26,30,24
5,全身麻酔 副作用,11400,1100,4.718,0.001,28,72,3,12,13,20,23,17,12
6,入院 必要なもの,74300,1000,2.726,-3.107,23,77,1,5,12,23,29,17,13
7,全身麻酔 気管挿管,8200,930,4.86,0.001,18,82,2,11,13,23,23,16,12
8,胆嚢摘出,114000,880,2.195,-6.263,38,62,0,2,6,14,26,27,25
9,腹腔鏡手術,43700,840,3.102,0.007,34,66,1,7,11,18,22,20,21
10,全身麻酔 尿管カテーテル,5100,810,5.187,0.001,61,39,5,14,15,20,22,15,9
11,造影剤,78100,760,2.385,-23.614,37,63,1,5,11,22,27,18,16
12,放射線治療,86400,750,2.296,6.068,35,65,1,4,7,19,26,19,24
13,腹腔鏡,42400,660,2.877,0.276,35,65,1,7,12,20,22,18,20
14,硬膜外麻酔,21600,650,3.535,0.017,23,77,1,19,20,21,17,12,10
15,全身麻酔 術後,5100,620,4.911,0.003,19,81,1,18,14,22,24,13,8
16,人工呼吸器,66200,570,2.28,2.869,28,72,1,14,14,22,24,14,11
17,お見舞いのお返し,59500,570,2.381,20.295,26,74,0,1,6,19,32,25,17
18,プロポフォール,47400,560,2.589,0.001,31,69,1,17,17,24,22,12,7
19,入院中 暇つぶし,37100,550,2.787,-0.523,23,77,3,8,18,28,26,10,7
20,静脈麻酔とは,29000,550,3.06,0.001,19,81,2,16,25,23,16,11,7
21,人工股関節置換術,53000,530,2.517,-3.59,26,74,0,4,3,7,21,37,28
22,気管挿管,25700,520,3.121,1.319,32,68,2,21,18,21,20,12,6
23,麻酔,19800,480,3.328,0,46,54,3,7,11,15,19,20,25
24,ドレーンとは,37400,470,2.676,1.119,24,76,2,10,9,17,23,20,19
25,県民共済 手術給付金 一覧,65000,450,2.113,0.947,29,71,0,2,6,15,28,26,23
26,腹腔鏡手術 術後,18000,450,3.351,11.365,26,74,1,5,10,23,24,19,18
27,点滴,55700,440,2.229,1.187,41,59,3,9,11,15,19,20,23
28,弾性ストッキング,51500,420,2.256,5.045,27,73,1,8,10,17,22,19,23
29,子宮全摘出後の生活,25700,410,2.838,-8.367,15,85,1,3,10,42,31,8,5
