順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,全身麻酔,46700,320,3.393,-0.001,40,60,3,10,14,20,22,16,15
2,静脈麻酔とは,29000,250,3.634,0,19,81,2,16,25,23,16,11,7
3,キシロカイン,36200,220,3.293,-0.002,37,63,1,14,14,20,22,15,14
4,笑気麻酔,41500,200,3.033,-0.001,25,75,4,17,22,26,18,9,4
5,局部麻酔,3400,200,5.559,0,38,62,4,13,20,19,19,13,12
6,局所麻酔とは,1200,200,6.575,0,20,80,10,34,20,16,12,6,2
7,局所麻酔 切れる時間,4000,190,5.361,0,24,76,5,27,25,20,13,7,3
8,リドカイン,33900,180,3.144,-0.033,38,62,1,19,15,20,20,14,11
9,プロポフォール,47400,170,2.713,-2.555,31,69,1,17,17,24,22,12,7
10,ミダゾラム,42900,160,2.77,-0.298,31,69,1,21,16,22,20,13,7
11,胸腔ドレーン,29700,160,3.198,-0.011,23,77,3,37,19,19,13,5,4
12,局所麻酔 痛い部位 ランキング,1800,160,6.007,0.001,34,66,12,21,22,20,14,7,4
13,局所麻酔 痛い,1800,160,5.995,0,39,61,13,23,23,17,12,8,4
14,深部静脈血栓症,41100,150,2.753,-17.655,27,73,2,23,13,18,20,14,10
15,局所麻酔 副作用,1300,150,6.212,0,26,74,3,26,19,21,16,9,6
16,dダイマーとは,55300,140,2.435,7.485,26,74,1,16,12,19,22,16,14
17,硬膜外麻酔,21600,140,3.364,0,23,77,1,19,20,21,17,12,10
18,手術後,50800,130,2.476,0.817,43,57,0,2,4,14,26,30,24
19,アトロピン,28900,130,2.981,-1.249,30,70,1,31,18,21,15,9,5
20,ソセゴン,25300,130,3.117,2.593,28,72,0,29,21,21,16,8,5
21,抜糸 痛いのか,15400,130,3.658,9.128,40,60,9,23,21,20,14,7,6
22,コンパートメント症候群,37200,120,2.619,23.615,34,66,2,28,18,20,18,9,5
23,エフィエント,36800,120,2.641,29.04,40,60,0,15,15,21,21,14,14
24,アセリオ,19900,120,3.232,-0.008,29,71,0,31,18,21,17,9,4
25,アナペイン,18700,120,3.357,0.003,41,59,1,14,14,19,18,17,17
26,局所麻酔薬,1100,120,6.235,0,43,57,1,30,14,16,17,12,10
27,皮下注射,26100,110,2.894,13.029,21,79,2,23,18,21,18,10,8
28,バンコマイシン,24900,110,3.01,-13.698,36,64,1,30,16,19,16,11,7
29,セファゾリン,20200,110,3.214,-1.633,38,62,1,30,18,18,15,10,8
30,イントラリポス,18500,110,3.224,-0.107,26,74,0,30,20,22,16,8,4
31,伝達麻酔とは,5600,110,4.461,-0.001,25,75,2,23,17,20,18,12,8
32,オメプラゾール,34800,100,2.572,-12.094,30,70,1,25,14,18,18,13,11
33,キシロカイン注射液 1%,21900,100,3.083,0.002,31,69,0,5,7,13,24,24,27
34,腓骨神経麻痺,21700,100,3.008,-5.857,31,69,2,23,15,20,19,11,10
35,ニカルジピン,20400,100,3.096,-5.287,30,70,1,38,19,19,13,7,3
36,麻酔,19800,100,3.074,-0.002,46,54,3,7,11,15,19,20,25
