順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,前駆陣痛,79800,3100,3.134,21.707,18,82,0,20,50,11,8,9,2
2,無痛分娩 費用,34200,3100,4.007,0,29,71,2,30,33,10,10,10,5
3,生後1ヶ月,77800,2800,3.02,52.526,18,82,0,12,45,14,10,14,5
4,つわり いつ終わる,74700,2700,3.047,-12.157,20,80,0,18,48,13,7,11,3
5,無痛分娩 リスク,20800,2600,4.282,0,23,77,3,22,35,12,12,12,4
6,母子手帳 いつから,62100,2100,2.964,-19.309,14,86,0,18,46,14,9,9,4
7,胎動 いつから,58400,2100,3.04,1.628,8,92,1,20,54,12,5,6,2
8,新生児 ミルク 量,55300,2100,3.109,38.736,17,83,0,19,53,12,5,8,3
9,妊婦検診 頻度,48100,2000,3.176,-1.682,5,95,0,21,55,12,4,6,2
10,無痛分娩 流れ,16900,2000,4.255,0,16,84,1,12,30,11,15,23,8
11,会陰切開,52700,1900,3.068,14.981,18,82,2,24,41,13,9,6,5
12,妊娠初期 気をつけること,50300,1800,3.053,-28.897,15,85,1,20,47,14,7,9,2
13,新生児 しゃっくり,42700,1800,3.179,43.948,22,78,0,24,54,10,4,6,2
14,陣痛タクシー,34700,1800,3.392,14.702,14,86,0,19,56,13,4,6,2
15,母子手帳ケース,53300,1700,2.937,-3.007,8,92,1,22,45,14,9,6,3
16,マタニティ 服,39900,1700,3.204,-7.619,11,89,1,11,40,14,14,16,4
17,妊娠中 食べたらダメ,50600,1600,2.93,-23.577,19,81,2,27,38,10,9,11,3
18,マタニティフォト,48500,1600,2.96,3.63,25,75,3,24,42,16,8,5,2
19,ベビーベッド レンタル,48400,1600,2.984,17.506,19,81,0,13,46,11,9,16,5
20,おしるし 出産まで,46000,1600,3.003,13.754,19,81,0,18,46,13,11,10,2
21,妊娠中 性行為 いつまで,47400,1500,2.934,-7.223,38,62,5,34,43,12,3,2,1
22,つわり 食べやすいもの,44900,1500,2.963,-19.269,23,77,1,15,40,12,12,16,4
23,性別 いつわかる,43300,1500,3.03,-4.543,13,87,1,27,52,9,4,5,2
24,安産祈願 いつ,36500,1400,3.129,-1.567,19,81,0,20,45,9,9,13,4
25,哺乳瓶 消毒,35900,1300,3.031,50.141,19,81,0,16,47,13,9,12,3
26,トコちゃんベルト,37000,1200,2.938,20.511,9,91,0,14,46,21,10,6,3
27,マタニティブルー,36000,1200,3.023,8.704,23,77,9,29,38,9,6,6,3
28,妊娠6週目,32300,1200,3.042,-19.29,13,87,1,19,46,18,7,7,2
29,安産祈願,31800,1200,3.117,6.995,32,68,0,16,35,11,12,20,6
30,nst 妊婦検診,30300,1200,3.171,25.036,11,89,0,25,52,11,5,5,2
31,陣痛 前兆,29000,1200,3.181,27.311,25,75,1,20,49,12,8,8,2
32,新生児 目が見える頃,34400,1100,3.001,36.485,28,72,0,7,25,10,16,30,12
33,新生児 体重増加目安,32900,1100,2.99,37.525,15,85,0,15,46,11,7,16,5
34,流産しやすい時期,31600,1100,2.969,-16.015,24,76,2,21,45,15,6,8,3
35,新生児 寝ない,29600,1100,3.095,40.082,22,78,0,19,57,11,4,6,3
36,つわり 軽減,26000,1100,3.188,-21.545,30,70,1,18,50,14,7,7,3
37,産褥ショーツ,25800,1100,3.241,40.146,9,91,0,20,52,13,6,6,3
38,妊娠7ヶ月,25400,1100,3.245,4.811,13,87,1,18,46,16,7,9,3
39,妊娠中期,24500,1100,3.279,-1.53,11,89,1,22,54,13,4,4,2
40,里帰り出産,23400,1100,3.296,-0.127,20,80,1,18,34,10,15,18,4
41,陣痛 始まり,22400,1100,3.324,17.068,11,89,0,24,55,10,4,5,2
42,エンジェルサウンズ,27100,1000,3.074,-1.483,11,89,0,26,56,11,3,3,1
43,悪露 いつまで,26700,1000,3.082,40.771,3,97,0,23,62,10,2,2,1
44,妊娠線予防クリーム,26300,1000,3.137,2.545,10,90,1,24,48,13,8,5,1
45,妊娠8ヶ月,20900,1000,3.319,3.858,13,87,1,14,45,16,9,11,4
46,無痛分娩 痛み,8600,1000,4.267,0.001,13,87,6,23,38,12,9,9,3
47,計画無痛分娩,9600,990,4.101,3.455,10,90,1,19,55,11,4,7,3
48,食べつわり,25900,970,3.076,-13.276,10,90,1,24,51,12,5,5,2
49,出産準備リスト,22800,970,3.214,20.277,11,89,0,18,45,12,10,12,3
50,妊娠7週,25900,960,3.062,-18.148,12,88,1,19,47,17,7,7,2
51,妊娠8週目,23100,960,3.169,-14.088,15,85,1,16,44,18,9,10,2
52,おしゃぶり いつから,24600,950,3.125,59.285,21,79,0,22,48,11,7,9,3
53,母乳育児 軌道にのるまで,21000,950,3.259,50.146,4,96,0,16,59,12,4,7,2
54,アカチャンホンポ 妊娠特典,24700,940,3.113,8.034,5,95,0,28,60,7,2,2,1
55,新生児 うんちの回数,22300,940,3.204,53.701,11,89,0,22,60,9,3,4,2
56,授乳クッション,26000,920,3.013,32.138,11,89,0,16,52,17,6,7,2
57,妊娠9週目,22100,920,3.174,-14.296,13,87,1,17,44,17,9,9,3
58,妊娠初期 お腹の張り,26800,900,2.975,-21.394,6,94,1,28,54,12,2,2,1
59,妊婦 カフェイン,24600,900,3.073,-1.747,12,88,0,29,54,10,3,3,1
60,妊娠中 オーガズム,22200,900,3.156,3.662,8,92,1,24,62,10,1,1,1
