順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,疼痛とは,35600,2400,4.025,0,43,57,4,11,8,13,20,21,23
2,褥瘡,134000,1300,2.056,0,31,69,2,11,11,18,25,20,13
3,疼痛 読み方,7100,1100,4.855,0,41,59,7,15,12,18,21,13,14
4,疼く,15600,850,3.818,0,40,60,5,9,10,17,22,17,20
5,神経障害性疼痛,48600,800,2.616,0,30,70,2,9,12,18,22,20,17
6,臀部,94500,780,1.882,-11.324,42,58,5,11,16,22,22,14,10
7,腫脹,15000,750,3.696,0,37,63,4,17,16,20,22,13,8
8,頓服とは,88900,740,1.919,0,44,56,2,9,12,18,22,18,19
9,嚥下,67900,720,2.168,-0.014,35,65,3,7,8,16,25,22,19
10,タリージェod5mg 効果,83000,710,2.008,-0.001,38,62,0,2,3,10,21,27,37
11,トアラセット配合錠,85600,690,1.919,-0.001,36,64,0,6,8,15,24,22,25
12,廃用症候群とは,73000,680,2.042,-0.008,27,73,2,13,10,16,25,21,13
13,adl 意味,66900,660,2.107,-0.508,33,67,2,9,8,15,26,23,17
14,罹患,70200,630,1.96,-2.915,45,55,2,7,14,23,27,15,12
15,プレガバリンod25 効果,61100,560,2.069,-0.004,35,65,0,2,5,12,22,26,33
16,spo2,70000,550,1.868,-0.042,34,66,2,15,14,19,21,17,12
17,リリカ 効果,66100,550,1.952,-0.001,32,68,1,3,5,15,25,25,26
18,腰部脊柱管狭窄症,64100,540,1.974,-1.244,37,63,1,9,8,14,22,21,25
19,浮腫,49100,520,2.148,0.015,56,44,3,11,14,19,22,15,16
20,せん妄,60400,490,1.892,2.639,38,62,2,11,13,20,25,16,13
21,潰瘍,44400,490,2.186,0.001,39,61,4,12,15,19,21,15,14
22,仰臥位,32400,490,2.512,-0.002,33,67,5,19,14,18,21,14,9
23,腫瘍,58100,480,1.931,-0.039,45,55,3,6,8,15,23,21,24
24,adl,42500,460,2.179,5.922,38,62,3,16,12,19,23,16,11
25,インフォームドコンセント,54400,450,1.944,1.091,41,59,14,18,11,17,18,12,10
26,咀嚼,48500,450,2.023,0.016,45,55,6,5,9,18,24,19,19
27,デュロキセチンカプセル20mg,51600,440,1.969,-0.005,29,71,0,4,7,17,28,23,21
28,拘縮,28200,440,2.533,0.375,31,69,2,10,12,18,25,20,13
29,脊椎,49800,430,1.99,-1.11,38,62,3,9,10,17,21,17,23
30,末梢神経障害,44700,420,2.055,0.001,35,65,1,9,10,18,24,19,19
31,鈍痛とは,17400,420,2.981,0,35,65,5,12,13,18,21,15,16
32,臥床とは,21800,410,2.705,-0.169,27,73,2,12,10,19,30,18,9
33,臀部とは 部位,49700,400,1.873,5.472,34,66,3,7,10,20,27,19,14
34,喘鳴,46000,400,1.951,3.784,29,71,3,15,23,24,17,11,7
35,脊髄,41600,400,2.079,-0.006,41,59,5,10,8,15,21,17,24
36,プレガバリンod錠75,41200,390,2.097,-0.001,44,56,0,3,5,12,22,26,32
