順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,坐骨神経痛,687000,220,1.856,-2.698,34,66,1,5,10,19,24,20,21
2,神経ブロック注射,14300,200,5.601,0,38,62,1,7,9,17,24,21,21
3,タリージェ,192000,180,2.911,-0.671,35,65,1,5,9,18,25,20,22
4,脊柱管狭窄症,353000,160,2.214,-2.104,40,60,1,3,5,11,20,24,36
5,ペインクリニック,87900,160,3.566,-0.026,35,65,1,3,7,17,25,22,25
6,レバミピド,534000,140,1.603,-3.358,37,63,1,9,13,21,24,17,15
7,アセトアミノフェン,525000,130,1.544,-0.014,33,67,2,9,15,24,22,15,13
8,肋間神経痛,405000,130,1.813,-4.856,28,72,2,8,13,21,24,18,14
9,プレガバリン,135000,120,2.854,1.152,36,64,0,8,10,20,25,18,19
10,ブロック注射,114000,120,3.026,-0.001,40,60,1,5,10,19,25,19,21
11,蜂窩織炎,424000,100,1.554,-6.574,29,71,1,7,13,21,24,19,15
12,デエビゴ,284000,100,1.877,-6.359,34,66,1,9,12,20,24,18,16
13,椎間板ヘルニア,226000,100,2.176,-1.64,38,62,2,8,12,19,23,18,18
14,ファモチジン,208000,100,2.234,-1.896,29,71,1,11,14,22,23,16,13
15,ノイロトロピン,97600,100,3.036,-0.007,33,67,0,6,10,19,24,19,22
16,ナーシングスキル ログイン,73800,100,3.219,-25.999,16,84,1,24,20,24,20,8,3
17,間質性肺炎,383000,90,1.574,-14.509,31,69,1,5,7,14,22,22,29
18,アムロジピン,294000,90,1.755,-1.348,40,60,1,7,7,14,24,23,24
19,心不全,263000,90,1.911,17.834,34,66,2,7,10,18,24,19,20
20,心房細動,249000,90,1.949,1.196,39,61,1,7,7,14,22,22,27
21,フェンタニル,237000,90,1.972,13.401,50,50,1,10,14,22,24,16,13
22,神経障害性疼痛,48600,90,3.547,-3.909,30,70,2,9,12,18,22,20,17
23,セレコキシブ錠100,302000,80,1.71,7.767,31,69,1,3,6,14,24,24,28
24,骨粗鬆症,302000,80,1.689,9.818,24,76,2,5,5,12,22,25,29
25,レボフロキサシン,296000,80,1.695,14.07,31,69,1,10,16,22,22,15,14
26,シェーグレン症候群,278000,80,1.746,-19.106,20,80,1,7,9,17,26,23,17
27,hba1c,227000,80,1.88,15.164,41,59,0,7,11,19,26,20,17
28,変形性膝関節症,218000,80,2.053,-2.692,28,72,1,6,6,14,25,25,23
29,ランソプラゾール,187000,80,2.174,-7.78,32,68,1,10,10,17,23,20,19
30,線維筋痛症,150000,80,2.362,3.827,26,74,2,8,12,19,26,19,14
31,セレコキシブ,97400,80,2.818,2.88,37,63,1,9,10,16,22,20,22
32,リリカ,68200,80,3.135,-1.027,45,55,1,5,9,16,23,22,24
33,ミダゾラム,43400,80,3.503,-3.475,31,69,1,21,16,22,20,13,7
34,トリガーポイント注射,35800,80,3.825,0.062,31,69,0,5,10,18,25,22,20
35,神経ブロック 効果時間,3300,80,6.122,0,33,67,1,7,8,17,25,22,20
36,ヘバーデン結節,274000,70,1.604,3.463,20,80,0,2,5,15,30,27,21
37,メトホルミン,231000,70,1.814,7.06,33,67,0,6,11,23,30,18,12
38,迷走神経反射,230000,70,1.711,-6.191,22,78,4,16,18,24,21,11,6
39,mri,181000,70,1.986,-4.315,39,61,4,8,12,21,21,15,19
40,手根管症候群,157000,70,2.212,14.322,27,73,1,6,11,19,26,20,17
41,エチゾラム,142000,70,2.183,-20.903,33,67,1,8,11,20,25,18,17
42,タリージェod5mg 効果,83000,70,2.798,20.823,38,62,0,2,3,10,21,27,37
43,cvポート,69400,70,2.911,11.202,25,75,1,13,13,21,25,17,10
44,ソセゴン,25100,70,4.002,17.523,28,72,0,29,21,22,16,8,4
45,硬膜外麻酔,21700,70,4.17,-0.015,22,78,1,19,21,20,16,13,10
46,介護保険,248000,60,1.566,29.817,39,61,1,3,5,14,28,26,23
47,悪性リンパ腫,247000,60,1.562,83.016,32,68,2,7,11,22,25,18,15
48,ロキソプロフェン,245000,60,1.501,-2.179,45,55,2,12,13,18,20,16,19
49,腎盂腎炎,226000,60,1.657,-4.993,26,74,1,10,15,23,25,15,11
50,鼠径ヘルニア,218000,60,1.635,-14.804,41,59,2,7,13,19,21,18,20
51,帯状疱疹 うつる,208000,60,1.732,-12.034,28,72,1,6,13,20,26,19,15
52,ヘモグロビンa1c,208000,60,1.672,33.312,35,65,1,6,9,19,26,21,18
53,プレドニン,190000,60,1.864,-7.406,28,72,1,8,12,21,24,18,16
54,トラネキサム酸,174000,60,1.882,-26.921,26,74,2,14,20,25,21,11,7
55,egfr,149000,60,2.005,33.008,37,63,0,6,8,16,25,23,22
56,機能性ディスペプシア,143000,60,2.024,4.264,27,73,2,11,16,21,22,16,12
57,メチコバール,132000,60,2.196,-25.139,32,68,1,8,13,20,21,16,21
58,ネフローゼ症候群,131000,60,2.13,24.819,32,68,2,13,13,21,22,15,14
59,関節リウマチ,121000,60,2.222,6.567,30,70,3,11,11,16,23,19,17
60,エンレスト,88900,60,2.578,83.827,37,63,0,12,15,23,24,14,12
61,トアラセット配合錠,85600,60,2.686,0.11,36,64,0,6,8,15,24,22,25
62,copd,76600,60,2.773,18.753,38,62,3,17,14,20,20,14,12
63,メコバラミン,75200,60,2.801,6.074,34,66,1,11,12,19,23,17,17
64,リリカ 効果,66100,60,2.923,0.019,32,68,1,3,5,15,25,25,26
65,腰部脊柱管狭窄症,64100,60,2.937,-0.547,37,63,1,9,8,14,22,21,25
66,リクシアナ,60300,60,2.989,4.942,39,61,0,13,12,19,21,17,18
67,トラムセット,57400,60,2.957,1.624,38,62,0,5,10,19,26,22,18
68,サインバルタ,51800,60,3.038,-10.079,37,63,1,7,12,21,26,18,15
69,jcs 意識レベル,50100,60,3.07,6.723,35,65,1,28,23,23,16,6,3
70,jcs,48200,60,3.262,7.116,40,60,2,32,23,19,14,6,4
71,nsaids,35600,60,3.402,-0.015,31,69,1,18,14,21,22,14,10
72,ercp,28400,60,3.697,-9.338,27,73,1,27,18,21,17,9,7
73,リベルサス,216000,50,1.544,44.062,30,70,1,12,19,25,24,12,7
74,ステロイド,182000,50,1.661,7.937,50,50,4,11,13,17,18,16,21
75,肺気腫,180000,50,1.643,-1.824,42,58,1,6,8,15,22,21,27
76,リンデロン,178000,50,1.747,1.196,33,67,1,9,16,22,21,15,16
77,帯状疱疹 症状,172000,50,1.761,-18.055,26,74,1,5,8,14,25,24,23
78,脱水症状,167000,50,1.659,11.175,32,68,3,13,16,20,22,15,11
79,血圧,155000,50,1.825,-48.999,42,58,2,9,13,20,22,15,19
80,ベーチェット病,155000,50,1.735,-11.43,27,73,2,13,17,21,22,15,10
81,下肢静脈瘤,154000,50,1.81,-56.465,26,74,1,5,10,20,26,20,18
82,半月板損傷,149000,50,1.82,78.296,35,65,4,6,10,19,23,20,18
83,crp,138000,50,1.999,-10.237,36,64,1,7,9,17,21,21,24
84,神経痛とは,136000,50,1.94,0.004,31,69,1,4,6,13,23,24,29
85,褥瘡,134000,50,2.023,-5.613,31,69,2,11,11,18,25,20,13
86,すべり症,122000,50,2.119,-20.891,25,75,1,3,6,14,23,24,29
87,筋ジストロフィー,115000,50,2.025,16.884,32,68,2,11,15,22,23,15,12
88,エペリゾン,113000,50,2.168,29.549,36,64,1,6,13,23,27,17,13
89,デパス,110000,50,2.149,-10.756,37,63,1,9,13,20,22,17,18
90,多発性硬化症,107000,50,2.292,14.452,26,74,1,9,11,19,24,20,16
91,横紋筋融解症,107000,50,2.214,-30.5,32,68,1,11,11,16,21,20,20
92,バイアスピリン,104000,50,2.268,-7.074,36,64,0,13,12,16,20,18,21
93,もやもや病,104000,50,2.159,15.824,33,67,2,11,15,24,23,14,11
94,帯状疱疹 痛み いつまで,102000,50,2.221,-14.538,35,65,1,2,6,15,26,25,25
95,頚椎症,97200,50,2.231,-35.264,37,63,1,5,9,19,25,19,22
96,大建中湯,96700,50,2.282,6.483,30,70,1,6,9,17,23,20,24
97,三叉神経痛,94700,50,2.397,-0.586,29,71,1,6,12,21,25,18,17
98,リマプロストアルファデクス錠5μg,90500,50,2.458,16.351,35,65,0,5,7,13,19,21,35
99,多発性骨髄腫,88800,50,2.397,-23.975,33,67,1,8,9,16,23,22,21
100,看護師国家試験,88100,50,2.371,4.403,31,69,3,21,9,20,27,12,8
101,サルコイドーシス,83400,50,2.375,37.733,31,69,1,9,12,20,24,19,15
102,タケキャブ,82600,50,2.533,-12.252,36,64,1,18,12,18,19,15,17
103,重症筋無力症,78100,50,2.422,-2.253,33,67,2,17,16,21,21,14,9
104,エスゾピクロン,76400,50,2.512,18.725,33,67,1,13,15,22,23,14,12
105,心電図,70600,50,2.642,-0.409,33,67,3,19,15,19,17,12,15
106,ニフェジピン,69500,50,2.559,49.955,35,65,1,14,12,19,22,16,16
107,腰椎椎間板ヘルニア,67500,50,2.672,2.529,36,64,3,10,11,18,24,18,16
108,オランザピン,62700,50,2.729,37.568,31,69,1,14,15,23,24,14,9
