順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,麻酔科学会,5700,160,6.298,-34.907,53,47,0,8,21,30,21,12,8
2,麻酔科医,14300,140,5.27,0,38,62,5,12,14,19,19,17,14
3,ペインクリニック,95500,130,3.363,-1.776,34,66,1,3,7,16,26,22,25
4,日本麻酔科学会,5400,120,6.067,-64.788,54,46,1,7,17,31,22,15,7
5,pubmed,53500,90,3.461,-47.57,68,32,1,19,22,27,17,9,5
6,黒田あいみ,404000,80,1.4,64.659,43,57,1,3,15,31,28,14,8
7,ビラノア錠,287000,60,1.46,44.199,31,69,1,8,14,23,25,16,13
8,レボフロキサシン,283000,60,1.456,19.934,31,69,1,10,17,23,21,15,13
9,デエビゴ,281000,60,1.445,3.514,34,66,1,9,12,20,24,18,16
10,タリージェ,185000,60,1.819,1.208,35,65,0,5,10,18,25,20,22
11,エンレスト,88300,60,2.531,-5.333,37,63,0,12,15,23,24,14,12
12,プロポフォール,48500,60,3.163,10.101,31,69,1,17,17,24,21,13,7
13,麻酔科学会 2024,3900,60,5.66,-32.04,46,54,0,11,21,31,20,12,5
14,心不全,292000,50,1.324,17.116,34,66,1,7,11,18,24,19,20
15,心房細動,244000,50,1.36,9.154,39,61,1,7,8,14,21,22,27
16,悪性リンパ腫,239000,50,1.469,34.687,33,67,2,7,11,21,25,18,16
17,済生会病院,228000,50,1.449,-16.54,36,64,1,6,10,18,24,21,20
18,リベルサス,218000,50,1.422,37.462,29,71,1,12,19,25,24,12,7
19,ファモチジン,207000,50,1.522,-37.102,29,71,1,10,14,22,24,16,13
20,東京女子医大,91500,50,2.355,-64.583,52,48,1,3,6,15,23,22,30
21,全身麻酔,47500,50,2.993,-0.006,40,60,3,10,14,21,21,16,15
22,麻酔,20100,50,3.925,0,46,54,3,7,11,15,19,20,25
23,集中治療学会 2025,5900,50,5.054,39.951,55,45,0,10,31,34,16,6,3
24,日本麻酔科学会 2024,1900,50,6.189,-125.523,51,49,0,4,16,30,25,18,7
25,臨床麻酔学会 2024,1700,50,6.295,-41.07,60,40,0,5,17,33,24,16,5
26,メトホルミン,228000,40,1.304,-7.932,33,67,0,6,11,23,31,18,11
27,deepl,205000,40,1.353,-65.177,59,41,14,25,16,17,15,7,6
28,救急車,201000,40,1.386,-7.747,42,58,3,7,15,21,21,16,17
29,大腸ポリープ,198000,40,1.415,-14.951,39,61,1,3,6,16,28,25,21
30,帯状疱疹 うつる,195000,40,1.311,-22.513,28,72,1,7,13,20,26,19,14
31,闇バイト,192000,40,1.444,40.043,61,39,5,11,15,20,21,15,13
32,大腸がん,188000,40,1.382,14.014,37,63,2,5,9,18,24,21,21
33,ステロイド,184000,40,1.409,-45.602,49,51,4,11,13,17,18,16,21
34,泌尿器科,182000,40,1.537,-1.734,45,55,2,9,12,20,22,16,19
35,りんごちゃん,181000,40,1.379,-18.552,43,57,2,5,11,19,25,20,18
36,順天堂大学,179000,40,1.456,-41.597,44,56,11,6,5,23,29,12,14
37,敗血症性ショック,175000,40,1.467,119.423,40,60,1,6,8,13,19,24,29
38,googlemap,161000,40,1.5,-81.469,72,28,1,6,17,27,25,13,11
39,フェンタニル,154000,40,1.718,61.126,50,50,1,11,14,21,22,16,15
40,線維筋痛症,153000,40,1.711,0.604,26,74,1,8,13,20,26,18,14
41,als,150000,40,1.717,-15.061,37,63,3,11,15,22,22,15,12
42,神戸大学,147000,40,1.651,2.019,43,57,15,7,5,20,28,11,14
43,循環器内科とは,140000,40,1.681,-32.799,33,67,1,4,8,17,26,22,22
44,プレガバリン,132000,40,1.857,11.827,36,64,0,8,11,20,25,18,18
45,メチコバール,132000,40,1.742,-7.23,32,68,1,8,13,20,21,16,21
46,順天堂大学病院,128000,40,1.801,33.193,37,63,1,4,8,15,24,23,25
47,国際医療福祉大学,123000,40,1.935,-63.037,41,59,9,7,7,21,28,13,15
48,心臓,121000,40,1.972,-3.775,40,60,3,7,6,12,18,23,31
49,看護師,113000,40,1.925,2.191,41,59,5,10,12,19,21,17,16
50,フォシーガ,103000,40,2.076,28.712,35,65,0,9,14,23,25,16,13
51,ノイロトロピン,96600,40,2.204,-20.281,33,67,0,6,10,19,24,19,22
52,フェブキソスタット,87600,40,2.122,-28.967,46,54,0,11,13,21,25,17,13
53,聖路加国際病院,58400,40,2.675,-4.202,34,66,3,10,12,17,22,18,18
54,サインバルタ,54400,40,2.575,1.692,37,63,0,7,12,21,26,18,16
55,m3,47300,40,2.701,2.13,69,31,3,10,17,23,23,15,9
56,ミダゾラム,46400,40,2.876,5.995,30,70,1,20,16,22,21,13,7
57,キシロカイン,36100,40,2.986,-15.728,37,63,1,14,14,20,22,16,13
58,デルマトーム,24800,40,3.415,62.002,52,48,1,29,24,21,14,7,4
59,医中誌,23900,40,3.407,-26.805,48,52,1,24,23,27,16,6,3
60,ペインクリニック学会,1300,40,6.484,-149.131,59,41,0,5,12,32,23,17,11
61,麻酔科学会 2025,1300,40,6.289,102.167,53,47,0,10,20,31,22,11,6
62,日本麻酔科学会 2025,1200,40,6.486,31.048,64,36,0,3,13,31,27,17,9
63,mac,183000,30,1.306,12.96,45,55,5,11,14,21,22,15,12
64,京王プラザホテル,172000,30,1.363,29.21,36,64,1,5,10,17,25,22,20
65,消化器内科,170000,30,1.361,-9.72,32,68,1,8,15,24,25,15,12
66,介護福祉士,167000,30,1.367,-32.451,34,66,2,6,11,23,30,17,11
67,白血病,166000,30,1.433,-38.15,38,62,4,11,13,21,21,15,15
68,ロスバスタチン錠2.5mg,161000,30,1.364,38.363,33,67,0,4,6,12,25,26,27
69,手根管症候群,158000,30,1.444,-18.526,27,73,1,6,11,19,26,20,17
70,ベーチェット病,154000,30,1.49,3.585,27,73,2,13,17,21,22,15,10
71,脳出血,152000,30,1.45,5.334,33,67,2,8,11,21,25,18,15
72,ペースメーカー,150000,30,1.453,27.103,37,63,2,8,9,17,24,19,21
73,ゾルピデム,143000,30,1.489,-64.952,34,66,1,9,11,17,24,18,20
74,エチゾラム,142000,30,1.528,-32.032,33,67,1,8,11,20,25,18,17
75,株主優待,138000,30,1.311,13.11,53,47,1,6,15,23,24,16,15
76,翻訳 deepl,133000,30,1.494,-10.038,51,49,14,12,13,20,21,12,8
77,アナフィラキシー,133000,30,1.47,85.262,46,54,2,8,14,20,20,15,21
78,crp,133000,30,1.377,-4.281,36,64,1,7,10,17,21,20,24
79,抑肝散,132000,30,1.618,-8.156,24,76,1,7,14,25,26,16,11
80,メチコバール錠500 効果,129000,30,1.647,0.343,32,68,1,2,5,13,26,25,28
81,東北大学,129000,30,1.455,39.154,44,56,11,7,5,19,29,13,16
82,パルスオキシメーター,128000,30,1.409,0.807,36,64,1,7,10,17,22,20,23
83,chat gpt,127000,30,1.697,-12.134,57,43,5,23,20,20,17,9,6
84,microsoft 365,126000,30,1.511,-4.901,64,36,3,7,10,19,23,18,20
85,内科,120000,30,1.45,0.002,36,64,2,12,19,26,21,11,9
86,大阪大学,119000,30,1.602,3.019,45,55,14,7,6,20,28,12,13
87,プレドニゾロン,119000,30,1.509,-26.442,29,71,1,11,12,20,24,17,15
88,ビラノア,117000,30,1.732,4.579,32,68,1,10,19,25,22,13,10
89,ジスロマック,115000,30,1.786,22.51,34,66,1,11,18,28,21,12,9
90,ブロック注射,115000,30,1.689,-0.01,40,60,1,5,11,19,25,19,20
91,腸腰筋,108000,30,1.669,-79.78,41,59,3,9,14,23,22,15,14
92,虫垂炎,106000,30,1.677,-6.089,49,51,5,17,21,22,16,11,8
93,ベルソムラ,105000,30,1.775,91.144,35,65,1,9,12,20,24,17,17
94,icu,104000,30,1.811,10.407,46,54,8,11,11,18,22,14,16
95,大建中湯,103000,30,1.725,-90.533,30,70,1,6,8,16,22,21,26
96,バイアスピリン,102000,30,1.699,19.205,35,65,0,13,12,17,20,17,21
97,無痛分娩,101000,30,1.877,-16.134,28,72,3,17,29,14,13,17,7
98,帯状疱疹 痛み いつまで,100000,30,1.988,-12.827,35,65,1,2,6,15,26,25,25
99,リスペリドン,99100,30,1.653,61.933,28,72,1,13,15,23,24,16,8
100,東京美容外科,96900,30,1.836,25.825,38,62,1,8,15,26,27,15,8
101,三叉神経痛,96200,30,1.978,-0.114,29,71,1,6,12,21,25,19,16
102,クエチアピン,96100,30,1.931,-41.274,29,71,1,12,15,23,25,15,9
103,多発性骨髄腫,93900,30,1.724,18.89,32,68,1,8,9,16,23,22,21
104,東京医科歯科大学,92300,30,1.918,-35.145,43,57,6,7,9,20,25,16,17
105,身体障害者手帳,91300,30,1.833,6.929,35,65,1,7,13,20,25,17,17
106,deepl翻訳,91300,30,1.767,-39.601,56,44,13,22,14,16,17,10,8
107,セレコキシブ,90700,30,1.959,10.84,37,63,1,10,10,16,22,19,22
108,麻生泰,90400,30,1.772,40.785,48,52,1,5,12,26,28,17,11
109,聖マリアンナ医科大学病院,88200,30,1.826,-51.331,36,64,1,6,10,18,25,20,20
110,虎の門病院,87700,30,1.884,-21.384,38,62,1,7,8,15,22,22,25
111,トアラセット配合錠,85800,30,1.892,-29.045,37,63,0,6,8,15,24,22,25
112,東京女子医大病院,84500,30,2.108,-70.11,42,58,1,3,7,14,23,24,28
113,脳ドック,84000,30,1.809,-9.831,37,63,0,2,7,23,32,21,15
114,ヘパリン,80000,30,2.028,-16.05,32,68,2,12,12,17,19,18,20
115,聖路加病院,77800,30,2.252,-16.021,33,67,1,6,10,16,22,22,23
116,帯状疱疹 薬,77000,30,1.99,-2.971,32,68,0,3,10,22,29,20,16
117,自治医科大学,76300,30,1.949,-12.189,42,58,6,7,8,21,26,16,16
118,入院 必要なもの,75700,30,2.076,2.952,23,77,1,5,12,24,28,17,13
119,sma症候群,73700,30,2.127,-104.75,29,71,1,10,17,26,24,14,8
120,ジャディアンス,72300,30,2.109,7.852,39,61,0,11,13,22,25,16,13
121,千葉大学医学部附属病院,72100,30,2.286,-0.104,35,65,1,5,10,17,25,22,20
122,レキサルティ,69900,30,2.115,18.623,33,67,1,10,16,25,26,14,8
123,スルピリド,65100,30,2.155,31.842,33,67,1,11,15,23,24,14,12
124,臨床工学技士,61100,30,2.149,16.008,36,64,7,16,15,24,23,9,6
125,順天堂大学医学部附属順天堂医院,61000,30,2.382,-61.132,34,66,1,5,9,14,23,23,25
126,昭和大学,60700,30,2.288,-11.385,43,57,7,7,7,18,27,15,19
127,リクシアナ,59300,30,2.286,-30.964,39,61,0,13,12,19,21,17,18
128,トラムセット,59000,30,2.279,7.785,38,62,0,5,10,19,26,22,18
129,カルベジロール,58100,30,2.351,1.726,36,64,0,15,14,19,22,16,14
130,低ナトリウム血症,52400,30,2.567,-2.095,33,67,1,19,17,21,20,13,9
131,デュロキセチン,51300,30,2.324,10.209,38,62,1,12,16,21,22,15,13
132,神経障害性疼痛,49000,30,2.5,-5.948,30,70,2,9,12,18,22,20,17
133,ct,47500,30,2.499,0.852,47,53,4,12,16,20,19,13,16
134,google scholar,47000,30,2.584,76.92,62,38,8,36,14,16,12,8,6
135,レベチラセタム,45700,30,2.425,-14.746,32,68,1,15,16,24,23,13,8
136,吹田徳洲会病院,44400,30,2.689,-89.706,42,58,1,6,15,25,24,17,12
137,心電図検定,37200,30,2.843,21.396,30,70,2,32,20,18,14,6,8
138,エフィエント,36500,30,2.81,2.133,40,60,0,15,15,21,21,14,14
139,医学部 偏差値ランキング,35700,30,2.838,-41.086,45,55,12,10,14,23,25,8,8
140,福岡和白病院,33000,30,2.724,217.517,38,62,1,7,18,26,21,16,11
141,岡山大学病院,32300,30,2.976,4.127,39,61,1,6,11,17,22,21,22
142,医師国家試験,29300,30,2.929,55.498,52,48,4,18,11,13,24,18,12
143,テネリア,28900,30,3.163,-0.403,37,63,0,13,15,22,23,14,13
144,トルバプタン,28700,30,2.975,58.048,33,67,0,20,16,22,21,13,8
145,ソセゴン,25200,30,3.04,9.88,27,73,0,29,21,22,16,8,4
146,医師検索,24700,30,3.205,-53.883,41,59,2,15,20,20,17,15,11
147,ミネブロ,17200,30,3.41,-15.489,41,59,0,11,17,23,23,15,11
148,佐藤和貴,15600,30,3.676,-60.495,46,54,1,4,22,32,22,13,6
149,プレセデックス,9400,30,4.193,37.035,38,62,0,28,25,24,15,6,2
150,オンダンセトロン,6800,30,4.489,-11.805,34,66,0,28,21,23,15,8,5
151,麻酔科医 年収,5000,30,4.659,0,38,62,9,13,19,26,17,10,6
152,集中治療医学会,2800,30,5.201,-10.101,65,35,1,6,31,40,14,5,3
153,集中治療学会,2200,30,5.51,-43.297,60,40,0,9,32,35,17,5,2
154,麻酔科標榜医,2000,30,5.762,0.004,41,59,0,11,24,21,16,16,12
155,八味地黄丸,132000,20,1.304,25.618,49,51,0,2,5,10,18,25,40
156,らくらくホン docomo,130000,20,1.308,-81.699,39,61,1,3,5,19,35,19,18
157,高額医療費支給申請書,129000,20,1.39,-27.651,36,64,0,2,8,15,26,26,23
158,不妊治療,124000,20,1.351,-6.789,30,70,3,12,31,24,12,11,7
159,京都大学,122000,20,1.36,-58.235,45,55,10,7,5,19,28,14,17
160,エホバの証人,120000,20,1.36,10.575,47,53,5,15,17,20,17,13,13
161,もやもや病,120000,20,1.32,-35.489,33,67,2,11,15,23,22,16,11
162,エソメプラゾールカプセル20mg,120000,20,1.311,48.932,32,68,1,6,9,17,23,21,23
163,信州大学,119000,20,1.377,8.932,46,54,12,7,5,19,30,13,14
164,関節リウマチ,119000,20,1.303,-35.545,30,70,3,11,11,16,23,19,17
165,臨床検査技師,115000,20,1.371,0.413,30,70,10,15,12,25,24,8,6
166,眼科,114000,20,1.5,-28.043,33,67,3,7,15,23,18,14,20
167,デパス,113000,20,1.327,96.062,36,64,2,9,13,20,22,16,18
168,suv,112000,20,1.501,-19.691,54,46,5,26,20,19,14,8,8
169,カフェイン,112000,20,1.397,-9.228,45,55,4,7,12,20,24,18,15
170,idとは,112000,20,1.372,-80.566,41,59,2,6,2,9,22,25,34
171,word 行間を詰める,111000,20,1.36,14.241,49,51,6,20,11,18,20,13,12
172,虚血性腸炎,111000,20,1.358,-86.651,25,75,1,7,12,19,24,20,17
173,側湾症,110000,20,1.41,-14.041,24,76,3,8,14,29,22,12,12
174,御冥福をお祈り 意味,110000,20,1.399,27.257,38,62,2,7,14,22,24,18,13
175,つるむらさき 食べ方,110000,20,1.354,-62.874,22,78,0,2,8,16,24,23,27
176,苗字,108000,20,1.508,5.782,47,53,12,13,13,15,18,15,14
177,バネ指 治し方,108000,20,1.44,11.888,39,61,1,3,5,11,27,26,27
178,車椅子,107000,20,1.332,-40.931,46,54,1,3,6,12,23,28,27
179,高額医療費制度 限度額 年収,106000,20,1.429,16.736,33,67,0,2,6,16,27,28,21
180,ハムストリングスとは,105000,20,1.434,-70.507,52,48,3,8,9,18,19,18,25
181,多発性硬化症,105000,20,1.31,-11.55,27,73,1,10,11,20,24,19,15
182,脳腫瘍,104000,20,1.497,-17.969,37,63,3,6,10,20,24,19,18
183,大腸憩室炎,104000,20,1.346,18.277,35,65,1,4,8,16,26,23,22
184,名古屋大学,104000,20,1.335,-1.231,44,56,16,8,5,21,28,11,11
185,クイズノック,103000,20,1.509,68.108,32,68,8,12,17,22,19,12,10
186,メトクロプラミド5mg,103000,20,1.508,-76.002,25,75,1,9,16,21,22,16,15
187,動脈硬化,103000,20,1.46,-32.588,33,67,1,5,8,17,24,21,24
188,word,102000,20,1.503,-60.734,53,47,7,12,9,14,19,17,22
189,ハズキルーペ,102000,20,1.401,-30.002,49,51,1,3,6,17,30,24,19
190,盲腸,101000,20,1.518,-6.921,39,61,5,13,16,20,20,14,12
191,クローズアップ現代,101000,20,1.499,-9.386,41,59,1,3,6,14,24,25,27
192,ポルシェ911,101000,20,1.411,47.738,85,15,1,8,9,16,28,24,14
193,プロペト,100000,20,1.355,34.47,27,73,1,9,18,20,19,16,17
194,メイバランス,99600,20,1.55,10.563,26,74,1,7,11,18,26,21,16
195,脳卒中とは,99600,20,1.43,-11.093,40,60,3,10,12,21,24,16,14
196,自律神経,99500,20,1.441,-1.02,35,65,3,9,15,22,21,15,15
197,抗ヒスタミン薬,99400,20,1.407,-0.013,31,69,1,11,19,26,20,13,10
198,睡眠薬,99100,20,1.467,-1.109,48,52,4,12,13,18,21,14,18
199,駅ネット,98800,20,1.336,7.326,53,47,1,11,13,19,24,19,13
200,四季島,98600,20,1.486,-6.818,48,52,2,4,9,16,22,25,22
201,ブロチゾラム,97600,20,1.56,16.694,33,67,1,10,13,20,23,17,16
202,顔面神経麻痺,97300,20,1.533,9.343,32,68,1,5,11,22,27,19,15
203,平家物語,95800,20,1.485,-96.102,43,57,10,6,7,18,18,17,24
204,薬,95500,20,1.538,-62.124,48,52,2,4,6,10,17,23,38
205,岡山大学,94900,20,1.435,-41.758,44,56,16,9,5,20,28,10,12
206,dropbox,94700,20,1.431,3.4,65,35,2,8,16,24,23,15,12
207,郵便切手,94500,20,1.452,-24.639,39,61,0,3,6,16,25,24,26
208,ベオーバ錠50mg,94400,20,1.656,-21.146,38,62,0,4,6,12,18,21,39
209,海鮮丼,94200,20,1.362,-45.861,46,54,2,7,12,23,25,16,15
210,サンライズ,93900,20,1.385,-1.539,57,43,5,11,13,20,24,15,12
211,ウインナー レシピ,93500,20,1.434,-8.303,25,75,1,7,16,21,21,16,18
212,脳神経外科,93000,20,1.671,-0.013,34,66,2,5,13,22,24,16,18
213,鉄緑会,93000,20,1.474,188.32,41,59,10,7,10,32,25,8,8
214,ロラタジン,92300,20,1.623,-36.963,31,69,2,8,20,30,20,11,9
215,リンパ腫,91800,20,1.653,-5.208,38,62,1,5,9,17,23,21,24
216,ジエノゲスト,91800,20,1.596,108.632,14,86,2,12,19,38,19,6,4
217,オプジーボ,91700,20,1.487,-31.917,42,58,1,4,7,17,22,22,27
218,糸リフト,91500,20,1.383,-16.681,15,85,2,14,22,28,22,8,4
219,股関節が痛い,91400,20,1.49,88.639,25,75,2,4,7,19,25,21,22
220,アクタス,91400,20,1.362,43.838,26,74,1,8,20,29,22,13,7
221,日生学園,90700,20,1.547,-34.692,59,41,5,9,15,26,23,13,9
222,脊髄小脳変性症,90600,20,1.433,-16.155,26,74,2,12,18,22,21,14,11
223,身体障害者 等級,90500,20,1.582,-45.441,46,54,1,3,5,13,25,27,26
224,破傷風,90400,20,1.403,13.668,39,61,4,14,20,25,18,10,9
225,横浜市立大学,90100,20,1.678,-4.029,41,59,17,8,5,21,29,9,11
226,空売りとは,90000,20,1.387,58.258,62,38,1,9,15,22,24,17,12
227,傷病手当,90000,20,1.362,-39.611,36,64,1,10,20,25,26,13,5
228,里芋,89400,20,1.474,16.534,31,69,1,5,14,22,21,16,21
229,リマプロストアルファデクス錠5μg,89300,20,1.78,11.506,35,65,0,5,7,13,19,21,35
230,横須賀線,89300,20,1.439,16.488,49,51,4,9,14,22,23,15,13
231,その天才様は偽装彼女に執着する,88100,20,1.39,125.747,5,95,4,11,23,34,21,5,2
232,歌舞伎,86800,20,1.651,82.058,33,67,3,6,10,19,20,18,24
233,放射線治療,86800,20,1.608,-0.001,35,65,1,4,7,19,26,19,24
234,アモキシシリン,85400,20,1.453,78.949,37,63,1,12,21,24,20,13,9
235,金沢大学,84800,20,1.73,76.34,46,54,14,8,5,19,28,12,14
236,徳田虎雄,84100,20,1.615,-97.253,54,46,1,4,9,18,23,22,23
237,ジクトルテープ75mg,83400,20,1.657,14.226,30,70,0,4,9,18,26,22,21
238,サルコイドーシス,82800,20,1.64,-55.378,31,69,1,9,12,19,24,19,16
239,川崎病,82800,20,1.558,26.151,28,72,2,10,34,26,13,9,6
